PERSON,Count
joe biden,18735
donald trump,15285
♪ ♪,10436
trump,9880
barr,9030
rudy giuliani,8507
nancy,7296
elizabeth warren,7110
michael cohen,7008
giuliani,6576
robert mueller,6347
john,5733
wolf,5530
mike,5428
putin,4977
kamala harris,4844
clinton,4627
chris,4624
david,4570
bill barr,4521
warren,4407
bernie,4388
hillary clinton,4369
kim jong-un,4220
max,4209
anderson,3877
nixon,3730
zelensky,3553
john bolton,3530
otezla,3402
jim,3359
mitch mcconnell,3257
vladimir putin,3209
paul,3203
biden,3052
jeff,2913
kim,2901
joe,2759
mavyret,2615
don,2592
bernie sanders,2471
taylor,2346
nancy pelosi,2254
jerry nadler,2178
mick mulvaney,2080
bolton,2063
michael,2043
bush,2023
cohen,1983
william barr,1925
bill clinton,1842
roger stone,1822
robert mueller's,1774
don mcgahn,1767
bill taylor,1704
anthony,1638
dave,1636
joe biden's,1570
brian,1558
graham,1552
john mccain,1551
usaa,1486
boris johnson,1483
maria ramirez,1434
mcconnell,1427
harris,1376
james comey,1331
paul manafort,1329
jeffrey epstein,1302
rick,1278
chuck schumer,1265
sarah,1263
mitt romney,1215
brooke baldwin,1212
president,1195
richard nixon,1184
scholl,1176
jerry,1158
bob mueller,1158
mueller,1144
lindsey graham,1129
maria,1100
phil,1099
jim sciutto,1089
dana,1081
obama,1079
chris cuomo,1060
jared kushner,1058
jim acosta,1058
don lemon,1044
gloria,1036
sarah sanders,1030
jeffrey,1030
matt,1025
kevin,1020
johnson,1005
dana bash,975
john dean,975
tom steyer,970
kellyanne conway,968
abby,941
john berman,935
donald trump jr.,923
michael cohen's,922
george,855
dave briggs,853
julian castro,839
tom,838
martin,837
reagan,824
erdogan,806
patrick,805
george w. bush,801
harry,801
john king,792
hep c.,789
chairman,783
brianna keilar,775
alexandria ocasio-cortez,773
michael flynn,760
carl,758
alex,757
pamela brown,753
kirby,745
jeffrey toobin,738
x1,733
tim,727
gordon sondland,716
castro,715
boris sanchez,713
mike pence,708
cory booker,708
jessica,707
doug,703
sam,682
erin burnett,678
barbara starr,670
bloomberg,667
pete buttigieg,663
john kelly,662
michael bloomberg,660
god,659
andy,654
larry,647
nick,642
kim jong,633
adam schiff,633
eric,628
netanyahu,616
xeljanz xr,613
omar,610
jeff zeleny,607
marijuana,606
ilhan omar,603
joe biden.,603
acosta,595
flynn,590
steve king,588
♪ ♪ ♪,574
george howell,571
jonathan,566
andrew mccabe,561
hillary clinton's,556
morrison,550
jeanne moos,549
benjamin netanyahu,548
anderson cooper,547
ronald reagan,545
paula,541
steve,540
evan,527
dan coats,526
jesus,524
victor blackwell,516
donald trump's,513
devin,512
boris,512
mike bloomberg,510
don jr.,507
andrew yang,498
van jones,495
duncan,493
kaitlan collins,492
nicolas maduro,491
charlie,482
nic robertson,481
donald j. trump,474
janssen,474
lee,470
evan perez,466
sanjay gupta,466
stephen miller,460
george conway,459
jim jordan,457
david holmes,454
steve mnuchin,454
kevin mccarthy,453
jeff bezos,451
kelly,450
marco,445
elizabeth,442
trumps,440
hill,440
hyde,439
my hep c.,438
bill de blasio,437
gloria borger,434
rick perry,432
peter,432
mulvaney,431
nadler,429
maduro,428
george kent,426
jimmy john's,424
david axelrod,422
ben,419
susan collins,418
john smith,417
david gergen,417
kaitlan,416
margaret,410
erica,409
lisa,408
george bush,405
natalie allen,403
tim morrison,402
steve bannon,396
salonpas lidocaine,394
hisamitsu,389
nick paton,386
jessica dean,386
laura,385
christopher,384
jussie smollett,384
♪ safelite repair,383
alex acosta,380
joe lockhart,379
kennedy,378
rudy giuliani's,375
abby phillip,375
heartburn,370
tom foreman,370
jim comey,367
♪ applebee's,362
marie yovanovitch,361
john kasich,361
james,360
macron,359
john roberts,355
jackson,355
john.,354
zicam,353
ralph northam,351
robert kraft,348
brooke,347
david chalian,346
badda boom,346
george washington,346
jordan,345
jamie,344
jennifer,343
erica hill,343
alisyn,343
comey,343
yang,342
howard schultz,336
dr.,334
fredricka whitfield,333
mile,329
michael jackson,327
rand paul,325
kim jong-un's,324
nick valencia,322
martin savidge,322
lucy,321
andrew,320
john avlon,318
dr pepper,316
james clapper,314
joan lunden,314
susan,313
david ortiz,313
jack,311
schumer,310
shimon prokupecz,306
jimmy carter,305
bin laden,304
barbara,304
david gregory,303
tom brady,303
mark zuckerberg,302
kayak,301
joey,301
marco rubio,300
jim.,300
natasha chen,299
murphy,298
anna,296
rod rosenstein,294
nick watt,294
ross,294
jeremy diamond,291
fiona hill,291
andy scholes,291
♪ ♪ applebee's,291
♪ liberty,290
mark esper,288
karen,288
fisher,287
max foster,287
scott,285
ben wedeman,285
john kerry,285
khan,284
stelara®,284
corey lewandowski,282
wilbur ross,282
mnuchin,281
michael smerconish,280
john hickenlooper,280
ball,280
steve bullock,280
pamela,278
free wi-fi,276
jay inslee,276
matt whitaker,273
williams,272
barry,271
alex marquardt,271
lisa murkowski,270
paul manafort's,270
hepatitis c. man 1:,268
allison,265
aliskiren,265
diane,265
cheney,264
andrew johnson,264
ken starr,263
joe johns,262
kim jung-un,262
phil mudd,260
randi kaye,259
rudy guiliani,259
lauren fox,258
dan,258
danny,256
robert,256
jerome powell,255
chuck,253
osama bin laden,253
mccain,251
matthew chance,251
alison,250
paul ryan,248
mar-a-lago,247
jennifer williams,246
trulicity,245
ron,245
steven miller,245
neil,245
ivan watson,244
kirstjen nielsen,244
jackson hewitt,243
pete,241
allison chinchar,240
alexander vindman,239
kate,238
miguel marquez,236
bill barr's,236
prince harry,234
thomas,234
matthew whitaker,234
jeff sessions,232
hillary,232
hilton,231
john kennedy,231
antonio brown,229
elliott,226
joe walsh,225
klobuchar,224
angela merkel,224
larry kudlow,224
tucker carlson,223
mccarthy,223
john kirby,222
george h.w.,221
awww,220
brita,218
eric swalwell,215
patrick oppmann,214
♪ -,213
romney,213
juan guaido,211
emmanuel macron,211
stacey abrams,209
nancy pelosi's,208
colin kaepernick,208
whitaker,208
elizabeth warren's,207
manafort,207
kellyanne,206
ed lavandera,206
melissa bell,205
roberts,205
jimmy,205
marco's,204
xi,204
joey jackson,203
george.,202
brown,201
brexit,201
♪ ya,201
mcgahn,201
holmes,201
sandwich;m,200
katie hill,200
john avalon,199
jeb bush,198
john delaney,198
brianna,198
kara,197
burnett,197
dean,197
vice,195
clean,195
george papadopoulos,195
mm,195
fred pleitgen,195
jim mattis,195
robert e. lee,193
patrick shanahan,193
ruth,193
elie honig,192
james mattis,192
kyung lah,192
derek van dam,191
ed,191
josh campbell,191
bill,191
kick your,188
al baghdadi,188
david duke,188
amy klobuchar,187
dennis quaid,187
mark sanford,187
antonio,186
s.e.a.l.,186
bevin,185
michelle kosinski,185
danny)'s,185
maria butina,185
jeffrey epstein's,184
tim ryan,184
stephanie grisham,184
ron johnson,183
corey,183
michael avenatti,182
roger,181
douglas,181
allen weisselberg,181
smart kid,179
scott jennings,179
jamal khashoggi,179
jared kushner's,179
sarah westwood,177
rick santorum,177
susan glasser,177
richard burr,177
joseph,177
chad myers,176
antonio!,175
william,175
ken cuccinelli,174
chuck grassley,174
bobby,173
