PERSON,Count
♪ ♪,44346
putin,32750
biden,18442
donald trump,17160
vladimir putin,9402
john,8050
joe biden,7620
wolf,5919
jim,4969
anderson,4943
mike,4874
max,4679
cheney,4522
kevin mccarthy,3671
covid-19,3635
don,3552
paul,2790
mccarthy,2712
david,2669
kim,2625
michael,2470
ron desantis,2350
elizabeth,2321
nancy,2281
otezla,2076
phil,2040
harry,2019
kevin,1872
brian,1863
rudy giuliani,1847
diana,1833
mitch mcconnell,1761
♪ ♪ ♪,1705
joe,1681
boris johnson,1649
kherson,1627
alex,1603
matt,1603
steve bannon,1576
john berman,1550
boris,1530
♪ liberty,1492
mike pence,1464
taylor,1460
trump,1403
herschel,1395
dr.,1383
nixon,1383
jim sciutto,1358
chris,1350
john fetterman,1344
donald trump's,1336
alex jones,1326
johnson,1300
john eastman,1294
merrick garland,1276
paula,1252
vladimir putin's,1219
matthew chance,1186
brian kemp,1168
jessica,1161
joe manchin,1144
volodymyr zelenskyy,1134
mavyret,1114
nic robertson,1112
graham,1104
anthony,1103
austin james,1093
jeff,1092
herschel walker,1086
don lemon,1061
chuck schumer,1059
dana,1054
kamala harris,1050
andy,1031
joe biden's,1026
evan,1017
bill barr,1013
giuliani,1007
doug,1004
mar-a-lago,1000
james,974
jonathan,967
abby,950
larry,950
brianna keilar,935
john king,930
jackson,905
nick,900
zelenskyy,895
max foster,891
zelensky,880
janssen,869
mucinex,851
dana bash,843
martha,838
gloria,833
william,829
evan perez,824
kisqali,804
charlie,802
dave,795
hillary clinton,791
tim,788
clarence thomas,783
kaitlan,779
sam,776
paul whelan,771
pamela brown,768
ben,757
sam kiley,744
tom,744
austin,730
nick paton,726
lee,724
reagan,724
marilyn,720
kaitlan collins,718
margaret,711
macron,706
john.,704
tom brady,704
thomas,701
abbott,700
god,698
lindsey graham,691
kim jong-un,682
anderson cooper,669
biotrue,668
elizabeth ii,665
laura,664
nancy pelosi,664
stelara®,662
melissa bell,658
bush,657
rupert murdoch,656
mcconnell,655
eastman,653
carl,651
jeff zeleny,649
carvana,645
ed lavandera,639
alex marquardt,637
jonathan lawson,637
clinton,637
eric,628
jim acosta,621
jeffrey clark,619
jamie,618
erica,614
peter,613
john kirby,611
john dean,607
ron johnson,606
johnny cash,603
jake sullivan,599
boris sanchez,599
sanjay gupta,595
clark,590
president,577
zaporizhzhia,572
ketanji brown jackson,570
ivan watson,570
rick scott,570
mark kelly,567
steve,566
victor blackwell,565
ben wedeman,559
stacey abrams,555
elizabeth cohen,554
pamela,544
michael holmes,540
jim.,536
jim jordan,530
♪liberty,526
greg abbott,520
scott,515
harris,507
barr,507
erin burnett,502
prince william,501
alison,494
ginni thomas,493
kayak,492
fred pleitgen,491
jack smith,490
heartburn,489
marijuana,489
erica hill,485
eric adams,484
matt egan,484
ma,480
sarah,479
♪ ♪ gravelbourg,476
jeffrey,471
jessica dean,467
maga republicans,462
brianna,461
john vause,460
ukraine,458
george w. bush,452
scott mclean,452
kramatorsk,449
meta portal,448
kate,447
chuck,445
andrew mccabe,443
scott jennings,438
elie honig,438
charles iii,435
golo,432
johnny depp,429
barbara starr,427
angi,427
susan,425
mm,423
emmanuel macron,419
zicam,418
jack,418
lloyd austin,417
♪ pedialyte,416
bennie thompson,414
george,413
andrew,412
fauci,410
shaggy ♪,410
randi kaye,409
matthew,409
shimon prokupecz,409
laura jarrett,408
shingrix,407
ron,405
xi jinping,403
katie hobbs,403
melanie,400
brady,399
madison,398
lucy,398
john roberts,397
prince harry,396
george floyd,395
elliott,395
caplyta,392
nucala,390
kara,389
bill clinton,389
chris rock,388
paula newton,385
john avlon,385
tony thurmond,385
miguel marquez,384
marco rubio,384
adam kinzinger,384
jones,378
jesus,376
ronald reagan,376
jeremy diamond,370
orkin,370
woohooooo,367
kesimpta,366
lipton,365
w-o-o-o-o-o,364
marco,364
omar jimenez,363
donald trump jr.,357
mitt romney,357
burnett,357
marilyn monroe,356
safelite,355
david culver,354
susan from,353
obama,349
chris murphy,347
scott perry,347
kyung lah,346
anna,346
richard nixon,344
jingle,344
nah,342
simparica trio,340
allison,340
josh campbell,338
susan from carvana,337
♪ one,335
nick watt,331
evander holyfield,329
fredricka whitfield,329
jen psaki,329
paula reid,328
heartburn... frank,327
pelosi,327
martin,324
derek van dam,324
elie,323
roger stone,322
rick,320
phil black,319
george santos,318
thinkorswim,317
jeffrey toobin,317
aaron,317
kelly,314
nick valencia,313
genesys,313
ron brownstein,312
allison chinchar,311
tucker carlson,309
joe rogan,308
moo,307
mabel,307
williams,307
peter akwaboah,305
trumps,304
murdoch,303
voya,301
pope francis,299
kennedy,298
nancy pelosi's,298
bryan,297
alito,297
emu ♪,295
jerome powell,294
bob woodward,290
pat,289
serena williams,289
tom foreman,288
cipollone,288
rosa flores,288
joey,287
jamie raskin,286
selina wang,286
hoo,285
susan collins,285
john cornyn,285
elon musk,282
michael flynn,278
raphael warnock,278
andy scholes,277
frank,275
jordan,275
wesley clark,274
barbara,274
victor,273
kathy,273
moderna,269
♪ ♪ nice,266
peter navarro,265
patrick,265
gloria borger,265
sarah palin,265
[ forde ] replacing marcia's,262
milley,259
jennifer,258
john harwood,256
allen,256
arthur,256
christine romans,254
paul pelosi,254
robert,253
u.n,253
bianna,253
sergey lavrov,253
jessica schneider,252
richard,250
cabrera,249
chairman,249
prince andrew,249
harry enten,248
abby phillip,248
scott mcclain,247
katelyn polantz,247
yvonne yiu,246
bill weir,246
mandela,245
xi,245
wolfgang puck,244
kristin,244
boy brown,243
david axelrod,240
lisa murkowski,238
qulipta,237
bernie,237
maria,236
brynn gingras,236
sidney powell,234
anna stewart,234
stephen breyer,234
jared kushner,232
diane,231
jason carroll,230
joe johns,229
zoe lofgren,229
lee zeldin,228
david mckenzie,225
jamie gangel,225
natasha chen,224
leqvio,224
erdogan,222
pat cipollone,222
sarah matthews,221
jason,221
david chalian,220
gary,219
jill biden,219
bismol coats,219
herschel walker's,219
steve hall,218
anthony fauci,218
vicky white,217
tada,215
tony,215
donald j. trump,214
gary tuchman,214
hutchinson,213
john bolton,213
murphy,213
prince philip,212
miguel,212
michelle obama,211
kari,211
cha ching,211
leon,210
david sanger,210
dana-farber,210
oprah,209
jacqueline howard,209
g.,209
john miller,208
schumer,208
mike lee,208
hep,208
bannon,207
josh hawley,207
lisa,206
mj lee,206
kristin fisher,206
conquer,205
coney barrett,205
jennifer gray,204
eric trump,204
charles,204
trulicity,203
michael cohen,202
adam laxalt,202
carlos suarez,201
nick fuentes,201
barbara walters,200
kyrsten sinema,200
tim ryan,199
hose,199
susan glasser,198
mehmet,198
♪ ♪good times,198
chris wallace,198
retinol pro plus,197
salonpas,196
carter,195
prilosec,194
smith,194
glenn youngkin,194
olga,194
walker,193
johnny,193
bob,193
lepsi,192
eu,190
elliott williams,190
meningitis b.,190
meadows,189
kinda,189
jimmy carter,188
elizabeth warren,187
pete buttigieg,187
james clapper,187
over a.,187
dick durbin,186
bernie sanders,186
salma abdelaziz,186
thompson,186
kathryn,185
powell,185
kevin hart,185
jerry,185
nada bashir,184
priscilla alvarez,184
andrea,184
dan,184
bill russell,183
meghan,183
omar,183
harry reid,183
joe biden.,182
berman,182
secretary,182
michael smerconish,181
dave mccormick,181
artisan challah,179
hala gorani,179
daniel g.,178
hurricane ian,178
kevin mccarthy's,177
donie o'sullivan,176
karen,175
chad myers,174
dan scavino,174
doug mastriano,173
melanie zanona,173
david mccormick,173
v. wade,171
julia,171
rybelsus,171
pence,170
yoyou,170
jd vance,169
jfk,169
george floyd's,169
sam kylie,169
♪ ♪ ',168
seatgeek,167
liz cheney,167
roberts,166
becky anderson,166
new mucinex,166
jean casarez,166
janet yellen,166
mark milley,165
♪ voltaren,165
aveeno®,165
joey jackson,165
john mccain,165
wendy,164
♪♪,164
knorr,164
sydney powell,164
hep c.,162
al zawahiri,162
bobby,162
bill,161
joshua florence,161
maggie haberman,160
melissa,160
adam schiff,160
rupert,160
invesco qqq,159
pat toomey,159
beth,159
♪ ♪ ♪ voltaren,159
baker,158
jesus christ,158
lyndon johnson,157
crown prince,157
shinzo abe,156
raphael,155
walensky,155
van jones,155
m.j. lee,154
brian todd,154
brad raffensperger,152
kristen holmes,151
gorbachev,151
james corden,151
cassidy hutchinson,151
don jr.,151
patrick snell,150
fine print,150
hidden agendas,150
kari lake,150
mark,149
chesa boudin,149
allen weisselberg,149
christopher,148
vicks vapostick,148
josh,148
kevin liptak,147
sam bankman-fried,147
lebron james,147
mick mulvaney,147
davis,147
lucy kafanov,146
hbo max,146
sarah murray,146
al,146
john avalon,145
phil mudd,145
ed lavendera,145
prince charles,145
justin trudeau,145
♪ ♪one,145
sam adams summer,145
carl bernstein,144
nelson,144
ken,144
george conway,144
abraham lincoln,143
apoquel,143
salman rushdie,143
neil,143
steven jiang,143
♪ subway's,142
abe,142
bin laden,142
jamal khashoggi,142
kyrie irving,142
lauren fox,141
vladamir putin,141
kim jong,140
kinda creepy,140
rand paul,140
elliot williams,140
jimmy,139
dick cheney,139
sally,139
frank james,138
tony ornato,137
martin luther,137
twitter,136
healthier,136
osama bin laden,136
jeffrey rosen,135
greg jacob,134
alex.,134
alisyn,134
jim clyburn,132
winston churchill,131
messi,131
szilagyi,131
king c. gillette,130
mealin,130
blinken,129
boris johnson's,129
mohammed bin salman,129
stewart,129
william taylor,128
harmon,128
andy biggs,128
claire sebastian,128
magenta max,127
dan o'dowd,127
katie,126
bob saget,126
charles ramsey,126
alison kosik,126
ooooooo,125
flynn,125
jeff clark,125
cabenuva,125
mary,125
stephen miller,124
robert.,124
benny thompson,123
david perdue,123
voltaren,123
zeldin,122
alex murdaugh,122
malcolm,122
brett,121
tom rice,121
anna coren,120
martin luther king jr.,120
liberty mu... line,119
christine brennan,119
liberty m... am,118
jason miller,118
michael zeldin,118
mark meadows,117
watson,117
john kasich,116
richard quest,116
don riddell,116
li,116
nancy mace,116
matthew pottinger,115
gavin newsom,115
allen kid,115
ron klain,115
booking.yeah,115
carolyn maloney,115
wu,114
stephanie grisham,114
