PERSON,Count
donald trump,21962
hillary clinton,18775
jeb bush,11125
clinton,9666
♪ ♪,9428
wolf,8603
chris,6968
john,6591
bush,6158
ben carson,6047
carson,4567
obama,4554
marco rubio,4441
david,4377
putin,4132
paul,3912
anderson,3763
trump,3497
joe biden,3455
mike,3397
brian,3330
bernie,3168
tom,2812
marijuana,2685
jim,2626
jeff,2260
pope francis,2141
john kerry,2094
matt,2072
vladimir putin,2064
john berman,2046
rand paul,2011
richard matt,1935
hillary clinton's,1889
jeb,1887
bill clinton,1879
michael,1835
barbara starr,1764
bernie sanders,1761
netanyahu,1694
joe,1679
brooke baldwin,1619
tom brady,1619
john mccain,1614
ben,1607
jim sciutto,1607
dana bash,1588
sam,1564
kerry,1559
don,1538
joyce mitchell,1491
invokana,1479
john boehner,1472
jordan,1467
pamela brown,1437
reagan,1436
jesus,1426
benjamin netanyahu,1370
hillary,1362
scott walker,1334
chris christie,1299
jublia,1273
mac,1260
dana,1192
don lemon,1182
mitt romney,1178
alison,1170
nick,1150
brian williams,1097
otezla,1085
bill cosby,1082
evan perez,1080
chris cuomo,1065
aaron hernandez,1064
george w. bush,1063
larry,1045
nic robertson,1035
michael brown,1024
peter,1023
nick valencia,1018
martin,996
jeffrey,979
rubio,964
isil,961
john kasich,957
jim acosta,956
errol barnett,954
charlie,948
ronald reagan,945
graham,936
williams,936
gloria,925
anderson cooper,916
johnson,892
god,873
rick,858
nick paton,856
kim,843
rick perry,833
jihadi john,820
gray,811
dr.,782
bin laden,782
kim davis,777
george,769
brianna keilar,763
dzhokhar tsarnaev,749
donald trump's,744
max,744
jeanne moos,735
brady,733
kevin,732
scott,728
sarah,726
sanjay gupta,719
david cameron,717
joe johns,713
george howell,708
chris kyle,706
martin o'malley,703
joey jackson,699
john king,699
bobby,688
miguel marquez,682
walter scott,675
kim jong-un,670
joey,668
jeff zeleny,663
bashar al assad,662
kevin mccarthy,661
aaron,661
evan,656
randi kaye,649
lubitz,645
lindsey graham,644
harry,631
forgivness;rates,627
carter,625
tom foreman,623
heartburn,622
tom fuentes,619
eric,617
tim,611
david sweat,610
miguel,610
barbara,607
jeb bush's,605
martin savidge,599
michelle kosinski,599
cosby,590
michaela,587
osama bin laden,580
mayo,576
dan,576
ian lee,573
stelara®,571
erin burnett,565
paul ryan,564
taylor,558
mccarthy,553
phil,548
matthew chance,548
jason carroll,545
john.,535
angela merkel,534
baltimore,533
jason,530
biden,530
darren wilson,529
♪ ♪ ♪,528
davis,516
ashleigh banfield,512
andy,500
lee,497
manson,495
ben wedeman,494
dave,492
john vause,490
pamela,485
chuck,485
gloria borger,475
michaela pereira,473
bob baer,472
deborah,471
kevin nealon,462
rick santorum,461
victor blackwell,458
nixon,457
kyung lah,456
warren,452
paul cruickshank,452
citi,448
ron,448
al shabab,436
♪ usaa,432
mitchell,431
ivan watson,427
jonathan,426
gary tuchman,413
rudy giuliani,410
♪♪,405
david soucie,401
jean casarez,401
ben carson's,395
loretta lynch,395
patrick,394
george bush,394
alison kosik,393
castro,393
mitch mcconnell,392
andy scholes,391
boris nemtsov,389
al shabaab,388
natalie allen,386
brooke,385
robert,382
jon stewart,381
jimmy carter,380
alison parker,380
aveeno®,377
kelly,374
saddam hussein,372
elizabeth warren,371
angie,365
kennedy,363
berman,362
jennifer gray,361
tamir rice,359
richard quest,357
dan simon,356
alisyn,356
abdelhamid abaaoud,355
raul castro,354
abdullah,354
rene marsh,353
anthony,352
david letterman,351
ben ferguson,349
patrick 2,348
carl,344
tsarnaev,343
jeffrey toobin,343
mel,337
ed lavandera,336
alex,335
marco,334
zain asher,332
max foster,330
al awlaki,328
marilyn mosby,328
andrea,327
richard,326
jfk,324
jim webb,323
awww,322
james,322
james holmes,320
rachel nichols,319
robert durst,319
paula,319
kaboom,318
eric holder,316
forgiveness;rates,315
la quinta,312
david mckenzie,312
gary,310
scholl,309
peter bergen,308
fredricka whitfield,307
usaa,306
sarah palin,304
craig,304
bob,303
jim jones,302
salah abdeslam,302
jamie,301
van jones,299
allison,296
peterson,296
joseph,295
matthew,294
dennis hastert,292
nancy,290
elizabeth,289
boehner,289
boris,288
chris hill,288
javaheri,285
michael brown's,282
dick cheney,282
kyle,281
wolf blitzer,280
margaret,280
george pataki,279
michael smerconish,279
judas,278
steve,276
al,275
craig wilson,274
edward jones,273
boris sanchez,273
michelle,273
giuliani,272
malcolm,272
george h.w.,266
phil mudd,266
elise labott,264
louis county,264
diane,263
andrew stevens,263
lisa,263
roger,263
moving.tein,263
jeffrey lord,262
president,261
derek van dam,261
anoro,259
anoro ellipta,258
bill de blasio,257
charles manson,257
jeh johnson,254
ethan,254
saddam,253
transamerica,253
christopher,252
christine romans,251
donna,251
robert bates,249
harry reid,249
hepatitis c. harvoni,248
trulicity,248
mccain,247
simpson,246
william porter,245
lamar odom,244
wayne williams,241
rosa flores,238
baker,237
james comey,236
andrew,235
phil black,234
george zimmerman,233
burnett,232
bates,231
jim bittermann,228
joanne,228
fidel castro,226
kristina brown,226
anna,226
jack,225
bill,225
mary,225
chairman,225
gliniewicz,224
brianna,223
sarah murray,223
elton simpson,222
miles o'brien,221
peter pan,221
x1,219
elizabeth cohen,218
becky anderson,217
mary schiavo,217
jingle jingle,216
laquan mcdonald,216
kenji goto,215
austin,215
jennifer,215
james reese,214
bashar al,214
hey peter,213
donald,213
christine,211
healthier,210
diana,210
keene,209
levemir,209
joyce,207
romney,206
alan,206
brenda,205
erin mclaughlin,205
carol,205
cherif kouachi,204
raymond james,203
joe biden's,202
chuck schumer,201
michael weiss,201
peter king,199
david gergen,196
andrew cuomo,196
susan rice,196
whitney houston,194
al gore,194
roger goodell,193
martha,192
orencia,191
al baghdadi,191
danny cevallos,189
paul callan,189
kate,188
athena jones,187
kim jong,187
seltzer heartburn,186
alice,186
rachel dolezal,185
gore,185
robert kraft,183
danny,182
john huntsman,180
jonathan gilliam,180
jones,179
joyce mitchell's,179
flo,178
susan,178
jerry,178
lebron james,177
nick gordon,176
♪ color,175
fred pleitgen,175
scalia,174
fogle,173
chad myers,172
james foley,172
tom brady's,170
cheney,170
erdogan,170
coulibaly,169
ron brownstein,169
mark preston,169
bill bratton,167
nick robertson,167
doug,167
sharon,166
harris,166
john paul ii,166
lyle mitchell,165
samuel,165
miles,165
pedram javaheri,164
patty,164
judy,164
james blake,163
victor,162
happening,162
jason van dyke,162
alka seltzer heartburn,161
george.,161
eric harris,160
van dyke,160
anna coren,160
michelle obama,159
brandon bostian,159
eric garner,158
s.e.a.l.,158
david axelrod,157
caitlyn jenner,157
errol,154
john allen,154
zain,154
ashley madison,154
bowman,154
laquinta,153
saddam hussein's,152
john walsh,152
jesus christ,152
tom cotton,151
jackson,150
julie,148
jim.,148
walter scott's,147
namenda xr,147
shirley,146
mary miller,146
michael cohen,145
stacey,144
jackie,144
trayvon martin,144
marco rubio's,143
benjamin netanyahu's,143
kathy,143
pope,143
william,142
hurricane joaquin,141
ethan couch,141
kevin madden,140
kind?eitlin ♪,139
dan romis,139
mucinex,139
adam,139
anthony bourdain,139
♪ ♪jake,139
kim jong-un's,139
jim bitterman,139
marie callender's,136
rosie o'donnell,136
pataki,135
jimmy,135
josh,135
andreas lubitz,134
brown,134
nick.,134
chris kyle's,134
maria,134
benjamin,133
jessica,133
makesheart,132
john lewis,132
larry david,132
kathy novak,131
adam ward,131
clark,130
martin luther,130
katy perry,130
u.n,130
beau,129
ivan cabrera,129
susan berman,129
richard nixon,129
mcconnell,128
bill cosby's,128
roberts,128
madison,128
bob simon,128
john lennon,128
king abdullah,127
s.e.a.l,127
pamela geller,126
john roberts,126
vladimir putin's,126
rupert murdoch,126
croix,125
martin richard,125
abu sayyaf,125
bill clinton's,125
murphy,124
lamar,124
barbara bowman,124
henderson,124
alan ames,123
liu,123
stephen colbert,123
dean,123
sally,122
suzanne malveaux,122
mike mike,122
sunny hostin,121
comey,121
pookie,121
mcgladrey,121
lenny,121
joe gliniewicz,121
kasich,121
ross,120
mike mike mike,120
[ alex ] transamerica,120
bruce jenner,120
hala gorani,120
stephanie elam,120
hep c.with,119
bin laden's,119
brian todd,119
lucy,118
martin dempsey,118
mark geragos,118
hastert,118
harry houck,118
linda,118
hep c.,118
jamir dixon,117
mark fuhrman,117
lone wolf,117
karen,117
mayor,117
peter goelz,117
[♪,117
serena williams,117
brelo,116
natalie,115
josh duggar,115
chris moody,115
douglas,115
bryce williams,115
karl,114
jason rezaian,114
karl penhaul,113
lawrence,113
bobby brown,113
marquez,112
hugh hewitt,112
nah,112
john mccain's,112
michael slager,112
