PERSON,Count
donald trump,28657
trump,12432
flynn,10906
hillary clinton,10381
putin,10068
jeff,9683
wolf,9430
james comey,8263
michael flynn,8137
♪ ♪,7673
roy moore,6880
john,6833
chris,6729
vladimir putin,6241
david,6090
clinton,6063
steve bannon,5403
paul,5306
anderson,5281
comey,4772
mike,4397
anthony,4355
kim jong-un,4276
john mccain,4041
jared kushner,3893
robert mueller,3848
obama,3842
brian,3567
donald trump jr.,3559
bush,3347
jim,3242
mitch mcconnell,3142
paul ryan,2955
don,2917
kelly,2855
michael,2814
jeff sessions,2641
john kelly,2237
rex tillerson,1954
kellyanne conway,1911
gloria,1892
chuck schumer,1870
nixon,1844
matt,1834
paul manafort,1813
joe,1801
doug jones,1797
bill clinton,1748
otezla,1679
jim comey,1650
president,1641
george w. bush,1639
phil,1631
dave,1601
jim acosta,1585
sally,1581
jeff zeleny,1546
tom,1540
nancy,1524
sarah,1515
reagan,1515
john berman,1494
donald trump's,1489
hillary clinton's,1488
bob corker,1480
kim,1420
jeffrey,1400
mike pence,1390
graham,1384
dana,1362
jim sciutto,1335
don lemon,1307
bob mueller,1291
katy perry,1277
max,1266
tom price,1252
dana bash,1241
barbara starr,1232
steve,1217
devin,1211
usaa,1206
kushner,1187
ben,1160
irma,1148
angela merkel,1144
jack,1132
johnson,1123
brooke baldwin,1099
rick,1095
susan collins,1074
mcconnell,1069
chris cuomo,1065
sarah huckabee,1055
kevin,1036
ronald reagan,1011
mccain,993
pamela brown,984
mike flynn,980
rand paul,948
scholl,905
martin,898
parker,880
marco rubio,876
sarah sanders,874
james clapper,870
james mattis,866
invokana,860
john lewis,856
robert mueller's,844
bernie,839
lindsey graham,838
god,835
kim jong,830
don jr.,807
joe johns,783
sean spicer,782
george howell,773
dave briggs,770
carl,745
jason,730
elizabeth warren,716
john king,714
jamie,695
alex,692
eric,689
andy,688
jessica,681
george,670
george papadopoulos,663
david gergen,662
evan,653
bill o'reilly,644
evan perez,644
james comey's,619
xeljanz xr,618
susan rice,616
kim jong-un's,613
diana,603
colin kaepernick,602
heartburn,596
duncan,595
jesus,591
michael flynn's,590
tim,589
anderson cooper,576
joe biden,575
richard nixon,564
jeffrey toobin,564
david axelrod,560
boris sanchez,555
mark preston,554
margaret,550
jeanne moos,549
nancy pelosi,549
barbara,534
victor blackwell,533
mark warner,532
roy moore's,532
boris,528
larry,527
david chalian,520
nick,516
bashar al assad,514
paula,514
jared kushner's,513
kennedy,511
betsy devos,511
bernie sanders,509
gloria borger,501
erin burnett,499
jonathan,498
c. one,491
mueller,488
trulicity,488
michelle obama,480
hillary,479
john brennan,478
al franken,473
williams,473
david gregory,467
donald trump jr.'s,465
george washington,465
jfk,465
sam,454
lee,453
william,449
bannon,449
mitt romney,447
joe arpaio,446
david duke,445
charlie,443
james,441
dan,440
abby,437
maria,436
john conyers,432
tom steyer,429
roger stone,428
peter,428
chairman,425
pamela,422
matthew chance,421
steve mnuchin,414
la quinta,414
warren,414
john kirby,413
lisa murkowski,409
aliskiren,409
scott,407
phil mudd,407
badda boom,405
tom foreman,404
chuck grassley,402
ron brownstein,401
whoooo,400
alisyn,399
dr.,397
rod rosenstein,396
jimmy kimmel,393
john.,392
tillerson,385
ron,384
ivan watson,382
neil,377
george bush,375
abracadabra,375
kellyanne,375
diane,374
sanjay gupta,374
tom brady,373
andrew mccabe,370
john podesta,370
benjamin netanyahu,369
nic robertson,366
matthew,362
alison,360
macron,358
emmanuel macron,357
brooke,356
natalie allen,354
allison,350
martin savidge,350
chuck,349
namzaric,349
miguel marquez,345
trumps,344
miguel,344
al,344
john dean,341
david johnson,339
xi,337
van jones,336
patrick,334
carter,334
robert e. lee,333
fredricka whitfield,332
donald j. trump,331
stevens,330
randi kaye,329
athena jones,329
ben wedeman,328
jeffrey lord,327
lynn,327
netanyahu,327
blumenthal,321
christopher,320
richard,319
michelle kosinski,319
ron johnson,318
andrew jackson,317
matt lauer,317
erdogan,314
bill cosby,312
george h.w.,312
sessions,303
richard burr,303
carl bernstein,303
jon ossoff,302
chris christie,302
taltz,301
david drucker,300
stephen miller,300
nikki haley,299
andy scholes,299
thomas,295
loretta lynch,294
strengthens enamel,294
vladimir putin's,293
pope francis,291
mar-a-lago,289
dean heller,288
rubio,288
laura,285
ready ♪,285
watson,285
robert,284
ken,283
scott pruitt,282
tom perez,282
ian lee,281
kate,280
ed gillespie,280
sarah murray,280
moore,279
manafort,278
marijuana,277
jimmy carter,276
steven miller,276
nick valencia,271
karen,270
michael cohen,270
kyung lah,269
brianna keilar,269
schumer,269
harry,268
nick paton,267
jason miller,264
john kasich,258
dan coats,258
mike lee,258
rodney,255
austin,254
xi jinping,254
♪ miller,253
eugene scott,252
tim scott,252
michael hayden,251
michelle,251
jack kingston,250
gary cohn,250
don junior,249
burnett,249
adam schiff,246
mnuchin,246
secretary,246
brady,244
tom cotton,239
laura jarrett,238
crohn,232
gary,232
scalia,231
moon,231
mick mulvaney,231
benefiber,230
elizabeth,229
nelson,229
richard blumenthal,228
♪ ♪ ♪,226
jason carroll,225
john dowd,224
steve scalise,224
rick scott,223
hep c.,222
neil gorsuch,222
castro,222
rudy giuliani,221
john cornyn,221
jr,221
melissa mccarthy,220
elise labott,218
anna,218
fothere,217
michael smerconish,216
bill weir,216
paul ryan's,216
abe,215
♪ expedia,215
x1,215
joseph,215
jd power,214
aaron,213
bill,213
khan,211
jimmy,210
chad myers,210
paul manafort's,209
taylor,209
andrea,208
lebron james,207
bob mueller's,205
kelsey,205
bob,205
allison chinchar,203
ben ferguson,202
janssen,201
wolf blitzer,201
elian,199
sergey kislyak,198
steve hall,198
stelara®,198
dan simon,197
bharara,195
abraham lincoln,195
rick santorum,195
andrew,194
jim.,194
jackie,194
marie callender's,192
alan,192
ben carson,192
scott jennings,190
john boehner,190
klan,189
melissa bell,188
bill cassidy,188
thomas jefferson,188
donald jr.,187
jones,187
john],187
crowne plaza,186
errol louis,186
john f. kennedy,186
betsy,186
joe manchin,184
david sanger,183
calorie labels,182
kaepernick,182
joey,182
christine romans,181
u.n,181
kelley,181
jim mattis,180
jennifer,180
ho ho ho,180
s.e.a.l.,180
apoquel,180
pumpernickel,179
jamie request,179
triceratops,179
racquetball,179
staccato,179
password,179
llamo jamie,179
jose,179
jerry,178
ken starr,178
grandma,178
jay sekulow,178
gary tuchman,177
john kerry,176
john avlon,176
safelite,175
breitbart,175
steve king,175
jim comey's,172
prince harry,171
kim jong-nam,170
pence,169
croix,169
simpson,169
gary cohen,167
osama bin laden,167
george.,167
ed lavandera,167
lisa,166
vladamir putin,165
douglas,164
sarah huckabee sanders,163
jerry jones,162
jordan,161
marc kasowitz,160
john vause,160
billy bush,159
mccarthy,159
karen handel,158
douglas brinkley,158
martin luther,157
cool,157
lindsay graham,157
bashar al,157
doug,157
mark,156
kevin mccarthy,156
aaaaaaw,156
kyle,156
kirby,156
makesheart,155
al gore,155
steven moore,155
susan,154
bin laden,153
jessica snyder,152
roger,150
greg abbott,150
jessica schneider,150
harry truman,149
mm,148
dean,148
max foster,147
lamar alexander,147
sara murray,146
ho,146
christopher steele,146
derek van dam,146
xyzal®.ou,145
emphysema,145
david mckenzie,145
martin luther king jr.,144
michael moore,143
karoun,143
harry reid,141
bryan,141
joe lieberman,141
sergey lavrov,141
johnny carson,140
john mccain's,140
michael brown,140
maduro,139
ralph northam,139
angela,138
i'm babysitting,137
orrin hatch,137
tim kaine,136
donald trump jr,136
chris coons,136
alison kosik,135
haley,135
john kelly's,135
fred pleitgen,135
michael holmes,134
yaaay,134
beth,134
sarah palin,133
giulia ♪,133
susan lucci,133
white supremacists,133
saddam hussein,132
michael zeldin,132
heri,132
nature,131
kevin kevin kevin kevin kevin kevin kevin kevin kevin,131
devin nunes,131
tony,131
mulvaney,130
♪  anthony,130
claritin-d.,130
trump jr.,129
david swerdlick,128
bexsero,128
gorbachev,127
hamilton,127
rupert murdoch,127
arthur,127
murkowski,127
spicer,126
harvey,126
wilson,126
mark zuckerberg,125
roger goodell,125
coricidin hbp,125
sharon,125
speaker,124
monica lewinsky,124
carson,124
jim clapper,124
grassley,124
ben sasse,123
marco,123
jeh johnson,122
adam,122
nick mulvaney,121
anoro,121
randy,121
peter king,121
brianna,121
alan dershowitz,120
price,120
mitch mcconnell's,120
stephen moore,120
lebron,119
jr.,119
theraflu,119
jackson,119
rosa flores,119
mayor,118
-he,117
s.e.a.l,117
frank,117
wilbur ross,117
rick perry,116
jeb bush,116
bob menendez,115
gore,115
whisper jingle,114
steve stephens,114
janet yellen,114
cohen,114
kaylee hartung,114
retinol sa,113
maria cardona,113
chris collins,112
george w. bush's,112
don mcgahn,112
cosby,112
