PERSON,Count
donald trump,19959
michael cohen,18960
trump,12073
putin,11639
robert mueller,9712
♪ ♪,9516
wolf,8915
kim jong-un,8506
jeff,8368
hillary clinton,7683
john,7159
chris,6717
vladimir putin,6715
bush,6489
rudy giuliani,5911
mike,5764
paul,5727
david,5128
clinton,5099
john mccain,4876
james comey,4762
michael,4709
john kelly,4703
anthony,4573
cohen,4526
anderson,4322
giuliani,3770
sarah sanders,3698
kim,3634
jim,3562
rick,3417
don,3273
dave,3137
otezla,3123
paul manafort,3101
steve bannon,3061
michael flynn,2898
flynn,2872
brian,2620
robert mueller's,2512
nancy,2314
matt,2163
nixon,2084
bill clinton,2073
jeff sessions,1998
mitch mcconnell,1981
sarah,1937
michael cohen's,1923
max,1895
jared kushner,1891
kelly,1867
ford,1831
scott pruitt,1810
bob mueller,1766
president,1745
george w. bush,1718
joe,1713
john bolton,1624
graham,1611
chuck schumer,1571
don lemon,1561
donald trump jr.,1548
jim acosta,1535
roger stone,1532
dana,1511
gloria,1505
obama,1480
blasey ford,1474
jeff zeleny,1467
paul ryan,1453
harry,1430
mccain,1421
abby,1398
steve,1395
comey,1306
john berman,1287
phil,1253
george h.w.,1249
kellyanne conway,1225
kim jong,1217
andrew mccabe,1162
don mcgahn,1160
devin,1153
chris cuomo,1147
dana bash,1145
jack,1142
brooke baldwin,1140
dave briggs,1140
rick scott,1116
jim sciutto,1085
christopher,1079
michael avenatti,1064
susan collins,1055
lindsey graham,1053
tom,1052
rod rosenstein,1042
jeffrey,1038
reagan,1018
joe biden,996
kennedy,995
larry,963
george,962
carl,931
john brennan,905
badda boom,904
sam,900
jackson,895
mueller,885
boris sanchez,877
jim comey,859
jeffrey toobin,841
matt whitaker,826
hillary clinton's,820
♪ otezla,812
oprah,807
jamal khashoggi,806
jamie,798
brett,797
usaa,781
scott,769
god,762
daniels,760
kevin,757
john king,757
barbara bush,749
marco rubio,747
john dean,742
george papadopoulos,740
nick,732
martin,726
donald trump's,725
mcconnell,724
ronald reagan,723
marijuana,718
xeljanz xr,713
mike pence,705
douglas,699
evan,689
james mattis,687
gloria borger,685
alex,685
peter strzok,683
bob woodward,679
diana,675
john dowd,673
anderson cooper,672
don jr.,671
andrew gillum,665
moon,665
van jones,661
macron,658
johnson,658
evan perez,652
lebron james,642
andy,636
paul manafort's,634
rand paul,633
elizabeth warren,631
nelson,627
pamela brown,626
heartburn,617
george howell,615
bill nelson,608
george bush,607
barbara starr,602
kim jong-un's,600
whoooo,600
chuck grassley,593
bolton,592
scholl,587
dan coats,587
bob corker,580
mark zuckerberg,571
paula,570
manafort,565
lisa murkowski,562
tim,552
my momma ♪,548
ben,547
james clapper,542
richard nixon,537
baker,536
eric,533
michael wolff,528
aretha franklin,527
jessica,525
rudy guiliani,525
craig,519
larry kudlow,518
mitt romney,509
jeanne moos,504
victor blackwell,496
ronny jackson,492
michelle obama,486
james,479
rex tillerson,479
♪ ♪ ♪,473
dr.,469
angela merkel,468
margaret,468
boris,462
laura,462
bernie,461
erdogan,458
diane,457
crown prince,455
douglas high,454
nancy pelosi,453
kaitlan collins,452
erica,448
mavyret,446
joe manchin,445
phil mudd,440
gary cohn,438
john deere,437
jim jordan,435
john mccain's,434
david gergen,433
janssen,433
stacey abrams,429
john.,427
erin burnett,427
barbara,425
bill cosby,425
jesus,424
david axelrod,422
sarah huckabee,422
anthony kennedy,416
trulicity,414
dick durbin,411
burnett,408
chuck,406
emmanuel macron,406
mohammed bin salman,405
ron desantis,403
sam nunberg,402
peter,402
kaitlan,400
ivan watson,400
mick mulvaney,400
christopher steele,398
davis,397
john avlon,389
kaylee hartung,386
kayak,385
kushner,381
nick valencia,380
jim mattis,379
trumps,379
ken,378
kellyanne,376
david pecker,373
ruth,371
john roberts,371
prince harry,370
nic robertson,370
lebron,369
alan,369
ken starr,368
david gregory,367
matthew chance,367
erica hill,367
jason,366
chairman,366
brian kemp,363
thomas,361
dan,361
patrick,360
david chalian,360
abby phillip,359
randi kaye,355
anthony bourdain,354
miguel marquez,349
oprah winfrey,348
barr,348
roseanne barr,348
hillary,347
alisyn,344
monica lewinsky,344
jonathan,343
lee,335
sanjay gupta,334
brooke,333
pope francis,330
fredricka whitfield,329
schumer,328
karen,328
steve mnuchin,327
ron,327
justin trudeau,327
jordan,323
shimon prokupecz,319
josh campbell,318
james comey's,317
tom foreman,317
natalie allen,317
anna,317
charlie,316
kate,315
brett kavanaugh,314
ready ♪,313
s9,312
hepatitis c. it's,311
roy moore,307
bernie sanders,306
alison,303
jared kushner's,303
miguel,303
george soros,302
clark,300
maria,300
andy scholes,300
scott jennings,298
stephen miller,295
michael zeldin,294
lisa page,294
josh,294
jimmy,291
warren,290
davidson,289
taylor,288
nick watt,288
joey,287
maria butina,287
durbin,287
donald j. trump,287
benjamin moore,286
austin,285
matthew whitaker,283
kittens ♪ ♪,283
laura jarrett,282
hep c.,281
andrea,281
lanny davis,280
george herbert,279
mccarthy,278
john kirby,278
jennifer,277
michael hayden,276
martin savidge,273
zicam,272
♪ ♪ brown,271
mark preston,270
jim.,268
corey lewandowski,267
colin kaepernick,267
william,266
bob mueller's,265
bin laden,265
dark magic,264
vascepa,263
steven miller,263
grassley,263
chris collins,262
kyle,262
orrin hatch,260
pamela,260
crowne plaza,260
vladimir putin's,258
allen weisselberg,257
mm,256
john kelly's,254
richard,253
bannon,252
john kasich,252
roberts,249
clarence thomas,249
zuckerberg,248
jfk,248
john kerry,248
doug,247
bobby,246
murkowski,246
adam schiff,245
bob woodward's,245
joe johns,245
brianna keilar,244
patty,244
rubio,243
carl bernstein,243
susan,242
andy mccabe,241
anita hill,241
martin luther,241
sally,240
george conway,240
dan simon,238
martha,238
david shulkin,238
♪  anthony,238
cambridge analytica,234
antonio villaraigosa,234
benjamin netanyahu,234
netanyahu,233
whitaker,233
john kennedy,232
osama bin laden,232
sheila,232
bashar al assad,231
john cornyn,231
robert,230
kevin mccarthy,229
kim jung-un,228
ben carson,227
mnuchin,226
mike flynn,223
blasey ford's,223
george washington,221
kim kardashian,221
tony,221
maggie haberman,219
elizabeth,217
joey jackson,217
coricidin hbp,216
sarah palin,216
john edwards,215
laura bush,215
matthew,214
mark sanford,214
tom pritchard,214
kamala harris,214
jay sekulow,214
apps,213
tom brady,212
nick ayers,211
roger,210
christine romans,209
jackie,209
don mcgann,209
maria ramirez,208
duncan,207
michael flynn's,206
