PERSON,Count
mitt romney,41187
romney,14194
wolf,11127
obama,9894
♪ ♪,8127
rick santorum,7678
paul,6626
mitt romney's,5227
john,5075
ron paul,4922
bush,4621
george zimmerman,4531
clinton,3645
paul ryan,3579
rick,3481
anderson,3356
trayvon martin,3166
bill clinton,3106
mike,3051
joe,2706
martin,2536
joe biden,2463
david,2442
hillary clinton,2432
john mccain,2289
don,2145
michael,1967
whitney houston,1920
chris,1839
kyra,1807
john king,1795
jerry,1761
usaa,1677
brian,1676
osama bin laden,1670
jack,1654
bin laden,1639
zimmerman,1629
tom,1620
reagan,1597
jim,1508
rick perry,1470
john edwards,1467
gloria,1363
jim acosta,1355
sanjay gupta,1331
jeff,1324
god,1301
george w. bush,1279
dana bash,1274
sarah palin,1204
george,1194
james holmes,1178
don lemon,1172
dana,1124
cymbalta,1112
matt,1095
tim,1037
anderson cooper,1019
joe johns,1009
ronald reagan,1000
marco rubio,997
michelle obama,982
alison kosik,944
barbara starr,942
soledad o'brien,937
zoraida sambolin,933
jerry sandusky,931
dan,929
susan,926
jessica,899
marijuana,892
santorum,886
randi kaye,886
ann romney,883
john berman,880
michele bachmann,871
kennedy,853
trayvon martin's,851
eric,846
george zimmerman's,833
bobby,829
christine romans,812
dr.,811
ben,809
elizabeth,806
kevin,804
chen,803
newt gingrich,786
mitt,783
jeanne moos,781
jessica yellin,780
dave,773
brooke baldwin,766
candy crowley,765
gloria borger,765
mubarak,760
alison,757
chris christie,747
george bush,743
peter,732
jesus,724
robert,702
donald trump,688
elizabeth cohen,683
larry,669
erin burnett,665
joe paterno,662
harry reid,658
paul ryan's,642
chuck,635
alex,633
dan lothian,626
whitney houston's,624
max,621
eric holder,615
johnson,608
rick santorum's,608
william,601
kyle,586
james,584
stan,579
ivan watson,578
jon huntsman,577
chris lawrence,569
jimmy carter,540
dick clark,540
bashar al assad,540
michael phelps,539
maria,532
mellon wealth,530
john boehner,529
richard,527
john kerry,526
martin savidge,526
advair,524
margaret,518
nancy,515
john zarrella,513
rob marciano,511
scott walker,507
biden,506
raymond james,503
kofi annan,502
president,501
mark preston,500
jeb bush,498
lisa,498
chris stevens,493
ali velshi,491
williams,487
nick,482
lisa sylvester,482
warren,480
leon,479
brianna keilar,474
harry,471
davis,471
lee,471
tim tebow,470
steve,466
log,466
lin,466
netanyahu,465
tom foreman,464
mark zuckerberg,463
discontinue androgel,461
monica ],459
edwards,456
jocelyn taylor,453
mccain,434
barbara,434
benjamin netanyahu,433
jamie dimon,430
james craig,429
ron,420
haley barbour,415
diana,414
brooke,412
george howell,412
david axelrod,409
wolf blitzer,406
yoplait,401
ben bernanke,399
taylor,398
james carville,394
putin,393
gary tuchman,392
david gergen,391
jason,389
speaker,388
oprah,386
malveaux,381
anthony,381
kate,379
jackson,378
andrew,376
davies,372
donna,371
jeremy lin,371
♪ ♪ ♪,371
nixon,366
ben wedeman,363
jeffrey toobin,363
john.,361
stevens,360
bobby brown,359
ashleigh banfield,359
randy,357
andrew young,357
george clooney,356
sam,354
lenny,352
sarah,351
soledad,350
ken,347
michelle,340
carol,339
roberts,338
jim spellman,338
jfk,333
jay carney,333
gary,331
ron brownstein,331
maria cardona,330
castro,329
jerry sandusky's,328
al gore,328
charlie,326
a.j.,325
hosni mubarak,324
michael jackson,322
paul steinhauser,322
dean,319
kim,318
jason carroll,318
mary snow,317
jesse jackson,310
jack cafferty,303
nic robertson,302
sanford,301
staying,296
hamid karzai,294
reynolds wolf,294
yoyou,290
bloomberg,290
bin laden's,290
sally,290
burnett,290
jennifer hudson,288
rupert murdoch,286
joseph kony,283
patrick,281
chen guangcheng,280
zain verjee,280
diane,277
afternoon,277
craig,277
low t.,276
roland martin,275
dan simon,273
dick cheney,272
george h.w.,272
john avlon,270
ahmadinejad,270
prince harry,268
dan rivers,266
splenda,265
john roberts,263
jamie,262
robert bales,262
chad myers,259
michael bloomberg,259
deborah,257
anna,257
miguel,256
paula,255
rick scott,252
colin powell,252
scalia,251
bashar al,249
ron paul's,248
john avalon,247
peter king,246
michael jackson's,245
fredricka whitfield,243
tom barrett,240
jpmorgan,238
miguel marquez,237
peterson,236
paul begala,233
david cameron,232
li,231
rand paul,231
angela corey,231
carter,230
isaac,228
marilyn,228
sandra endo,227
graham,226
jimmy kimmel,226
♪ werther's,224
prince william,222
vladimir putin,221
bill maher,216
osama bin laden's,216
aretha franklin,215
karen,212
susan rice,212
gore,211
jacqui jeras,210
clark,208
peter hamby,208
kelly,207
s.e.a.l,206
joe biden's,206
bashar al-assad,205
anne,204
lucy,203
giada,202
rubio,201
zoraida,201
jordan,199
thomas,199
matthew chance,198
bob,197
carl,195
josh powell,195
sunny hostin,195
scott brown,193
mahmoud ahmadinejad,192
ari fleischer,191
karen kicked,191
lebron james,190
rudy giuliani,189
chad,189
gabrielle giffords,189
richard nixon,189
mark o'mara,189
mary,188
jimmy hoffa,187
jeffrey,186
max foster,186
jack ],184
john sununu,184
kinda,183
tyler,179
u.n,179
phil,179
john edwards',179
michael page,178
allison,178
bill clinton's,177
paul callan,176
mark,176
austin,175
g.,175
athena jones,174
ed lavandera,173
manson,173
lifelock,172
christopher,171
hillary,170
wayne williams,170
marie colvin,170
robert zimmerman,170
jesse,169
wendy,169
abigail higgins,167
alexandra steele,167
ann,167
eric cantor,167
smith,167
donna brazile,166
kim kardashian,165
mm,164
mike wallace,164
gilmore,164
nelson mandela,163
john f. kennedy,163
quaker yogurt granola,163
newt,162
present.trong,162
terry,162
bashar al assad's,161
robert gibbs,161
jennifer,161
fidel castro,161
moammar gadhafi,161
cheney,160
rob portman,160
bonnie,160
chavez,160
alan,160
lane,159
michael holmes,158
mitch mcconnell,158
bill burton,158
scott,158
lobster lover's,157
lynn,156
zain,156
tom cruise,156
al,155
julian castro,154
ann romney's,154
al assad,152
mark sullivan,151
bashar,151
ashleigh,150
neil,150
kim jong-un,150
jonathan,150
david letterman,149
laura mclennan,149
hormuz,149
alina cho,148
annan,148
andrea,148
abby,146
andy murray,146
john allen,145
brown,145
trayvon,145
armstrong,144
reid,144
boehner,144
katherine jackson,144
annie,143
kate middleton,143
douglas,142
paul mccartney,142
marching bandnd,142
jack kennedy,142
newt gingrich's,141
lyndon johnson,141
oprah winfrey,140
brian todd,140
jesus christ,139
slap!,139
james holmes',139
steve perry,139
joe paterno's,138
cialis tadalafil,138
anncr,138
angela merkel,138
jose,138
claire mccaskill,137
sullivan,137
beth,137
mayor,137
nicolas sarkozy,136
jim twitchel,136
kevin costner,135
s.e.a.l.,135
elise labott,135
al sharpton,134
kyung lah,134
george romney,134
whitfield,134
elizabeth warren,134
kenneth,134
pell,134
emma bo-bemma ♪ banana-fana-fo-femma ♪,133
kerry,132
erick erickson,132
stan grant,132
richard quest,132
jimmy,131
richard roth,131
abraham lincoln,130
negoti - - no time,130
david frum,128
nick valencia,128
joey jackson,128
jon stewart,127
kathleen,127
jay leno,127
mary matalin,127
neil armstrong,126
bp,125
vitamin c.,125
linda,125
peter bergen,125
emphysema,125
matt lauer,124
christine,124
heartburn,123
diamond jubilee,123
felicia taylor,122
hugo chavez,122
kate bolduan,122
prilosec,121
josh levs,121
randi,121
bill 2309,121
jack welch,121
jody gonzalez,120
jim demint,120
perry,120
ali,120
robert blake,120
katie,119
ryan,119
todd akin,118
ashlee,118
holmes,117
bill lee,117
nick paton,117
james cameron,117
thomas sargent,117
janet napolitano,116
bales,116
aaron,116
joe arpaio,116
lisa sylvester's,116
hudson,116
christopher stevens,115
ray kelly,115
john mccain's,114
george washington,114
zuckerberg,114
tomato basil,113
chairman,113
matthew,112
danny,112
andrew stevens,111
bill,111
android apps,110
john huntsman,110
andy,110
brian terry,109
johnny,109
joseph,109
martha,108
bob mcdonnell,108
louis freeh,108
michelle obama's,108
robert kennedy,108
gregg williams,108
howard kurtz,107
stephen colbert,107
joey,107
barry,107
jan brewer,107
anthony kennedy,106
cissy houston,105
joran van der sloot,105
alex sullivan,105
hoffa,105
james bond,105
beneful,104
♪  a minute,104
isha,104
joe carter,103
richard herman,103
betty white,103
joe amendola,102
ralph,101
tebow,101
nancy pelosi,100
new capzasin,100
ben stein,100
quaker oats,100
rick perry's,99
red lobster's,99
boris,98
battle,97
assad,96
josh,96
tyler perry,96
mark geragos,96
powell,96
duncan,96
martin luther,95
tony,95
doug,95
♪ bum-bum,95
brady,95
o'mara,95
earl,95
wendy walsh,95
tim cook,95
erin burnett ',95
joe lieberman,95
gupta,95
♪ rocky,95
poppy harlow,94
u.n.,94
bob baer,94
jana,93
sandra fluke,93
tim curley,93
jessica buchanan,93
hahaha,92
elizabeth edwards,92
murphy,92
rushmore,92
mark kelly,92
karzai,92
strawberry,92
ian lee,91
herman cain,91
victor blackwell,91
rob,91
♪ dave,91
kevin madden,91
jim.,91
elton john,90
sarkozy,90
fiona,90
perez,90
tony blair,90
harry potter,90
issa,90
jessica ghawi,89
alan gross,89
barbara walters,89
andrew breitbart,89
charlie rangel,89
anna navarro,89
shaggy ♪,88
charles manson,88
matelas,88
sharon,88
kim jong-il,88
henry,87
hillary clinton's,87
gingrich,86
michael jordan,86
elizabeth collins,86
ben smith,86
felicia,85
magic johnson,85
bill bennett,85
britta olsen,85
billy graham,85
beth myers,85
chris brown,85
apps,85
stephen moore,85
mohamed morsi,84
serena williams,84
ronald reagan's,84
houla,84
jennifer hudson's,84
mandela,84
melanie,84
larry king,83
chris van hollen,83
saddam hussein,83
prince philip,83
al green,83
brianna,83
aawh,83
juan carlos,82
karl rove,82
eric erickson,82
ralph lauren,82
alaska,82
john bryson,82
ed gillespie,81
janet jackson,81
dick durbin,81
tammy,81
exexpeperirienencece l lifife,81
trtranansisititiononss,81
tom brady,81
king,81
♪ one,81
susan hendricks,81
giuliani,81
kate baldwin,80
bob dole,80
pina colada,80
♪ ♪ one,80
jocelyn,80
ma,79
murdoch,79
jack kemp,79
charles,79
angela trapp,78
goldie taylor,78
uncle sam,78
nelson,78
dan rather,78
gadhafi,78
hamilton,78
joe walsh,77
alex castellanos,77
jim lehrer,77
gary schultz,77
suzanne malveaux,77
cinderella,77
ed,77
t.j. lane,77
jones,77
it't,77
kathy,77
curry,76
splenda no-calorie,76
john brennan,76
patricia,76
charles campbell,76
jack cafferty's,76
robin roberts,76
sean smith,76
nancy reagan,76
sandusky,76
alicia keys,76
pat,76
eveverery y titimeme o of f. ououtdtdoooorsrs,76
clifton,75
marilyn monroe,75
robert f. kennedy,75
lebron,75
david mckenzie,75
mary kennedy,75
jeffrey johnson,74
sheryl,74
laura bush,74
colin,74
chuck schumer,74
madonna,74
becky anderson,73
ross,73
cohen,73
katie holmes,73
us bobby,73
william balfour,72
glenn,72
osteo bi-flex,72
jackie,72
fred,72
fred thompson,72
corey,72
john kasich,72
bunny mellon,72
rookie,72
jennessa,72
brian williams,72
fareed zakaria,71
lenny mcallister,71
angelina jolie,71
madison,71
john king usa,71
john glenn,71
harry truman,71
wel,71
david gatlin,71
corey booker,70
greg smith,70
hall,70
patricia murphy,70
hala gorani,70
clyde anderson,70
karl,70
phil mickelson,69
carlos diaz,69
toucan sam,69
howard,69
bum ♪,69
ron johnson,69
steven moore,69
monica,69
sarah palin's,69
ivan,69
kelly thomas,68
karen klein,68
sheldon adelson,68
salonpas,68
lance armstrong,68
hyde,68
[ earl ],68
pope benedict,68
marcia clark,67
gary johnson,67
bill richardson,67
pippa middleton,67
elizabeth ii,67
ken rogoff,67
harris,67
reynolds,67
johnny carson,67
chaka khan,67
howard stern,67
baltimore,66
train ♪,66
dan.,66
george w. bush's,66
carlos,66
mike brooks,66
roger goodell,66
cory booker,65
timothy geithner,65
brad,65
bernie,65
andrew sullivan,65
jr.,65
john travolta,64
adam mayes,64
ho,64
conrad murray,64
george stephanopoulos,64
bob mcdonald,64
lz granderson,64
mac,64
george mcgovern,64
jennifer granholm,64
noel,64
monica lewinsky,63
suzanne kelly,63
dick,63
martin o'malley,63
allen west,63
yoo-hoo,63
hillary rosen,63
secretary,62
rainier,62
leon panetta,62
bernanke,61
♪ bum-bum;stinct,61
chase,61
eva longoria,61
roth,61
jason carol,61
rafael romo,61
alice stewart,61
jenny,61
charles taylor,61
darrell issa,60
caylee,60
michael crowley,60
omar,60
niagara,60
diana nyad,60
van der sloot,60
tonito,60
michael dukakis,60
laura,59
greg williams,59
chuck grassley,59
kirk cameron,59
prince charles,59
barbara bush,59
stephanie,59
buff,58
raul castro,58
antonin scalia,58
o'brien,58
lindsey graham,58
trumps,58
chardon,58
condi rice,58
michelle turner,58
dimon,57
robert reich,57
bob schieffer,57
watson,57
keene,57
peter keller,57
barney frank,57
♪♪,57
arlen specter,57
dessert,57
kaj larsen,56
nascar,56
susan collins,56
martin dempsey,56
steven tyler,56
mark wahlberg,56
alalwawaysys s seeee,56
mohammed merah,56
anthony mccray,56
rf t. guinea pig,55
andiamo!,55
brandon,55
tampa,55
dick lugar,55
morsi,55
jane fonda,55
brenda,55
khan,55
tim geithner,55
suzanne,55
arthur huntington,55
jesse jackson jr.,54
nicholas,54
mickey loomis,54
jenna,54
meryl streep,54
nick robertson,54
jay-z,54
rupert murdoch's,54
patty,54
richard branson,54
luke,54
john rocker,54
paula newton,54
richard lugar,53
jerry brown,53
lizzie,53
abdullah,53
meredith,53
steve israel,53
john kennedy,53
carol costello,53
gary tuckman,53
cameron,53
joyce,53
jane,53
nakoula basseley,53
bill cosby,52
blair,52
susan g. komen,52
roger,52
reza sayah,52
michele bachmann's,52
clayton,52
rf t. lile cbby,52
simpson,51
david plouffe,51
baker,51
shimon peres,51
gerald ford,51
yuck,51
john larimer,51
michael johnson,51
homs,51
alexandria,51
kirk,51
wayne,51
randy kay,51
huma abedin,51
danica patrick,50
mark allen,50
david sanger,50
george.,50
hamilton county,50
robin gibb,50
donna summer,50
al megrahi,50
ruben kihuen,50
mickey mouse,50
george bush's,50
david beckham,50
trayvon martin.,50
bubba watson,50
john henry brown,50
etta james,50
joe biden.,50
arnold schwarzenegger,50
saddam,50
kingsford,49
ed lavendera,49
wallace,49
willie nelson,49
franklin roosevelt,49
brian wells,49
susan powell,49
chris matthews,49
ehud barak,49
ron.,49
jaquan waller,49
teddy,49
hammer,49
jamie rubin,49
david petraeus,49
adam frucci,48
yeehaw,48
nick payton,48
martin luther king jr.,48
dennis,48
robin,48
patrick kennedy,48
pete,48
john king's,48
brett o'donnell,48
berman,48
tom vilsack,48
margaret thatcher,48
trump,48
[ dennis ] switch,48
jo ann bain,48
lieberman,48
horner,48
gross,47
oscar,47
khakis,47
jessica yellen,47
thomas jefferson,47
madeleine albright,47
pete dominick,47
joe oliver,47
van jones,47
chris welch,47
lynn fenton,47
twitter,47
kim jong,47
tracy martin,47
michael ],46
bob woodward,46
donna brazil,46
brian murphy,46
scott thompson,46
gallagher,46
know jimmy,46
bryson,46
bill o'brien,46
simon,46
chamberlain,46
brad pitt,46
martha johnson,46
andrew.,46
tony scott,45
jensen,45
katy perry,45
lindsay graham,45
evan,45
stuck tom,45
andrew cuomo,45
allison kosik,45
dan quayle,45
x310,45
casey anthony,45
george herbert,45
harry burkhart,45
killen,45
natalee,45
