PERSON,Count
charlie,31872
tom,20580
john,16107
betty,15219
david,13436
matt,9985
erik,9305
stephanie,6970
anna,6869
joe,6184
brendan,6021
hillary clinton,5972
jonathan,5602
michael,4842
mike,4512
bloomberg,4454
chris,4121
paul,4088
kim,3791
jeb bush,3787
donald trump,3710
clinton,3541
tim,3338
vonnie,3075
larry,3008
janet yellen,2998
steve,2977
bush,2965
peter,2933
john:,2876
♪ ♪,2648
obama,2331
hans,2292
al,2220
putin,2198
richard,2169
pimm,2168
cory johnson,2104
marco rubio,2052
angela merkel,2006
hans nichols,1957
tom keene,1954
chang,1842
betty liu,1804
jeff,1759
aaron,1678
matt miller,1675
erik schatzker,1533
mark,1530
vladimir putin,1497
mark zuckerberg,1491
julie,1445
bernie,1392
dick,1360
david cameron,1350
mark crumpton,1342
brian,1342
jack,1327
♪ betty,1323
alex,1287
carson,1278
trump,1267
sam,1256
kevin,1247
brendan greeley,1226
ben carson,1221
john kerry,1217
max,1202
ben,1187
caroline hyde,1174
phil,1174
james,1167
johnson,1152
jim,1142
taylor,1131
john kasich,1083
eric,1047
carl,1038
joe biden,1031
tim cook,1001
john boehner,961
malcolm,950
dan,938
chris christie,898
lisa,875
bill clinton,871
warren,855
rand paul,850
scott walker,827
peter cook,809
bill,797
julie hyman,780
martin,762
sally,748
yang,734
john heilemann,706
robert,699
carl icahn,698
charlie ergen,674
elliott,672
hillary,666
alan,662
jack dorsey,659
mark carney,649
jeb,649
george,641
bloomberg west',634
rubio,631
kerry,627
mark barton,626
guy johnson,625
michael mckee,622
jonathan ferro,616
bobby,615
bob,600
hillary clinton's,597
jason,597
jessica,592
bernie sanders,590
neil,580
dick costolo,568
♪ matt,568
bill gross,567
tsipras,564
ken,563
sarah,560
mitt romney,559
jeffrey,559
yvonne,557
jack ma,551
netanyahu,540
rick,539
reagan,531
♪ jonathan:,527
tom brady,525
corey,476
paul ryan,474
bloomberg west,474
dick:,467
don,464
jpmorgan,462
♪ erik,460
♪ john,454
♪ stephanie:,454
♪ john:,452
jamie,449
andrew,446
♪ david,442
tony,441
pimm fox,440
bill ackman,436
alix,418
arnold,410
♪ anna,405
jamie dimon,402
graham,400
rick perry,398
williams,394
elizabeth,392
benjamin netanyahu,391
♪ betty:,388
vonnie quinn,383
arnold donald,383
george osborne,382
nick,382
donald,381
caroline,378
anne,376
kim dotcom,373
christine lagarde,364
margaret,364
bryan,361
jennifer,357
dropbox,355
lee,352
dave,346
anna edwards,345
elizabeth warren,337
jeff bezos,335
lawrence,334
howard,332
julie:,331
reid,328
george:,327
john mccain,324
patrick,322
jonathan:,318
beth,314
zuckerberg,311
thomas,310
craig,309
isil,308
roger,306
sheldon,306
mark halperin,303
larry ellison,298
simon,298
twitter,290
eu,288
pope francis,287
rick santorum,285
jordan,284
adam,283
george w. bush,283
peter thiel,282
ben bernanke,279
josh,277
nixon,274
bloomberg west.,274
christopher,272
jonathan tisch,271
mccarthy,267
max levchin,265
jerry,264
michael:,264
lee kuan yew,262
cameron,261
barry,257
paul allen,257
richard branson,256
marijuana,255
carter,254
tom steyer,251
marco,250
johnny,249
hamilton,247
kasich,247
elon musk,247
kevin mccarthy,247
karl,246
bashar al-assad,245
alan krueger,243
khan,243
ronald reagan,241
andy,241
brady,240
nancy,240
elliott gotkine,240
god,239
martin o'malley,238
michelle,236
abigail,236
evan,232
anthony,232
stephen engle,223
david kirkpatrick,219
al hunt,217
dean,217
jeb bush's,215
arthur,213
sab miller,212
francine lacqua,211
carl riccadonna,211
ethan,210
♪  good morning,207
marc benioff,206
scott,205
philip,204
kenneth,203
colin,201
janet yellen's,200
marc,199
wolfgang,198
biden,196
david letterman,195
william,195
chad hurley,194
mitch mcconnell,194
castro,193
jimmy,193
erdogan,192
su keenan,190
lindsey graham,188
bill gurley,188
doug,188
melinda,186
george bush,186
alan greenspan,184
marc andreessen,181
angie,181
chris sacca,181
stan,180
mark andreessen,178
matthew,177
kennedy,177
glenn,176
sheldon adelson,176
dr.,172
jack lew,172
ron,172
romney,167
chuck,167
brian moynihan,166
mcraven,164
messenger,162
baker,162
alex sherman,161
brad,161
bin laden,161
marissa mayer,160
sheryl sandberg,160
dick cheney,160
kissinger,159
keri,159
jon stewart,159
boehner,158
mike mckee,158
rachael,157
mullen,157
john ledger,155
♪ ♪ betty,155
saddam hussein,154
tracy,154
tim armstrong,154
gary,153
gore,153
michael dell,153
john malone,153
david westin,152
bloomberg tv,152
msci,152
rupert murdoch,152
george soros,151
lebron james,151
john fallon,151
john chen,150
david karp,149
tony abbott,149
jordan spieth,149
david:,149
mohamed el-erian,149
ana botin,147
mccaskill,147
bernanke,147
lisa abramowicz,147
juliet,144
xi jinping,144
mccain,143
nolan,143
nicolle,142
chris anderson,142
donald trump's,140
nichols,139
tisch,138
ellen pao,138
draghi,138
robert:,137
pacino,137
nelson,137
jon,136
steyer,136
george pataki,136
harry reid,135
john doerr,134
al-abadi,134
ho,133
tom wheeler,133
mikhail,132
henry kissinger,132
john chambers,132
♪ yvonne:,130
adidas,130
morell,130
william burns,130
george lucas,129
chuck schumer,128
