PERSON,Count
bloomberg,39672
david,38844
charlie,24776
tom,13638
jonathan,12752
donald trump,11943
♪ ♪,11466
vonnie,9553
julia,7561
joe,7199
matt,6888
anna,6375
michael,5607
trump,5180
kevin,4928
taylor,4548
janet yellen,4161
betty,4157
paul,4130
mike,3933
jeff,3732
john,3414
erik,2895
mark crumpton,2500
angela merkel,2500
brexit,2488
clinton,2440
putin,2235
james,2172
bush,2164
yvonne,2163
kathleen,2146
brian,2111
eric,2063
abigail,2042
steve,1945
peter,1912
chris,1856
julie,1811
kevin cirilli,1805
mark barton,1683
♪ david,1652
james comey,1578
tim,1558
matt miller,1529
vladimir putin,1494
steve bannon,1469
jonathan ferro,1465
lisa,1465
larry,1449
tom keene,1446
david westin,1423
alex,1402
jim,1396
robert,1392
yousef,1357
vonnie quinn,1325
hillary clinton,1286
warren,1280
phil,1280
jonathan:,1265
mitch mcconnell,1255
jeffrey,1230
comey,1223
chang,1218
theresa,1183
michael mckee,1172
rex tillerson,1161
steve mnuchin,1156
tim cook,1146
betty liu,1146
paul ryan,1137
johnson,1111
paul allen,1077
bloomberg businessweek,1056
jamie dimon,1033
jason,1025
oprah,1006
caroline hyde,1004
nejra,1001
gary cohn,995
macron,978
michael flynn,972
bob,926
alisa,909
mark carney,898
colin,893
max,888
david gura,887
guy johnson,869
cory johnson,867
dan,863
obama,856
emmanuel macron,841
robert mueller,828
♪ jonathan,814
mnuchin,812
kim jong-un,804
martin,797
julia chatterley,789
john mccain,781
anthony,780
jack,776
steven mnuchin,766
richard,764
jamie,757
hannah,746
ben,745
♪ jonathan:,711
♪ julia,706
david:,706
mark zuckerberg,701
reagan,700
flynn,682
donald trump's,677
mark,660
♪ david:,658
jerome powell,653
sarah,649
jared kushner,620
trumps,609
wilbur ross,608
alan,600
erik schatzker,596
jeff sessions,594
anna edwards,592
jpmorgan,588
♪ vonnie,584
andrew,573
bloomberg businessweek',570
eu,566
rick,563
jeff bezos,560
john:,557
♪ vonnie:,556
kelly,552
collins,545
george,541
♪ matt,538
william,537
boris johnson,528
mcconnell,522
susan,521
buffett,520
john kelly,520
powell,519
neil,519
abigail doolittle,515
john taylor,513
christopher,511
julie:,505
jay powell,503
xi jinping,502
erdogan,495
sophie kamaruddin,492
oliver renick,492
♪ anna,487
carl,484
♪ yvonne:,479
bob corker,466
msci,465
ross,461
patrick,454
sam,454
sheryl,451
david kirkpatrick,450
nick,449
margaret,446
carol massar,444
deets,433
chuck schumer,422
tracy,420
♪ hannah,418
susan collins,406
alison,405
david davis,403
philip hammond,403
lee,398
jordan,391
roy moore,388
abe,388
rand paul,387
elliott,387
mike pence,387
thomas,384
bill,384
caroline,383
kenneth,381
♪ emma,380
bill gross,380
george w. bush,373
carter,366
julie hyman,365
al,361
sheryl sandberg,360
stephen engle,359
ronald reagan,352
trudeau,349
xi,348
president,346
jack ma,344
jay y. lee,342
francine lacqua,337
maria,337
janet yellen's,335
carol,333
robert:,329
kuroda,328
bill clinton,326
kim,326
♪ taylor,325
♪ julie:,324
emma,322
ken,317
tom mackenzie,316
paul manafort,309
elon musk,308
john cryan,306
♪ betty,306
graham,303
kim jong,302
x1,300
justin trudeau,299
roger,298
jacob zuma,296
wolfgang,293
♪ ashlee,293
kalanick,290
simon,290
irma,289
tillerson,287
sally,282
juliette saly,282
craig,281
bloomberg tv,278
nancy,275
ashlee,272
kevin brady,270
andy,269
robert kaplan,267
ben bernanke,265
marco rubio,260
dana,260
dave,259
george:,257
nixon,254
sarah frier,253
emma chandra,253
gary,251
luke,249
brady,243
bloomberg technology',241
zuckerberg,238
howard,238
malcolm,238
alix,238
mick mulvaney,236
david rubenstein,233
bill ackman,233
benjamin netanyahu,232
selina,232
su keenan,231
eric newcomer,230
brian moynihan,229
elizabeth warren,229
mark gurman,228
chuck,224
shinzo abe,224
lloyd blankfein,224
♪ yousef,223
carson,223
john williams,221
bonnie,221
kennedy,217
hannah elliott,217
laura,216
ethan,215
moon,211
doug jones,210
kerry,210
bashar al-assad,209
sebastian salek,208
james mattis,208
alex webb,207
selina wang,206
melinda,206
kathy,205
kissinger,204
kim jong-un's,203
glenn,202
katie,202
♪ ♪ yousef,196
martin schulz,195
tom price,194
mccain,193
netanyahu,193
bob o'donnell,193
harry,193
jessica,193
williams,192
andrea,192
jason kelly,191
indra,188
lisa abramowicz,187
bob mueller,187
nicholas,186
david ingles,186
alan greenspan,185
elizabeth,185
davis,185
draghi,184
bernie,183
♪ alisa,181
god,181
scott,181
katy,180
matthew,179
twitter,179
henry,176
bob iger,176
mike mckee,175
hillary,175
kohl,174
barry,174
adam,174
joanathan,174
watson,173
evan spiegel,173
marijuana,173
mohamed el-erian,172
james:,172
evan,171
dr.,170
peter navarro,169
george bush,169
jennifer,168
philip,168
jeremy corbyn,167
mac,166
tony blair,166
michael jordan,164
lindsey graham,164
carl icahn,164
jim comey,163
courtney,162
jack dorsey,162
angela merkel's,162
joseph,162
bloomberg surveillance,161
donna,161
christine lagarde,159
jackson hole,158
douglas,156
jessica summers,156
ron johnson,156
tom brady,156
robert mueller's,155
bannon,152
josh,150
marshmallowy,149
gamal el-din,149
j.p.,148
hamilton,147
bill dudley,146
bobby,146
jim mattis,146
♪ ♪  this,146
crown prince,145
kellyanne conway,144
libby,143
rosenthal,142
courtney collins,141
betty lou,141
mark warner,141
john kerry,140
donald trump jr.,140
yellen,139
diana,139
diane,139
kai-fu,139
gillian,139
donald,139
marvin,138
nick:,137
masayoshi,137
sarah huckabee,137
simon kennedy,136
michael dell,135
kit juckes,135
stan,135
jon:,134
james comey's,134
ginni,134
michael bloomberg,133
robert kraft,133
alphabet,132
el-din,131
jon,131
ruth,131
de,131
hillary clinton's,130
su,129
colin:,129
♪ whoooo,128
♪ jon:,128
baker,127
q4,127
mifid ii,126
nicolas maduro,126
♪ ♪ taylor,126
tracey,124
james bevan,124
jes staley,123
dean,123
maduro,123
marilyn,123
jim:,122
sergio,122
sahil kapur,122
tim armstrong,122
♪ nikki,121
rupert harrison,120
jenna,120
michelle,120
saddam hussein,119
mark mobius,118
mueller,118
george papadopoulos,118
joe kaeser,118
greenspan,117
adidas,116
nikki haley,116
paula,116
john micklethwait,115
nelson,115
john mcenroe,114
sebastian,114
ian,113
aaron,112
richard jones,112
chairman,112
gates,112
charles evans,112
danny,111
lisa murkowski,111
michael collins,111
carl riccadonna,110
corey,110
jim bullard,110
david cameron,110
terry,110
annie,110
meredith,109
ralph,109
nancy pelosi,109
pence,109
bloomberg surveillance',108
kathleen hunter,108
abby,108
merkel,108
judy,107
michael moore,107
paul ryan's,106
rubio,105
li,105
dennis,105
zuma,105
king,105
rick perry,105
bill gates,104
♪ yo-yo,104
randy,104
geoffrey,104
peter thiel,103
dara khosrowshahi,103
mark cudmore,103
tony,103
gary cohen,103
porsche,102
rupert murdoch,102
scott pruitt,102
steve schwarzman,102
donald tusk,102
petraeus,101
khan,100
u.n,100
gartside,100
don,98
♪ erik,98
megan murphy,97
rudy giuliani,97
jenny,97
♪ ♪ matt,97
william dudley,96
atty gen.,96
bob michele,96
alan krueger,96
bitcoin,96
sean spicer,96
kushner,96
kasich,95
carl weinberg,95
tom giles,94
mar-a-lago,94
allison,94
brad,93
harvey,93
kokou,93
henry kissinger,93
bernanke,93
scalia,92
mary barra,92
yousef gamal el-din,91
karen,91
peter dixon,91
colin robertson,90
richard nixon,90
orrin hatch,90
marco polo,90
lynn,90
laura keller,90
gina martin,89
hans,89
bryan,89
john flannery,89
gerry,89
e.u.,89
moreau,88
mark gilbert,88
javad sharif,88
li keqiang,88
james bullard,88
michael:,88
stephen,88
stephen bannon,88
juliette,87
gabriela,87
michael jackson,87
george soros,87
jay leno,86
burns,86
♪ betty:,86
joshua,85
schumer,85
jfk,85
bhp billiton,85
jerry,85
mark tucker,84
jane foley,84
cristina,84
sessions,84
arianna huffington,84
♪ ♪ ♪,84
dick,83
marty,82
george osborne,82
pope francis,82
geoffrey yu,82
dudley,82
bloomberg technology,82
mulvaney,82
mark cuban,82
wendy,81
stephen roach,81
george h.w.,80
bloomberg editor,80
eric schmidt,80
joe manchin,80
dimon,79
neil gorsuch,79
stoltenberg,79
tracy alloway,79
jim hackett,79
♪ ♪ emma,79
stephanie,78
alex barinka,78
robert mugabe,78
shinta,78
jeff rosenberg,77
stephen schwarzman,77
boris,77
chuck robbins,77
austin,77
david einhorn,77
sam zell,76
princeton,76
tesla,76
adam haigh,76
patrick armstrong,76
lisa:,76
zarif,75
paul donovan,75
martin guitar,75
erik nielsen,75
nora,75
martha,75
jonathan weiss,75
haslinda amin,75
robert shiller,75
betsy devos,75
ginsburg,74
stephanie baker,74
stephen miller,74
frederic,74
hardens,74
naomie,74
walter isaacson,74
tim cook's,74
ralph lauren,73
kevin kelly,73
bloomberg ♪,73
jerry brown,73
alan higgins,73
richard clarida,72
janet,72
abstaining,72
paul krugman,72
lun,72
brian belski,72
jones,72
brown,72
jesus,72
walt,71
carlos,71
david solomon,71
david riley,71
deborah,70
martin shkreli,70
mitt romney,70
blair,70
isil,70
james murdoch,69
randall stephenson,69
stan fischer,69
satya nadella,69
sergey lavrov,69
chen,69
marilyn watson,69
richard branson,69
joe biden,68
dan coats,68
michael flynn's,68
alex sherman,68
tom wheeler,68
evans,68
peter coy,68
gross,68
wolf,67
liam fox,67
mike flynn,67
norman,67
sarah sanders,67
justin,67
jack lew,67
jackson,67
steve scalise,67
bund,67
david welch,67
bloomberg intelligence,66
apps,66
mike mayo,66
walter,66
cirilli,65
jeb,65
jitendra,65
gulliver,65
dennis lockhart,65
enda,65
george washington,64
dean heller,64
charlie evans,64
♪ yousef:,64
jim jordan,64
marc benioff,64
louis fed,64
karl,63
caitlin,63
gene munster,63
scott morrison,63
steven spielberg,63
donald trumps,63
doug,63
michael holland,63
bloomberg markets,62
qe,62
greg davis,62
robin,61
tells bloomberg,61
jacob,61
murdoch,61
caroline connan,61
richard burr,61
kathy jones,61
stephen mnuchin,61
juliet,61
g.m.,61
hamad al-thani,61
cohen,60
rex tillerson's,60
uber,60
mike lee,60
ma,60
haley,60
melenchon,60
lacqua,60
howard schultz,60
brad stone,60
duncan,59
pimm,59
adam posen,59
julia:,59
bernie sanders,59
jens,59
bruce kasman,59
♪ tracy:,59
emmanuel macron's,59
