PERSON,Count
charlie,31821
david,31355
donald trump,26179
hillary clinton,20344
bloomberg,20326
john,18512
tom,15737
clinton,15571
matt,8160
anna,7513
jonathan,7359
vonnie,7309
♪ ♪,6993
joe,6466
michael,5350
trump,4736
mike,4439
bernie,3910
betty,3556
jeff,3525
janet yellen,3521
erik,3282
paul,3248
john:,2822
mark crumpton,2726
obama,2587
john kasich,2479
chris,2459
brexit,2405
marco rubio,2345
taylor,2171
tom keene,2137
steve,2113
hillary clinton's,2064
bernie sanders,2033
stephanie,2007
peter,1894
bill clinton,1863
david cameron,1828
alex,1824
putin,1810
tim,1787
julie,1772
eric,1707
♪ david,1681
matt miller,1676
chang,1620
mark barton,1595
bush,1587
mark,1573
larry,1516
vladimir putin,1486
james,1484
hillary,1481
johnson,1454
angela merkel,1436
kevin,1424
mark carney,1414
mitt romney,1413
dan,1407
abigail,1396
paul ryan,1369
caroline hyde,1326
jim,1288
brian,1279
vonnie quinn,1224
lisa,1196
warren,1171
al,1162
nejra,1108
david gura,1100
jeb bush,1086
donald trump's,1078
richard,1029
hans,997
cory johnson,985
mark zuckerberg,980
ben,945
yousef,921
david westin,921
margaret,912
donny,897
jack,889
tim cook,888
reagan,876
alan,847
yvonne,847
bob,826
michael mckee,818
betty liu,815
bloomberg businessweek,813
john kerry,804
robert,769
jonathan ferro,762
chris christie,749
max,743
hamilton,730
x1,725
martin,721
carl,720
buffett,719
tim kaine,696
john heilemann,683
jamie dimon,675
boris johnson,673
guy johnson,664
lin-manuel,661
julie hyman,658
kim,651
kenneth,632
elizabeth warren,625
erik schatzker,624
sam,610
♪ matt,608
♪ anna,585
george,583
jpmorgan,578
john mccain,574
bill gross,559
paul allen,558
rubio,555
neil,547
erdogan,546
kuroda,535
rick,535
♪ john,533
francine lacqua,532
anthony,531
david:,526
bloomberg west,520
joe biden,519
julie:,519
jamie,513
phil,509
♪ vonnie,507
sarah,505
♪ john:,504
ronald reagan,502
anna edwards,500
andrew,498
jennifer,497
eu,495
caroline,490
patrick,488
david kirkpatrick,487
alix,477
♪ vonnie:,465
bill,452
tracy,451
simon,445
donald,444
peter thiel,439
glenn,438
♪ david:,430
carl icahn,426
trumps,426
carol massar,424
abigail doolittle,424
george osborne,418
james comey,418
christopher,415
kellyanne conway,413
brendan,412
ginsburg,409
gates,407
mike pence,405
alan greenspan,405
♪ jonathan:,404
♪ betty,400
jason,398
nick,392
kellyanne,386
george w. bush,383
christine lagarde,382
gary johnson,379
ken,372
theresa,368
romney,367
michelle obama,361
ben carson,355
scalia,353
joshua,352
george soros,351
john cryan,350
tony,347
jeff bezos,342
louis c.k,342
howard,342
jack dorsey,339
♪ jonathan,339
janet yellen's,335
michael:,334
williams,332
baker,329
george:,328
mitch mcconnell,324
kasich,321
stumpf,319
mcconnell,318
kerry,316
hans nichols,314
comey,312
philip hammond,312
carson,310
michael moore,308
abby,305
al gore,302
evan,299
barry,297
corey,296
jonathan:,295
nicolle,295
bloomberg west',287
msci,287
steve bannon,286
nancy,285
elliott,282
carol,278
sanders,276
michael bloomberg,275
thomas,273
andy,271
marco,271
andrea,270
susan,267
loretta lynch,267
bloomberg west.,267
danny,267
mark halperin,264
anne,264
twitter,263
dave,263
jon,262
rudy giuliani,261
cameron,259
adam,259
zuckerberg,258
megan murphy,258
bonnie,255
george bush,254
elon musk,253
jack lew,252
abe,246
carter,244
jeffrey,241
matthew,241
elizabeth,241
lee,240
nixon,238
courtney,237
craig,233
william,232
chuck,226
isil,226
luke,225
harry reid,223
dean,223
jon:,221
richard jones,218
kelly,216
sarah palin,213
bloomberg businessweek',212
scott,210
gloria,210
kaine,206
amanda,204
melinda,202
jeb,202
douglas,202
tom friedman,200
ben bernanke,199
anderson,198
mohamed el-erian,198
don,196
boris,195
philip,195
ruth,195
jordan,193
angie,193
god,192
john williams,192
khan,192
jefferson,190
crown prince,188
bill ackman,188
tom mackenzie,187
malcolm,186
huffington,186
lucy,185
rick perry,184
stephen engle,182
bryan cranston,179
♪ jon:,179
dilma rousseff,179
yellen,178
mike mckee,177
bill clinton's,176
marijuana,176
lin,176
kennedy,175
kathleen,175
jack ma,174
brian moynihan,173
nicholas,172
josh,172
brad,170
biden,170
al hunt,169
henry,168
♪ julie:,167
julia,166
juliette saly,166
dropbox,166
joseph,163
bloomberg surveillance,162
dana,161
ashlee,160
louis c.k.,159
katy,158
rupert murdoch,158
emma,158
john micklethwait,157
lisa abramowicz,157
david weston,157
robert kaplan,157
tony blair,157
greenspan,156
paul manafort,155
♪ stephanie:,155
flint,153
david ingles,152
aaron,152
javier,151
roger,151
wilbur ross,150
alexander hamilton,150
mark mobius,149
hanjin,149
johnny,147
lynn,145
dr.,144
marissa mayer,144
merrick garland,144
♪ yousef,144
robert:,144
maria,144
simon kennedy,143
chuck schumer,143
tommy,143
draghi,142
marco rubio's,141
michelle,141
john podesta,141
juliet,141
samuel,140
mark cuban,140
gore,137
justin trudeau,137
jessica,137
marissa,137
donald j. trump,136
alan krueger,136
brendan greeley,136
rose,135
doug,135
kim jong-un,135
rumsfeld,135
jenna,134
graham,134
mccullough,134
gary,134
jill stein,133
brett,133
jerry,133
adidas,133
scott walker,132
dick,131
tim armstrong,131
alex webb,131
alex w.:,131
sarah frier,130
♪ yvonne:,128
bob corker,128
jeff mccracken,128
castro,128
abby joseph cohen,128
bob dudley,127
ralph lauren,126
saddam hussein,126
mark b.:,125
stephen bannon,125
shinzo abe,125
reid,124
lyndon johnson,124
lynch,124
♪ ashlee,124
jfk,122
halliburton,122
jim:,121
john stumpf,121
stan,121
bill gates,120
mitt romney's,120
antonin scalia,120
james:,120
geoffrey,120
alex sherman,120
harold,119
pope francis,118
david w.:,118
donnie,118
martin gilbert,117
janet,116
beth,116
q4,116
jo cox,116
david davis,116
larry ellison,115
carl riccadonna,114
john dickerson,114
rex tillerson,113
carlin,113
jimmy carter,113
duncan,113
von der leyen,112
cruz,111
oliver renick,111
richard branson,111
j.p.,111
jeremy corbyn,111
jackson hole,111
jane foley,110
ross,110
jane,109
alisa,109
watson,108
bryan,108
carl weinberg,106
deborah,105
♪ erik,105
barbara,105
bashar al-assad,104
jony,103
penn,103
john fallon,103
steven mnuchin,103
margaret thatcher,103
ralph,103
giuliani,102
jennifer jacobs,101
paul ryan's,101
murphy,100
kevin systrom,100
ron,100
nancy reagan,100
davis,100
kohl,100
david cameron's,99
rousseff,99
enda,99
jenny,99
dick cheney,99
courtney collins,99
jimmy,99
angela merkel's,98
paul krugman,97
tom brady,97
gene munster,97
keri,97
sab miller,97
cook,96
harry,96
alex b.:,96
ethan,96
petraeus,96
haley barbour,95
messenger,95
sheryl sandberg,95
william hill,95
john boehner,95
jacob,95
dennis lockhart,94
elliott gotkine,94
adam posen,93
madeleine albright,93
tim miller,92
karen,92
joe weisenthal,92
kara,92
george washington,92
mark hurd,92
terry,92
christie,92
stephen,91
♪ emma,91
linda,91
dingell,90
james bevan,90
laura,90
lloyd blankfein,90
nigeria,89
david petraeus,89
♪ betty:,89
sebastian salek,88
richard nixon,88
david french,88
sally,88
tim higgins,88
flynn,88
david stubbs,87
nooyi,86
chuck robbins,86
benjamin netanyahu,86
john paulson,86
garrett,85
robin,85
campbell,85
donny deutsch,85
brown,84
katie,84
david rubenstein,84
norman,83
james gorman,83
sun edison,83
pamela,83
raul castro,82
paolo,82
eyre,82
alphabet,82
bret,82
nick:,82
brady,81
su keenan,81
charles evans,81
bob iger,81
osama bin laden,81
selina,81
alex wagner,81
howard ward,81
jackson,80
jes staley,80
eric schmidt,80
allison,80
stephen roach,79
aubrey mcclendon,79
glenn stevens,79
lindsey graham,79
henry kissinger,79
kate,79
laura keller,79
ian,79
colin powell,78
abraham lincoln,78
jerry brown,78
wolf,78
bob parker,77
colin,77
james bullard,77
chris wallace,77
martha,77
justin,77
harold hamm,76
arianna huffington,76
wendy,76
mark andreessen,76
jesse,76
dick costolo,76
apps,76
david duke,76
libby,75
hurricane matthew,75
john chen,75
susan collins,75
el-sisi,74
anderson cooper,74
enda curran,74
michael dell,74
carney,74
pamela ritchie,74
brad stone,73
geoffrey yu,73
marc benioff,73
howard dean,73
nora,73
heidi,73
diplo,73
michael flynn,72
mindy,72
patrick armstrong,72
jim bullard,72
andreessen horowitz,72
marc,71
dimon,71
mark c.,71
catherine mann,71
bhp billiton,71
fidel castro,71
rick scott,70
joseph stiglitz,70
jacob zuma,70
dudley,70
bill dudley,70
kashkari,70
nicolas sarkozy,69
chairman,69
george magnus,69
omar mateen,69
kathy,69
david brooks,68
kit juckes,68
kathie,68
breitbart,68
♪ ♪xfinity's,68
indra,68
sergio,68
president,68
jim baker,68
thomas jefferson,68
jeb bush's,68
arianna,67
.9%,67
bin laden,67
reid hoffman,67
james carville,67
mac,67
stanley fischer,66
erik johnson,66
luke cage ♪,66
gerry,66
mark gilbert,66
bloodline ♪,66
♪ narcos,66
mike murphy,66
marco polo,66
mike evans,65
john h.:,65
george herbert,65
chris matthews,65
charlie ergen,65
sharon,65
wallace,65
oracle,64
michael jordan,64
gregg,64
♪ jon,64
♪ hans,64
mike pearson,64
rick snyder,64
bratton,64
robert hormats,64
tesla,64
lun,64
♪ ♪ ♪,64
leon,63
nelson,63
mccain,63
john kasich's,63
andrew:,63
steven saywell,63
nigel farage,62
jeff glor,62
lott,62
mitsubishi,62
