Year,Network,ORG,Count
2013,FBC,fed,10755
2013,FBC,congress,7368
2013,FBC,irs,4942
2013,FBC,senate,4833
2013,FBC,the white house,4422
2013,FBC,s&p,3578
2013,FBC,the new york stock exchange,3012
2013,FBC,medicare,2467
2013,FBC,microsoft,2347
2013,FBC,google,1799
