Year,Network,ORG,Count
2015,MSNBC,congress,10774
2015,MSNBC,msnbc,10502
2015,MSNBC,the white house,8630
2015,MSNBC,nbc,7360
2015,MSNBC,senate,6974
2015,MSNBC,fbi,5059
2015,MSNBC,the republican party,4689
2015,MSNBC,gop,4317
2015,MSNBC,nbc news,4099
2015,MSNBC,al qaeda,2735
