Year,Network,NORP,Count
2017,MSNBC,republicans,35877
2017,MSNBC,democrats,26775
2017,MSNBC,american,25651
2017,MSNBC,republican,25242
2017,MSNBC,russian,21692
2017,MSNBC,americans,13296
2017,MSNBC,russians,11434
2017,MSNBC,democrat,6217
2017,MSNBC,sean,5223
2017,MSNBC,democratic,4146
