Year,Network,NORP,Count
2018,CNBC,chinese,8913
2018,CNBC,american,5862
2018,CNBC,european,4260
2018,CNBC,democrats,2844
2018,CNBC,republicans,2094
2018,CNBC,americans,1659
2018,CNBC,italian,1572
2018,CNBC,russian,1399
2018,CNBC,german,1309
2018,CNBC,republican,1191
