ORG,Count,Network,Year
fed,30079,Bloomberg,2016
congress,5238,Bloomberg,2016
the european union,4768,Bloomberg,2016
google,4757,Bloomberg,2016
s&p,4684,Bloomberg,2016
yahoo,4628,Bloomberg,2016
deutsche bank,4292,Bloomberg,2016
senate,4083,Bloomberg,2016
microsoft,3916,Bloomberg,2016
fbi,3602,Bloomberg,2016
the white house,3483,Bloomberg,2016
apple,2785,Bloomberg,2016
samsung,2581,Bloomberg,2016
the republican party,2355,Bloomberg,2016
treasury,1906,Bloomberg,2016
the bank of england,1771,Bloomberg,2016
bloomberg news,1733,Bloomberg,2016
morgan stanley,1603,Bloomberg,2016
at&t,1556,Bloomberg,2016
wells fargo,1443,Bloomberg,2016
euro,1409,Bloomberg,2016
fx,1346,Bloomberg,2016
state,1320,Bloomberg,2016
the supreme court,1305,Bloomberg,2016
intel,1239,Bloomberg,2016
bloomberg,1236,Bloomberg,2016
nato,1229,Bloomberg,2016
hsbc,1166,Bloomberg,2016
the democratic party,1137,Bloomberg,2016
bank of america,1109,Bloomberg,2016
ford,1070,Bloomberg,2016
cbs,1017,Bloomberg,2016
volkswagen,968,Bloomberg,2016
amazon,961,Bloomberg,2016
sony,942,Bloomberg,2016
ibm,928,Bloomberg,2016
sec,917,Bloomberg,2016
supreme court,912,Bloomberg,2016
jpmorgan,892,Bloomberg,2016
nbc,827,Bloomberg,2016
gop,827,Bloomberg,2016
the new york times,820,Bloomberg,2016
bloomberg television,814,Bloomberg,2016
ge,800,Bloomberg,2016
cnn,789,Bloomberg,2016
capitol hill,774,Bloomberg,2016
gm,696,Bloomberg,2016
the federal reserve,671,Bloomberg,2016
boeing,662,Bloomberg,2016
opec,644,Bloomberg,2016
fed,33552,Bloomberg,2017
the white house,12286,Bloomberg,2017
congress,12127,Bloomberg,2017
senate,11337,Bloomberg,2017
google,5254,Bloomberg,2017
s&p,4009,Bloomberg,2017
the european union,3950,Bloomberg,2017
microsoft,3638,Bloomberg,2017
treasury,3600,Bloomberg,2017
fbi,3523,Bloomberg,2017
samsung,3247,Bloomberg,2017
capitol hill,3098,Bloomberg,2017
apple,2667,Bloomberg,2017
toshiba,2179,Bloomberg,2017
euro,2146,Bloomberg,2017
deutsche bank,2115,Bloomberg,2017
white house,2102,Bloomberg,2017
nato,2016,Bloomberg,2017
at&t,1847,Bloomberg,2017
morgan stanley,1826,Bloomberg,2017
ford,1786,Bloomberg,2017
amazon,1762,Bloomberg,2017
house,1744,Bloomberg,2017
gop,1674,Bloomberg,2017
ibm,1596,Bloomberg,2017
bloomberg,1568,Bloomberg,2017
sec,1392,Bloomberg,2017
intel,1383,Bloomberg,2017
bloomberg news,1383,Bloomberg,2017
bank of america,1341,Bloomberg,2017
ge,1277,Bloomberg,2017
the bank of england,1266,Bloomberg,2017
the republican party,1258,Bloomberg,2017
state,1254,Bloomberg,2017
medicaid,1241,Bloomberg,2017
gm,1226,Bloomberg,2017
fx,1194,Bloomberg,2017
the supreme court,1179,Bloomberg,2017
yahoo,1078,Bloomberg,2017
fcc,1051,Bloomberg,2017
boeing,1015,Bloomberg,2017
cia,980,Bloomberg,2017
jpmorgan,973,Bloomberg,2017
hsbc,953,Bloomberg,2017
wells fargo,946,Bloomberg,2017
the federal reserve,879,Bloomberg,2017
the justice department,831,Bloomberg,2017
supreme court,822,Bloomberg,2017
cbs,820,Bloomberg,2017
bloomberg technology,812,Bloomberg,2017
fed,9131,Bloomberg,2014
google,7083,Bloomberg,2014
microsoft,5522,Bloomberg,2014
congress,5309,Bloomberg,2014
senate,3411,Bloomberg,2014
the white house,3215,Bloomberg,2014
samsung,2970,Bloomberg,2014
yahoo,2965,Bloomberg,2014
apple,2493,Bloomberg,2014
sony,2124,Bloomberg,2014
s&p,1981,Bloomberg,2014
at&t,1973,Bloomberg,2014
gm,1864,Bloomberg,2014
nsa,1711,Bloomberg,2014
ibm,1673,Bloomberg,2014
ford,1520,Bloomberg,2014
nato,1469,Bloomberg,2014
hamas,1403,Bloomberg,2014
warner,1337,Bloomberg,2014
the european union,1209,Bloomberg,2014
cia,1202,Bloomberg,2014
amazon,1171,Bloomberg,2014
mcdonald's,1139,Bloomberg,2014
fcc,1067,Bloomberg,2014
ge,1054,Bloomberg,2014
cbs,998,Bloomberg,2014
al qaeda,983,Bloomberg,2014
bloomberg television,933,Bloomberg,2014
intel,909,Bloomberg,2014
the supreme court,850,Bloomberg,2014
bloomberg headquarters,838,Bloomberg,2014
toyota,829,Bloomberg,2014
sec,806,Bloomberg,2014
treasury,798,Bloomberg,2014
fbi,777,Bloomberg,2014
bank of america,735,Bloomberg,2014
jpmorgan,725,Bloomberg,2014
the bank of england,719,Bloomberg,2014
bloomberg,697,Bloomberg,2014
nbc,686,Bloomberg,2014
capitol hill,684,Bloomberg,2014
morgan stanley,676,Bloomberg,2014
euro,671,Bloomberg,2014
white house,666,Bloomberg,2014
bloomberg news,645,Bloomberg,2014
boeing,643,Bloomberg,2014
fox,628,Bloomberg,2014
the republican party,619,Bloomberg,2014
nasa,613,Bloomberg,2014
airbus,603,Bloomberg,2014
fed,34407,Bloomberg,2023
microsoft,3409,Bloomberg,2023
s&p,3038,Bloomberg,2023
congress,2325,Bloomberg,2023
treasury,2293,Bloomberg,2023
morgan stanley,2005,Bloomberg,2023
hamas,1802,Bloomberg,2023
bank of america,1476,Bloomberg,2023
the white house,1389,Bloomberg,2023
google,1365,Bloomberg,2023
sec,1282,Bloomberg,2023
senate,1168,Bloomberg,2023
merrill,1107,Bloomberg,2023
ford,992,Bloomberg,2023
apple,906,Bloomberg,2023
nato,854,Bloomberg,2023
chevron,786,Bloomberg,2023
the bank of england,783,Bloomberg,2023
intel,761,Bloomberg,2023
fx,733,Bloomberg,2023
samsung,731,Bloomberg,2023
bloomberg,716,Bloomberg,2023
silicon valley bank,714,Bloomberg,2023
the federal reserve,692,Bloomberg,2023
gm,658,Bloomberg,2023
hsbc,625,Bloomberg,2023
tesla,624,Bloomberg,2023
deutsche bank,606,Bloomberg,2023
nvidia,604,Bloomberg,2023
euro,597,Bloomberg,2023
bloomberg technology,569,Bloomberg,2023
wells fargo,556,Bloomberg,2023
the european union,547,Bloomberg,2023
apollo,445,Bloomberg,2023
fbi,433,Bloomberg,2023
medicare,429,Bloomberg,2023
amazon,426,Bloomberg,2023
micron,425,Bloomberg,2023
boeing,422,Bloomberg,2023
credit suisse,421,Bloomberg,2023
morgan,404,Bloomberg,2023
house,388,Bloomberg,2023
capitol hill,378,Bloomberg,2023
airbus,375,Bloomberg,2023
j.p.,356,Bloomberg,2023
gpt,351,Bloomberg,2023
the republican party,342,Bloomberg,2023
harvard,339,Bloomberg,2023
at&t,324,Bloomberg,2023
the wall street journal,321,Bloomberg,2023
fed,36357,Bloomberg,2022
s&p,3581,Bloomberg,2022
nato,2684,Bloomberg,2022
congress,2491,Bloomberg,2022
the white house,2168,Bloomberg,2022
microsoft,1835,Bloomberg,2022
morgan stanley,1564,Bloomberg,2022
senate,1551,Bloomberg,2022
treasury,1474,Bloomberg,2022
the bank of england,1436,Bloomberg,2022
the european union,1151,Bloomberg,2022
bank of america,1023,Bloomberg,2022
sec,981,Bloomberg,2022
apple,955,Bloomberg,2022
fx,943,Bloomberg,2022
google,940,Bloomberg,2022
fidelity,842,Bloomberg,2022
ford,766,Bloomberg,2022
bloomberg,752,Bloomberg,2022
euro,751,Bloomberg,2022
samsung,730,Bloomberg,2022
kremlin,710,Bloomberg,2022
deutsche bank,657,Bloomberg,2022
at&t,624,Bloomberg,2022
the federal reserve,624,Bloomberg,2022
xfinity,615,Bloomberg,2022
tesla,577,Bloomberg,2022
hsbc,538,Bloomberg,2022
amazon,524,Bloomberg,2022
euro-dollar,516,Bloomberg,2022
intel,515,Bloomberg,2022
ibm,471,Bloomberg,2022
the supreme court,452,Bloomberg,2022
wells fargo,410,Bloomberg,2022
the u.s. dollar,396,Bloomberg,2022
nord,394,Bloomberg,2022
boeing,378,Bloomberg,2022
goldman sachs,361,Bloomberg,2022
♪ millions,352,Bloomberg,2022
morgan,347,Bloomberg,2022
micron,326,Bloomberg,2022
capitol hill,320,Bloomberg,2022
gm,299,Bloomberg,2022
chevron,298,Bloomberg,2022
credit suisse,295,Bloomberg,2022
un,288,Bloomberg,2022
sony,283,Bloomberg,2022
the european central bank,282,Bloomberg,2022
toyota,282,Bloomberg,2022
opec,270,Bloomberg,2022
fed,13281,Bloomberg,2024
s&p,1464,Bloomberg,2024
microsoft,1334,Bloomberg,2024
boeing,1001,Bloomberg,2024
congress,869,Bloomberg,2024
hamas,822,Bloomberg,2024
morgan stanley,802,Bloomberg,2024
google,759,Bloomberg,2024
nvidia,681,Bloomberg,2024
senate,660,Bloomberg,2024
sec,641,Bloomberg,2024
the white house,629,Bloomberg,2024
samsung,616,Bloomberg,2024
intel,592,Bloomberg,2024
treasury,586,Bloomberg,2024
apple,535,Bloomberg,2024
un,469,Bloomberg,2024
bloomberg technology,395,Bloomberg,2024
tesla,374,Bloomberg,2024
bank of america,357,Bloomberg,2024
nato,347,Bloomberg,2024
bloomberg,302,Bloomberg,2024
fx,276,Bloomberg,2024
airbus,272,Bloomberg,2024
toyota,235,Bloomberg,2024
j.p.,232,Bloomberg,2024
euro,207,Bloomberg,2024
ford,203,Bloomberg,2024
apollo,200,Bloomberg,2024
wells fargo,199,Bloomberg,2024
the federal reserve,197,Bloomberg,2024
the european union,193,Bloomberg,2024
hsbc,185,Bloomberg,2024
amazon,185,Bloomberg,2024
hezbollah,183,Bloomberg,2024
gm,182,Bloomberg,2024
micron,174,Bloomberg,2024
pnc bank,174,Bloomberg,2024
at&t,174,Bloomberg,2024
the unsung catalyst,169,Bloomberg,2024
the bank of england,165,Bloomberg,2024
sony,163,Bloomberg,2024
alphabet,155,Bloomberg,2024
disney,147,Bloomberg,2024
dpp,134,Bloomberg,2024
mcdonald's,130,Bloomberg,2024
capitol hill,129,Bloomberg,2024
gop,129,Bloomberg,2024
the japanese yen,128,Bloomberg,2024
harvard,124,Bloomberg,2024
fed,37919,Bloomberg,2019
congress,5922,Bloomberg,2019
google,5362,Bloomberg,2019
the white house,4837,Bloomberg,2019
boeing,4002,Bloomberg,2019
s&p,3581,Bloomberg,2019
microsoft,3365,Bloomberg,2019
deutsche bank,3348,Bloomberg,2019
senate,3343,Bloomberg,2019
the european union,3123,Bloomberg,2019
apple,2649,Bloomberg,2019
treasury,2624,Bloomberg,2019
samsung,2324,Bloomberg,2019
sec,2153,Bloomberg,2019
morgan stanley,1905,Bloomberg,2019
bloomberg,1799,Bloomberg,2019
nissan,1689,Bloomberg,2019
amazon,1519,Bloomberg,2019
capitol hill,1364,Bloomberg,2019
airbus,1225,Bloomberg,2019
intel,1116,Bloomberg,2019
tesla,1110,Bloomberg,2019
nato,1104,Bloomberg,2019
ford,1087,Bloomberg,2019
bloomberg news,1087,Bloomberg,2019
bank of america,1073,Bloomberg,2019
bloomberg technology,1036,Bloomberg,2019
euro,992,Bloomberg,2019
hsbc,964,Bloomberg,2019
ibm,955,Bloomberg,2019
fx,951,Bloomberg,2019
xfinity,948,Bloomberg,2019
at&t,923,Bloomberg,2019
renault,875,Bloomberg,2019
chevron,837,Bloomberg,2019
commerzbank,822,Bloomberg,2019
the federal reserve,811,Bloomberg,2019
ge,778,Bloomberg,2019
the supreme court,772,Bloomberg,2019
gm,768,Bloomberg,2019
the bank of england,747,Bloomberg,2019
white house,737,Bloomberg,2019
pg&e,719,Bloomberg,2019
fcc,704,Bloomberg,2019
wells fargo,685,Bloomberg,2019
fbi,683,Bloomberg,2019
the european commission,673,Bloomberg,2019
disney,655,Bloomberg,2019
mcdonald's,641,Bloomberg,2019
the house of commons,602,Bloomberg,2019
fed,30953,Bloomberg,2018
congress,7520,Bloomberg,2018
the white house,7438,Bloomberg,2018
google,5553,Bloomberg,2018
senate,5151,Bloomberg,2018
s&p,4435,Bloomberg,2018
treasury,3979,Bloomberg,2018
the european union,3873,Bloomberg,2018
microsoft,3871,Bloomberg,2018
deutsche bank,3028,Bloomberg,2018
apple,2375,Bloomberg,2018
amazon,2070,Bloomberg,2018
morgan stanley,2068,Bloomberg,2018
bloomberg,1915,Bloomberg,2018
intel,1825,Bloomberg,2018
fbi,1765,Bloomberg,2018
sec,1688,Bloomberg,2018
samsung,1632,Bloomberg,2018
capitol hill,1568,Bloomberg,2018
euro,1563,Bloomberg,2018
nissan,1427,Bloomberg,2018
ford,1417,Bloomberg,2018
tesla,1407,Bloomberg,2018
ge,1365,Bloomberg,2018
cbs,1355,Bloomberg,2018
nato,1320,Bloomberg,2018
white house,1312,Bloomberg,2018
at&t,1289,Bloomberg,2018
ibm,1285,Bloomberg,2018
jpmorgan,1239,Bloomberg,2018
boeing,1229,Bloomberg,2018
fx,1190,Bloomberg,2018
gm,1117,Bloomberg,2018
bloomberg news,1087,Bloomberg,2018
the supreme court,1053,Bloomberg,2018
supreme court,994,Bloomberg,2018
airbus,974,Bloomberg,2018
bloomberg technology,926,Bloomberg,2018
fox,917,Bloomberg,2018
bank of america,909,Bloomberg,2018
the bank of england,901,Bloomberg,2018
the federal reserve,900,Bloomberg,2018
wells fargo,867,Bloomberg,2018
state,865,Bloomberg,2018
harvard,794,Bloomberg,2018
the justice department,695,Bloomberg,2018
hsbc,690,Bloomberg,2018
the u.s. dollar,685,Bloomberg,2018
the european commission,657,Bloomberg,2018
opec,622,Bloomberg,2018
fed,21011,Bloomberg,2020
senate,5998,Bloomberg,2020
congress,5231,Bloomberg,2020
the white house,4870,Bloomberg,2020
s&p,3701,Bloomberg,2020
treasury,2911,Bloomberg,2020
microsoft,2843,Bloomberg,2020
the european union,1976,Bloomberg,2020
google,1922,Bloomberg,2020
morgan stanley,1773,Bloomberg,2020
boeing,1527,Bloomberg,2020
bloomberg,1398,Bloomberg,2020
hsbc,1207,Bloomberg,2020
fda,1177,Bloomberg,2020
apple,1162,Bloomberg,2020
the supreme court,1037,Bloomberg,2020
samsung,1024,Bloomberg,2020
euro,1016,Bloomberg,2020
the world health organization,955,Bloomberg,2020
the bank of england,948,Bloomberg,2020
fx,940,Bloomberg,2020
bank of america,911,Bloomberg,2020
tesla,899,Bloomberg,2020
deutsche bank,896,Bloomberg,2020
nissan,858,Bloomberg,2020
capitol hill,844,Bloomberg,2020
sec,764,Bloomberg,2020
airbus,748,Bloomberg,2020
amazon,741,Bloomberg,2020
house,735,Bloomberg,2020
white house,718,Bloomberg,2020
intel,713,Bloomberg,2020
cdc,670,Bloomberg,2020
the federal reserve,662,Bloomberg,2020
the european commission,631,Bloomberg,2020
supreme court,613,Bloomberg,2020
wells fargo,605,Bloomberg,2020
state,558,Bloomberg,2020
bloomberg television,557,Bloomberg,2020
the democratic party,495,Bloomberg,2020
the republican party,466,Bloomberg,2020
ford,452,Bloomberg,2020
bloomberg news,452,Bloomberg,2020
euro-dollar,441,Bloomberg,2020
the european central bank,441,Bloomberg,2020
gm,416,Bloomberg,2020
ibm,410,Bloomberg,2020
bloomberg tv,409,Bloomberg,2020
johnson & johnson,392,Bloomberg,2020
disney,374,Bloomberg,2020
fed,25355,Bloomberg,2021
senate,4077,Bloomberg,2021
congress,3404,Bloomberg,2021
s&p,3307,Bloomberg,2021
the white house,2429,Bloomberg,2021
treasury,2226,Bloomberg,2021
microsoft,2131,Bloomberg,2021
sec,2029,Bloomberg,2021
morgan stanley,1780,Bloomberg,2021
taliban,1549,Bloomberg,2021
google,1470,Bloomberg,2021
bloomberg,1413,Bloomberg,2021
the european union,1204,Bloomberg,2021
samsung,1163,Bloomberg,2021
intel,1161,Bloomberg,2021
bank of america,1137,Bloomberg,2021
apple,1113,Bloomberg,2021
fda,977,Bloomberg,2021
amazon,826,Bloomberg,2021
the bank of england,783,Bloomberg,2021
hsbc,754,Bloomberg,2021
cdc,737,Bloomberg,2021
deutsche bank,696,Bloomberg,2021
capitol hill,692,Bloomberg,2021
tesla,691,Bloomberg,2021
fx,683,Bloomberg,2021
the federal reserve,661,Bloomberg,2021
euro-dollar,658,Bloomberg,2021
nato,641,Bloomberg,2021
boeing,626,Bloomberg,2021
xfinity,622,Bloomberg,2021
ford,600,Bloomberg,2021
johnson & johnson,594,Bloomberg,2021
wells fargo,577,Bloomberg,2021
mcdonald's,537,Bloomberg,2021
euro,506,Bloomberg,2021
airbus,464,Bloomberg,2021
white house,451,Bloomberg,2021
gm,427,Bloomberg,2021
kohler,425,Bloomberg,2021
toyota,416,Bloomberg,2021
the republican party,387,Bloomberg,2021
morgan,386,Bloomberg,2021
delta,383,Bloomberg,2021
the world bank,381,Bloomberg,2021
state,380,Bloomberg,2021
house,377,Bloomberg,2021
bloomberg news,368,Bloomberg,2021
bloomberg television,333,Bloomberg,2021
at&t,333,Bloomberg,2021
fed,1330,Bloomberg,2013
congress,500,Bloomberg,2013
senate,459,Bloomberg,2013
google,439,Bloomberg,2013
microsoft,412,Bloomberg,2013
nsa,328,Bloomberg,2013
the white house,320,Bloomberg,2013
gm,240,Bloomberg,2013
s&p,216,Bloomberg,2013
ford,207,Bloomberg,2013
apple,191,Bloomberg,2013
china mobile,147,Bloomberg,2013
ebay,143,Bloomberg,2013
amazon,133,Bloomberg,2013
yahoo,120,Bloomberg,2013
mcdonald's,113,Bloomberg,2013
intel,107,Bloomberg,2013
samsung,104,Bloomberg,2013
cadillac,83,Bloomberg,2013
fda,77,Bloomberg,2013
white house,76,Bloomberg,2013
sec,75,Bloomberg,2013
airbus,75,Bloomberg,2013
ibm,72,Bloomberg,2013
sears,69,Bloomberg,2013
state,68,Bloomberg,2013
medicare,67,Bloomberg,2013
bloomberg television,66,Bloomberg,2013
the european union,65,Bloomberg,2013
boeing,62,Bloomberg,2013
bloomberg,62,Bloomberg,2013
nike,61,Bloomberg,2013
bloomberg headquarters,60,Bloomberg,2013
sony,59,Bloomberg,2013
warner,58,Bloomberg,2013
capitol hill,58,Bloomberg,2013
treasury,58,Bloomberg,2013
house,56,Bloomberg,2013
justin,56,Bloomberg,2013
warner cable,55,Bloomberg,2013
fcc,53,Bloomberg,2013
at&t,50,Bloomberg,2013
cbs,47,Bloomberg,2013
bloomberg news,47,Bloomberg,2013
peugeot,46,Bloomberg,2013
miller,46,Bloomberg,2013
bloomberg tv,46,Bloomberg,2013
the federal reserve,45,Bloomberg,2013
general motors,44,Bloomberg,2013
ge,43,Bloomberg,2013
fed,22977,Bloomberg,2015
google,7494,Bloomberg,2015
congress,5806,Bloomberg,2015
the white house,3427,Bloomberg,2015
s&p,3417,Bloomberg,2015
yahoo,3090,Bloomberg,2015
microsoft,3075,Bloomberg,2015
senate,2535,Bloomberg,2015
apple,2361,Bloomberg,2015
euro,2044,Bloomberg,2015
samsung,2040,Bloomberg,2015
ibm,1913,Bloomberg,2015
deutsche bank,1509,Bloomberg,2015
sony,1451,Bloomberg,2015
volkswagen,1429,Bloomberg,2015
mcdonald's,1361,Bloomberg,2015
fifa,1319,Bloomberg,2015
the european union,1319,Bloomberg,2015
morgan stanley,1251,Bloomberg,2015
ford,1247,Bloomberg,2015
fcc,1102,Bloomberg,2015
the republican party,1045,Bloomberg,2015
at&t,1001,Bloomberg,2015
intel,982,Bloomberg,2015
bloomberg,936,Bloomberg,2015
bloomberg news,934,Bloomberg,2015
bank of america,931,Bloomberg,2015
hsbc,887,Bloomberg,2015
gm,876,Bloomberg,2015
nsa,870,Bloomberg,2015
treasury,867,Bloomberg,2015
cbs,866,Bloomberg,2015
amazon,860,Bloomberg,2015
state,856,Bloomberg,2015
ge,854,Bloomberg,2015
al qaeda,845,Bloomberg,2015
the european central bank,835,Bloomberg,2015
fbi,834,Bloomberg,2015
the bank of england,797,Bloomberg,2015
capitol hill,792,Bloomberg,2015
jpmorgan,694,Bloomberg,2015
nasa,693,Bloomberg,2015
toyota,687,Bloomberg,2015
sec,687,Bloomberg,2015
the supreme court,685,Bloomberg,2015
nato,680,Bloomberg,2015
chevron,640,Bloomberg,2015
stanford,640,Bloomberg,2015
fx,633,Bloomberg,2015
fda,632,Bloomberg,2015
cnn,46128,CNN,2014
the white house,13716,CNN,2014
hamas,12569,CNN,2014
congress,11406,CNN,2014
medicare,8373,CNN,2014
senate,7993,CNN,2014
fbi,6835,CNN,2014
al qaeda,6254,CNN,2014
taliban,4374,CNN,2014
cia,4246,CNN,2014
sony,3914,CNN,2014
pentagon,3761,CNN,2014
state,3218,CNN,2014
nato,3055,CNN,2014
at&t,3024,CNN,2014
cdc,2747,CNN,2014
white house,2564,CNN,2014
ford,2177,CNN,2014
capitol hill,1805,CNN,2014
gm,1676,CNN,2014
aarp medicare supplement,1565,CNN,2014
boeing,1556,CNN,2014
nsa,1470,CNN,2014
the united nations,1467,CNN,2014
gop,1461,CNN,2014
cadillac,1338,CNN,2014
the republican party,1259,CNN,2014
the state department,1145,CNN,2014
microsoft,1110,CNN,2014
justin,1103,CNN,2014
the justice department,1035,CNN,2014
the supreme court,1023,CNN,2014
house,1015,CNN,2014
nba,985,CNN,2014
chevrolet,975,CNN,2014
nfl,972,CNN,2014
nbc,958,CNN,2014
navy,863,CNN,2014
irs,819,CNN,2014
faa,776,CNN,2014
xarelto,726,CNN,2014
nasa,720,CNN,2014
samsung,702,CNN,2014
advanced safety systems & technology,687,CNN,2014
the new york times',676,CNN,2014
wilson,668,CNN,2014
al,648,CNN,2014
the u.s. navy,646,CNN,2014
pistorius,646,CNN,2014
cbs,630,CNN,2014
the white house,50709,CNN,2018
cnn,44981,CNN,2018
fbi,35668,CNN,2018
congress,20808,CNN,2018
senate,20676,CNN,2018
white house,11901,CNN,2018
medicare,7703,CNN,2018
the justice department,5766,CNN,2018
at&t,5396,CNN,2018
capitol hill,5346,CNN,2018
cia,4557,CNN,2018
supreme court,4546,CNN,2018
the supreme court,4537,CNN,2018
ford,3982,CNN,2018
the republican party,3218,CNN,2018
state,3178,CNN,2018
gop,2915,CNN,2018
nato,2815,CNN,2018
the new york times',2454,CNN,2018
the department of justice,2347,CNN,2018
fox news,2293,CNN,2018
this white house,2280,CNN,2018
otezla,2164,CNN,2018
epa,2127,CNN,2018
kremlin,2019,CNN,2018
lincoln,1991,CNN,2018
the house intelligence committee,1960,CNN,2018
un,1912,CNN,2018
samsung,1872,CNN,2018
pg&e,1871,CNN,2018
humana,1747,CNN,2018
house,1734,CNN,2018
pentagon,1684,CNN,2018
the democratic party,1473,CNN,2018
washington post',1390,CNN,2018
fed,1340,CNN,2018
the new york times,1277,CNN,2018
the senate judiciary committee,1251,CNN,2018
fda,1235,CNN,2018
intel,1215,CNN,2018
the house of representatives,1105,CNN,2018
abc,1096,CNN,2018
the judiciary committee,1026,CNN,2018
fema,990,CNN,2018
cbs,967,CNN,2018
neulasta onpro,959,CNN,2018
justice department,941,CNN,2018
nbc,923,CNN,2018
crest,915,CNN,2018
inn express,892,CNN,2018
cnn,64485,CNN,2022
the white house,21445,CNN,2022
senate,20361,CNN,2022
congress,18005,CNN,2022
nato,14999,CNN,2022
fbi,11944,CNN,2022
the justice department,9267,CNN,2022
white house,7634,CNN,2022
the supreme court,6552,CNN,2022
medicare,5831,CNN,2022
kremlin,5186,CNN,2022
the republican party,5027,CNN,2022
supreme court,4268,CNN,2022
gop,4196,CNN,2022
fed,4091,CNN,2022
capitol hill,3679,CNN,2022
fidelity,3451,CNN,2022
fda,3115,CNN,2022
pentagon,2556,CNN,2022
state,2514,CNN,2022
cdc,2404,CNN,2022
the department of justice,2173,CNN,2022
♪ safelite repair,2144,CNN,2022
cabenuva,2000,CNN,2022
nasa,1954,CNN,2022
house,1910,CNN,2022
merrill,1859,CNN,2022
taliban,1735,CNN,2022
neoplasia syndrome type,1432,CNN,2022
the democratic party,1378,CNN,2022
cia,1261,CNN,2022
at&t,1258,CNN,2022
the united nations,1165,CNN,2022
the european union,1126,CNN,2022
the new york times',1119,CNN,2022
♪ ♪ ♪,1111,CNN,2022
morgan stanley,1048,CNN,2022
justice department,892,CNN,2022
the state department,869,CNN,2022
humana medicare,853,CNN,2022
the house select committee,841,CNN,2022
fox news,841,CNN,2022
humana,834,CNN,2022
bank of america,824,CNN,2022
hoo,823,CNN,2022
the house of representatives,811,CNN,2022
samsung,799,CNN,2022
irs,794,CNN,2022
neutrogena®,793,CNN,2022
xfinity,781,CNN,2022
the white house,58614,CNN,2017
cnn,48122,CNN,2017
fbi,31745,CNN,2017
senate,29472,CNN,2017
congress,26805,CNN,2017
white house,13379,CNN,2017
medicare,9462,CNN,2017
capitol hill,9236,CNN,2017
cia,5339,CNN,2017
gop,5162,CNN,2017
medicaid,4502,CNN,2017
the justice department,4436,CNN,2017
the republican party,4169,CNN,2017
house,3555,CNN,2017
state,3449,CNN,2017
nato,3431,CNN,2017
kremlin,3193,CNN,2017
the supreme court,2927,CNN,2017
pentagon,2825,CNN,2017
supreme court,2550,CNN,2017
this white house,2530,CNN,2017
fox news,2299,CNN,2017
the house intelligence committee,2229,CNN,2017
the new york times',2184,CNN,2017
fema,2157,CNN,2017
intel,2143,CNN,2017
the senate intelligence committee,2123,CNN,2017
the department of justice,1937,CNN,2017
ford,1779,CNN,2017
the democratic party,1744,CNN,2017
at&t,1637,CNN,2017
the new york times,1443,CNN,2017
the state department,1427,CNN,2017
nsa,1306,CNN,2017
washington post',1266,CNN,2017
the united nations,1232,CNN,2017
aarp medicare supplement,1211,CNN,2017
al qaeda,1161,CNN,2017
un,1133,CNN,2017
nbc,1127,CNN,2017
epa,1117,CNN,2017
otezla,990,CNN,2017
navy,950,CNN,2017
fox,921,CNN,2017
the senate judiciary committee,915,CNN,2017
athena,899,CNN,2017
microsoft,870,CNN,2017
lincoln,870,CNN,2017
the judiciary committee,869,CNN,2017
taliban,857,CNN,2017
cnn,34838,CNN,2012
congress,11476,CNN,2012
the white house,9926,CNN,2012
medicare,9189,CNN,2012
senate,5298,CNN,2012
fbi,4486,CNN,2012
al qaeda,4447,CNN,2012
gop,4052,CNN,2012
cadillac,3635,CNN,2012
at&t,3554,CNN,2012
the supreme court,3035,CNN,2012
the republican party,2712,CNN,2012
taliban,2649,CNN,2012
white house,2040,CNN,2012
pentagon,1883,CNN,2012
ford,1844,CNN,2012
fed,1753,CNN,2012
supreme court,1725,CNN,2012
nato,1708,CNN,2012
state,1605,CNN,2012
nasa,1550,CNN,2012
capitol hill,1506,CNN,2012
fda,1418,CNN,2012
cia,1211,CNN,2012
mormon,1166,CNN,2012
nbc,1057,CNN,2012
medicaid,1046,CNN,2012
wells fargo,1025,CNN,2012
google,1024,CNN,2012
house,1009,CNN,2012
the justice department,1008,CNN,2012
the state department,916,CNN,2012
aarp medicare supplement,875,CNN,2012
the united nations,867,CNN,2012
the new york stock exchange,851,CNN,2012
irs,850,CNN,2012
ally bank,834,CNN,2012
chevron,821,CNN,2012
xerox,810,CNN,2012
abc,778,CNN,2012
navy,767,CNN,2012
siemens,756,CNN,2012
intel,755,CNN,2012
bank of america,754,CNN,2012
the republican national convention,715,CNN,2012
cbs,684,CNN,2012
justin,657,CNN,2012
xts,656,CNN,2012
celebrex,651,CNN,2012
the new york times',617,CNN,2012
cnn,52301,CNN,2016
fbi,15635,CNN,2016
the white house,13769,CNN,2016
medicare,10936,CNN,2016
senate,10021,CNN,2016
congress,9721,CNN,2016
the republican party,8917,CNN,2016
gop,8344,CNN,2016
state,5014,CNN,2016
the democratic party,3923,CNN,2016
at&t,3460,CNN,2016
cia,2790,CNN,2016
the supreme court,2669,CNN,2016
nato,2505,CNN,2016
white house,2425,CNN,2016
supreme court,2422,CNN,2016
al qaeda,2130,CNN,2016
capitol hill,2039,CNN,2016
pg&e,1893,CNN,2016
fox news,1686,CNN,2016
aarp medicare supplement,1669,CNN,2016
the state department,1665,CNN,2016
house,1634,CNN,2016
ford,1505,CNN,2016
microsoft,1475,CNN,2016
