PERSON,Count
donald trump,42433
hillary clinton,35135
neil,19146
clinton,18968
maria,17776
david,12278
melissa,8211
bernie,7353
kennedy,6749
john,6475
hillary,5729
trump,5608
♪ ♪,4151
marco rubio,3608
bill clinton,3288
mike,3276
obama,3262
hillary clinton's,3184
jeff,2976
bernie sanders,2959
cheryl,2913
john kasich,2836
reagan,2296
bush,2221
mitt romney,2189
anthony,2026
lauren,1837
dagen,1803
nicole,1798
chris,1787
paul,1787
jeb bush,1760
paul ryan,1710
charlie,1703
ronald reagan,1579
steve,1548
maria bartiromo,1523
tom,1510
putin,1380
peter,1219
ben carson,1181
donald trump's,1181
deirdre,1152
sandra,1107
charles,1046
rubio,1025
charlie gasparino,979
johnson,959
janet yellen,954
gary johnson,952
james comey,926
kevin,913
napolitano,904
vladimir putin,858
joe,832
elizabeth warren,831
trulicity,824
ashley,811
larry,800
chris christie,768
michael,748
george w. bush,741
matt,722
john kerry,717
donald,714
warren,705
tim cook,694
joe biden,678
comey,654
adam,647
jack,644
rudy giuliani,630
carson,621
john mccain,613
x1,608
tim kaine,607
john bolton,605
eric,595
charles payne,595
kaine,593
gary,591
peter barnes,582
loretta lynch,580
god,575
david asman,574
usaa,551
ashley webster,540
angela merkel,529
jo ling,520
adam shapiro,514
john:,513
steve moore,507
ben,496
john podesta,496
jamie,494
jeb,475
david cameron,471
nancy,463
mike pence,457
scott,455
harry reid,454
jessica,436
tim,435
marijuana,434
hepatitis c. harvoni,431
al gore,426
andrew napolitano,424
marco,416
scalia,416
kellyanne conway,411
maria molina,407
dan,403
lee,401
george bush,400
carl,395
melissa francis,391
phil flynn,388
scott brown,384
mark zuckerberg,381
kerry,380
dagen mcdowell,377
sam,374
bolton,371
lauren simonetti,369
romney,368
jonathan,367
phil,358
rand paul,352
trish regan,349
chris wallace,348
sandra smith,343
rick,341
kasich,340
trumps,338
jill stein,338
sarah palin,331
jimmy carter,325
edward jones,322
tammy,318
ron paul,315
huma abedin,313
dr.,312
tammy bruce,311
michelle obama,311
mitch mcconnell,311
ralph peters,309
hep c.,306
jack keane,298
nixon,297
imagine.n,293
lee carter,291
john.,290
lou,290
dave,289
elizabeth,288
jo ling kent,287
james,286
castro,284
jamie dimon,284
williams,284
martha,279
brian,278
chuck schumer,260
bill clinton's,260
colin kaepernick,256
robert,245
john stumpf,241
jim,240
michael goodwin,235
rick scott,234
jason,233
mike murphy,229
jim comey,226
scott walker,226
michael bloomberg,226
blake,222
jerry,221
kent,219
jfk,219
martin,218
wilbur ross,217
gary kaminsky,216
mark cuban,216
kelly,216
gerri willis,215
john boehner,214
carl icahn,214
jeff bezos,214
rick perry,212
cruz,209
blake berman,207
eric trump,207
don,206
karl,205
richard nixon,204
giuliani,202
lebron james,201
graham,200
colin powell,198
jpmorgan,198
patrick 2,197
monica crowley,196
jeff sessions,196
george soros,195
maria:,194
♪ ♪ ♪,192
howard,192
tom brady,191
nancy reagan,190
steve bannon,190
monica,189
♪ neil,188
john stossel,188
rick santorum,187
