PERSON,Count
maria,23862
neil,20296
david,13987
♪ ♪,9754
joe biden,6759
melissa,6460
cheryl,6426
kennedy,5600
nancy,5121
elizabeth warren,5036
susan,4977
donald trump,4184
bernie,3617
trump,3345
mike,2772
lauren,2524
elizabeth,2477
paul,2427
hillary clinton,2376
max,2357
jeff,2308
warren,2195
♪ liberty,2156
dagen,2118
maria bartiromo,1960
clinton,1906
john,1902
barr,1858
alexandria ocasio-cortez,1583
joe,1565
bernie sanders,1527
robert mueller,1466
kamala harris,1452
edward lawrence,1436
jay powell,1397
nancy pelosi,1381
hillary,1297
boris johnson,1274
scholl,1258
william barr,1202
gregg,1157
bill barr,1130
chuck schumer,1095
larry kudlow,1081
charlie,1045
ashley,1035
kim,1024
mark zuckerberg,994
fisher,983
charles,970
steve,968
kim jong-un,956
reagan,949
jackie,947
kevin,944
mitch mcconnell,940
michael,880
jack,874
chris,871
matt,846
maduro,830
trulicity,829
charlie gasparino,826
james comey,817
bush,802
jonathan,800
magenta,791
tom,788
powell,788
bill clinton,777
tim cook,765
gerry,761
john bolton,753
jerry nadler,750
charles payne,749
biden,746
marijuana,734
bloomberg,726
gerri willis,702
rick,682
jerome powell,676
susan li,672
robert lighthizer,667
nicolas maduro,665
voya,659
david asman,650
carl,640
larry,633
jeff bezos,626
edward jones,624
usaa,621
obama,610
putin,601
patrick,595
tim,575
lindsey graham,563
kristina,563
michael bloomberg,550
jamie dimon,535
steve mnuchin,533
zuckerberg,529
dan,518
ken,515
joe biden's,507
johnson,502
jack keane,497
michael cohen,493
nixon,489
erdogan,485
president,482
xi,482
peter navarro,481
graham,479
ilhan omar,477
howard schultz,470
mnuchin,468
james freeman,464
gary,463
ashley webster,462
brian,462
lauren simonetti,456
robert,437
phil,436
x1,424
james,419
god,412
bill de blasio,411
jackie deangelis,408
napolitano,407
gordon chang,407
deirdre,405
peter strzok,404
mike pence,403
kristina partsinevelos,403
bolton,399
connell,396
rudy giuliani,395
jeffrey epstein,394
taylor,390
mitt romney,378
ronald reagan,377
blake,376
peter,374
lisa,374
kevin mccarthy,370
mike bloomberg,368
andrew napolitano,365
♪ ♪ ♪,364
melissa francis,362
steven mnuchin,353
george w. bush,352
devin,351
vladimir putin,344
eric,343
gary kaltbaum,342
andrew mccabe,340
bob mueller,337
audrey,334
john durham,328
deirdre bolton,324
madison,321
lee,314
jamie,314
maria.,313
brexit,312
edward,307
jim,306
juan guaido,304
kohl,303
jim jordan,302
john brennan,297
jason,296
scott,295
♪ maria,295
jim comey,292
wilbur ross,291
dagen mcdowell,291
george papadopoulos,290
phil flynn,288
tom homan,288
mcconnell,284
steve moore,282
xeljanz xr,280
michael pillsbury,276
christopher steele,271
robert mueller's,271
salonpas lidocaine,268
andy,267
zelensky,266
mueller,264
michael horowitz,263
doug,256
lou,256
colin kaepernick,255
hisamitsu,252
jonathan hoenig,250
tom brady,249
kim jong,248
xi jinping,248
lou dobbs,242
martin,239
maria:,239
sam,239
biotene definitely works,239
jpmorgan,236
kirby,235
dave,234
lisa page,231
andy biggs,230
sarah,228
dan henninger,225
christopher,221
sarah sanders,220
john mccain,220
jerry,219
adam schiff,219
zicam,218
chuck,218
elizabeth warren's,217
anthony,216
elizabeth macdonald,215
pete,214
hillary clinton's,213
castro,212
benjamin netanyahu,210
elon musk,210
jared max,210
steve hilton,209
brilinta,206
bill,206
karl,205
flynn,205
john roberts,204
omar,202
kloecker,202
adam,200
alan,198
boris,196
janice dean,196
andrew,194
kristin,194
marco rubio,193
roger,193
schumer,192
comey,192
verzenio,192
rand paul,189
scott martin,189
ben carson,187
david:,184
tom fitton,180
andrew yang,180
katy,180
michael avenatti,180
lisa:,179
macron,178
mike murphy,178
♪ neil,178
john solomon,178
mick mulvaney,175
don,175
alex,174
john layfield,173
jessica,173
malware,172
john ratcliffe,172
secretary,170
it.s,170
kevin hassett,170
liu,169
ben,168
horowitz,165
richard nixon,165
john deere,164
doug collins,163
netanyahu,163
michael flynn,163
dr.,163
elliott,163
jesus,163
lebron james,162
deborah,161
barry,160
tracee carrasco,160
apps,158
giuliani,156
gavin newsom,155
george,154
eu,153
michael goodwin,152
brian kilmeade,152
liberty m... am,152
craig,150
tammy bruce,150
corey lewandowski,149
alexandria ocasio-,149
harris,149
steve bannon,147
liberty mu... line,147
andrew cuomo,146
justin trudeau,146
lisa jones,146
kellyanne conway,144
maria bartiromo's,144
austin,144
senator,143
mark morgan,143
chuck grassley,140
landry,139
joe biden.,139
brandon judd,138
donald j. trump,138
jfk,138
ross,138
robert gray,137
smart kid,137
john lonski,137
workin♪,137
j. d. power,136
hormuz,136
william,136
don mcgahn,134
mm,133
john delaney,130
mike lee,130
paul ryan,128
angela merkel,128
de blasio,127
tom steyer,127
joe digenova,125
trumps,125
rick scott,125
michelle obama,124
corey,124
steve forbes,123
john kerry,123
murphy,122
joseph,122
cohen,122
sidney powell,122
trish,121
jd power,121
♪ lauren,120
kirstjen nielsen,118
julian castro,118
cory booker,116
williams,116
pete buttigieg,115
managingaudrey,115
george bush,115
lori loughlin,114
lee carter,114
ed,114
brad blakeman,113
ken starr,112
emmanuel macron,111
susan lee,111
tu-tu-tum,111
mac,111
jussie smollett,111
robert wolf,110
adam newman,109
peter thiel,109
kayleigh mcenany,108
catherine herridge,107
durham,107
jimmy carter,107
james clapper,107
kelly,106
brady,106
jones,105
howard,104
♪ kennedy,103
nancy pelosi's,103
jonas,103
baker,103
duncan,103
nadler,102
karl rove,102
dennis muilenburg,101
ronna mcdaniel,101
