PERSON,Count
neil,15054
david,12578
melissa,11301
john,5324
cheryl,3249
♪ ♪,2439
obama,2324
adam,2000
jeff,1766
putin,1609
charlie,1335
charlie gasparino,1226
gerri,1038
mike,964
hillary clinton,939
bush,912
larry,894
matt,878
chris,869
dennis,855
janet yellen,799
vladimir putin,771
dave,769
peter,746
charles,721
clinton,690
marijuana,684
tracy,675
steve,670
michael,659
edward jones,652
eric,619
emphysema,619
rick,607
spiriva handihaler,607
joe,593
charles payne,565
carl icahn,548
harry reid,547
nicole,546
tom,532
reagan,529
paul,497
warren,487
sandra,480
gerri willis,469
jonathan,459
john kerry,441
john boehner,439
john:,426
cialis tadalafil,404
kennedy,403
eric holder,402
cialis,399
jim,396
spiriva,392
peter barnes,390
brian,374
carl,373
napolitano,367
jack,367
michael brown,360
bill clinton,359
al sharpton,358
tim,348
dagen,344
james,337
dan,337
kevin,334
david asman,325
rich edson,321
tim cook,318
ashley,307
usaa,305
ben,299
mitt romney,291
ronald reagan,288
chris christie,284
elizabeth warren,284
jeb bush,275
rand paul,259
janet long,255
mark zuckerberg,254
jpmorgan,253
adam shapiro,250
ben bernanke,246
nancy,244
jo ling kent,241
sam,241
johnson,241
maria,238
hillary,236
dr.,235
scott,228
god,221
gary,220
david:,220
ashley webster,220
kerry,216
lou,215
bob,211
jonathan gruber,209
alan,204
eric cantor,201
phil,200
boehner,200
jo ling,199
audi,198
robert,197
bill ackman,196
kim,191
george w. bush,184
john stossel,184
juan,184
daniels,182
duncan,182
♪ neil,180
mary barra,179
don,177
jamie dimon,177
rick perry,173
joe biden,171
anthony,171
phil flynn,170
chuck,169
andrew napolitano,168
lee,168
nixon,167
ralph peters,166
sandra smith,165
keith,163
george bush,163
jack keane,159
mitch mcconnell,156
max,154
lifelock,151
isil,148
melissa francis,148
juan williams,148
jason,147
hoffman,147
craig,147
lois lerner,145
steve cohen,144
♪ ♪ ♪,142
doug,137
michelle,137
president,135
aaron,131
jonas,129
john mccain,129
patrick,128
george,127
jack ma,126
chuck hagel,126
monica,126
bill gross,126
uncle sam,124
jfk,121
bill,120
todd horowitz,120
maria bartiromo,120
marco rubio,119
steve moore,118
ken,116
paul ryan,116
john bolton,115
bill de blasio,114
jerry,114
williams,114
jeff bezos,113
wayne,113
andy,112
vladmir putin,111
jay carney,111
judy,110
monica crowley,110
benjamin netanyahu,110
martin,109
james freeman,109
gary b.,108
jamie,108
robin williams,106
alex,105
elizabeth,105
brenda,105
randy,104
scott martin,104
elizabeth macdonald,104
kathleen sebelius,103
jerry brown,103
ralph,101
netanyahu,100
roger goodell,100
neill holley,99
darren wilson,99
al gore,98
lauren simonetti,98
jonathan hoenig,97
taylor,97
♪ melissa,95
chuck schumer,94
hillary clinton's,94
david cameron,94
martha,94
dennis kneale,94
ben stein,93
eric bolling,91
ralph nader,91
sarah palin,90
lebron james,90
dragon,89
kim kardashian,88
richard branson,86
twitter,85
dre,85
jimmy carter,85
teddy,84
manny,83
richard fisher,82
ed henry,82
bernie,81
jack lew,81
michael goodwin,80
elon musk,79
♪ ♪ melissa,79
liz,78
austin,77
andrew cuomo,77
koch,77
james foley,77
bill o'reilly,76
ken feinberg,76
ron:,76
lee hawkins,76
tofacitinib,75
ron paul,75
♪ morning,75
thomas duncan,74
osama bin laden,74
tom sullivan,74
mark,74
rupert murdoch,74
mcconnell,73
♪ ♪ neil,72
angela merkel,72
nick,72
russell,72
maliki,71
scott brown,71
liz macdonald,71
eric garner,71
jesse jackson,71
kim jong-un,70
judy miller,70
eric shinseki,70
heartburn,70
lisa,70
scott walker,69
lerner,69
raymond james,68
jack hough,68
al,67
ed,66
lauren,65
tony,65
deirdre,65
diane,65
richard,65
bin laden,64
ali baba,64
janet yellen's,64
bolton,64
seris,64
george washington,63
adrian peterson,62
eric shawn,62
michael kors,62
phil mickelson,62
janice dean,62
apps,62
ron,61
eric schneiderman,61
matt welch,61
jo,61
marisa mayer,61
mary landrieu,60
kt mcfarland,60
nancy pelosi,60
jeb,60
barry,60
bruce,60
baker,59
glenn,59
bloomberg,58
kyle,58
bernanke,58
jesus,57
andrew,57
jessica,57
william,56
brian kilmeade,56
de blasio,56
michelle obama,56
jimmy,55
mary kissel,55
george clooney,55
donald trump,55
alan knuckman,55
charles:,54
gox,54
kelly,53
kari,52
foley,52
ron johnson,52
unl,51
zuckerberg,51
martin luther,51
eric schmidt,51
kate,51
george soros,51
ed klein,51
richard nixon,50
jennifer lawrence,50
john lonski,50
susan,50
howard,50
castro,50
john.,50
david boies,50
karl rove,50
john roberts,50
mark sebastian,49
terry,49
michael bloomberg,49
susan rice,49
wendy,48
pat roberts,48
peter king,48
ralph lauren,48
donald,48
thomas,48
bret,48
hank greenberg,47
thomas eric duncan,47
simon,47
reid,46
michael brown's,46
angelina jolie,46
jcpenney,46
peter.,46
alan mulally,46
jordan,46
j.c.,45
vladimir putin's,45
hitha,45
mary,45
chairman,44
robert scales,44
li,44
chris gersch,44
tom brady,44
oprah winfrey,44
lou dobbs,44
andrea,44
lebron,43
mark newton,43
karl,43
sabrina,43
saddam hussein,43
sharpton,43
tom frieden,43
mike baker,43
magic johnson,42
steve forbes,42
lois lerner's,42
wilbur ross,41
harry,41
bret baier,41
dan stesich,41
marc siegel,41
ben carson,41
ben willis,41
romney,41
gary b. smith,40
duck,40
sarah,40
linda,40
jeh johnson,40
pope francis,40
catherine herridge,40
cozy,40
teddy weisberg,39
couin jellyfish,39
john fund,39
rudy giuliani,39
maestro,39
john chambers,39
michael lewis,39
joni ernst,39
dan henninger,39
gundyes!n,38
judith miller,38
biden,38
oprah,38
usama bin laden,38
rick scott,38
gordon chang,37
dick cheney,37
kohl,37
kmele foster,37
michael jordan,37
nelson,37
thomas jefferson,37
stan,37
jennifer,37
karen,37
mac,37
ben bernanke's,37
leon,37
bill gates,37
dick,36
patty,36
bobby,36
jared levy,36
edward snowden,36
arthur,36
deirdre bolton,36
ho],36
♪ david:,36
connell,36
joni,35
mark cuban,35
dick bove,35
halliburton,35
peter morici,35
bob iaccino,35
ray rice,35
wolf,35
nicholas,35
manny alvarez,35
tim armstrong,35
sterling,34
webster,34
sergio marchionne,34
gruber,34
macdonald,34
hank,34
charlie rangel,34
johnny manziel,34
harry reid's,34
davis,34
paul wolfowitz,34
temexiss gurrin,34
juppa left,34
fluppa jown,34
greg abbott,34
john negroponte,33
darrell issa,33
jay johnson,33
wel,33
bashar al-assad,33
james franco,33
mike jubby roll,33
roger,33
mccarthy,33
carson,32
brown,32
