PERSON,Count
brian,17081
martha,16590
jenna,13821
♪ ♪,9782
bill,9132
obama,8841
eric,8761
mike,7831
chris,7256
gregg,7127
neil,6906
steve,6705
bush,5654
rick,5424
dana,5122
john,4903
george zimmerman,3953
hillary clinton,3651
jamie,3326
clinton,3326
trayvon martin,3053
paul,2990
harry reid,2813
putin,2783
john kerry,2467
andrea,2455
jay carney,2430
peter,2322
rand paul,2219
jesus,2207
david,2206
harris,2204
kerry,2141
john boehner,2029
joe,1935
elisabeth,1887
jeanine,1843
john mccain,1615
eric holder,1597
bill o'reilly,1580
kelly,1562
bill clinton,1558
reagan,1554
james rosen,1518
tucker,1518
martin,1488
michael,1472
usaa,1454
marco rubio,1434
jon,1409
god,1407
george w. bush,1344
marijuana,1310
tom,1256
joe biden,1242
bob,1237
ed henry,1219
chuck hagel,1207
jim,1202
kathleen sebelius,1176
charles krauthammer,1176
jon:,1168
maria molina,1084
andy,1066
anna,1066
ainsley,1054
nancy,1044
mitt romney,1012
zimmerman,1007
susan rice,995
chris wallace,989
jonathan,966
ronald reagan,966
kevin,933
president,925
kennedy,923
bin laden,920
anthony,917
nelson mandela,908
graham,908
larry,901
juan,891
chris christie,885
elizabeth,884
doug,875
george,872
angie,866
william,846
james,846
dr.,839
ben,784
boehner,784
patti ann,782
kim,781
jack,776
matt,772
sarah palin,771
jennifer griffin,760
george bush,759
christopher,756
paul ryan,747
arthel,745
brenda,718
andy levy,714
charlie,708
osama bin laden,707
jeff,704
max,704
castro,700
pope francis,696
vladimir putin,688
dan,687
edward snowden,685
sarah,680
jon scott,675
peter doocy,674
nixon,657
juan williams,656
smith,640
anna kooiman,620
clayton,619
bret,613
cialis tadalafil,611
karl rove,607
mitch mcconnell,604
karl,602
chuck,599
phil,583
trayvon martin's,581
monica,568
al gore,568
john bolton,566
catherine herridge,566
aaron hernandez,566
george zimmerman's,565
carl,555
john brennan,549
v8 v-fusion,541
john roberts,540
dana perino,538
diana,535
bernie,533
ariel castro,531
oprah,530
jennifer,529
aaron,527
mommy,521
mike lee,515
alan,512
bloomberg,510
mccain,507
jfk,506
lee,504
lindsey graham,500
al sharpton,500
martha maccallum,498
bret baier,481
rubio,481
dick cheney,472
maria,471
jimmy,466
jenna lee,466
peter johnson,463
tim,463
jessica,463
janice dean,461
dzhokhar tsarnaev,454
jay leno,454
johnson,451
harris faulkner,445
♪ ♪ ♪,444
mubarak,442
