PERSON,Count
hillary clinton,21267
clinton,13820
donald trump,12787
martha,9768
♪ ♪,8908
jeb bush,8411
bush,6878
obama,5880
bill,5481
ben carson,5092
marco rubio,4624
mike,4372
jenna,4301
chris,4035
john,3574
putin,3444
carson,3389
rand paul,3281
joe biden,2992
hillary,2946
hillary clinton's,2847
eric,2776
bill clinton,2521
bernie,2508
scott walker,2396
paul,2387
brian,2303
rick,2297
john kerry,2052
david,1925
reagan,1859
trump,1830
chris christie,1642
mitt romney,1608
john boehner,1577
joe,1561
andrea,1547
tom,1518
steve,1512
harris,1483
jeb,1466
marijuana,1459
ed henry,1402
kevin,1364
jesus,1363
john mccain,1325
bernie sanders,1311
rubio,1287
vladimir putin,1282
kerry,1279
gregg,1267
bill o'reilly,1252
chris kyle,1223
jublia,1212
tom brady,1183
rick perry,1165
pope francis,1164
god,1126
netanyahu,1117
kelly,1109
dana,1094
john kasich,1085
george w. bush,1036
ronald reagan,1014
matt,1012
neil,1002
benjamin netanyahu,977
peter,960
elizabeth,958
jordan,943
elizabeth warren,940
paul ryan,918
brian williams,897
larry,887
elisabeth,886
ainsley,824
michael,818
al sharpton,804
kevin mccarthy,799
graham,787
chris wallace,775
charles krauthammer,753
bin laden,751
otezla,747
harry reid,728
dr.,727
isil,716
tucker,713
ben,713
charlie,709
andy,687
bobby,675
chuck,672
juan,659
kennedy,655
jeff,653
williams,652
george,646
michael brown,631
usaa,615
jon scott,606
doug,591
ron,588
dana perino,565
osama bin laden,562
heartburn,558
maria molina,558
george bush,557
martin o'malley,555
james,551
carl,550
jenna lee,548
jamie,547
lindsey graham,541
bret baier,540
♪ usaa,538
anna kooiman,536
♪ ♪ ♪,530
carl cameron,527
jon,518
bret,517
nancy,514
john roberts,507
dan,506
boehner,499
peter doocy,493
jonathan,490
rudy giuliani,489
mitch mcconnell,482
kim davis,482
brady,481
kim,480
eric holder,466
nixon,466
taylor,464
jennifer griffin,462
carter,460
johnson,459
joanne,451
scholl,449
martha maccallum,446
james rosen,438
catherine herridge,437
rick santorum,433
juan williams,427
joyce mitchell,422
wolf,419
angie,417
brenda,416
biden,415
emphysema,412
michael moore,411
mccarthy,409
tim,406
richard matt,400
eric bolling,400
jessica,399
abby,398
jim,398
jason,395
ainsley earhardt,394
anna,385
william,382
patricia stark,382
maria,380
castro,379
kevin corke,378
jon:,377
susan rice,377
robert durst,376
robert,374
president,372
davis,372
alan,368
loretta lynch,367
jesse,364
baltimore,363
karl,362
jack,359
donald trump's,352
howard kurtz,349
jeb bush's,346
max,345
janice dean,340
arthur,340
warren,338
carr,333
romney,332
jimmy carter,327
david cameron,325
lee,324
karl rove,322
sam,317
cheryl,315
jim webb,313
dave,312
eric shawn,311
sarah palin,310
kyle,307
patti ann,303
anoro,302
anoro ellipta,302
judy,298
dick cheney,297
edward jones,297
pat,296
greg,294
james comey,294
james holmes,293
tom shillue,289
julie,289
john bolton,289
kate steinle,285
howard dean,284
napolitano,282
