PERSON,Count
joe biden,32764
brian,23055
♪ ♪,22485
biden,22315
dana,19676
ainsley,17253
john,15780
donald trump,15326
joe,12806
neil,12737
martha,12272
mike,11416
harris,9064
ron desantis,8561
steve,7059
kevin mccarthy,5984
putin,5726
mccarthy,5470
david,4622
paul,4470
joe biden's,4449
joey,4198
kamala harris,4117
eric,4028
jessica,3408
kevin,3359
jim jordan,3321
god,3303
dan,3186
jonathan,2868
jeanine,2852
maria,2842
pete,2797
chris,2739
tim scott,2723
matt,2645
hillary clinton,2562
max,2504
taylor,2328
jesse,1991
peter,1981
♪ liberty,1978
charlie,1973
jack smith,1940
howard,1936
sam,1935
michael,1921
vladimir putin,1918
tucker,1912
nancy,1911
arthel,1909
tom,1881
alvin bragg,1856
dr.,1834
rick,1828
david weiss,1815
lawrence,1767
reagan,1683
merrick garland,1650
trump,1643
jason,1567
otezla,1559
bret,1502
john:,1484
gavin newsom,1483
clinton,1466
eric adams,1459
golo,1458
peter doocy,1439
jesus,1416
john.,1406
bush,1391
dana perino,1383
johnson,1367
jeff,1325
chris christie,1307
larry,1279
john kirby,1269
jimmy,1257
joe biden.,1241
benjamin netanyahu,1237
christopher,1189
kennedy,1174
jonathan turley,1135
hunter biden,1133
lee,1133
jamie,1107
james comer,1095
covid-19,1088
alex,1070
ronald reagan,1069
jim,1058
rachel,1052
john roberts,1046
♪ ♪ ♪,1038
tim,1021
jordan,998
karine jean-pierre,996
laura ingraham,968
nichols,949
mike pence,949
chuck schumer,944
netanyahu,942
brian kilmeade,937
bill,936
austin,926
ben,912
president,896
joe manchin,878
bryan,860
simparica trio,858
alexandria hoff,854
tammy,851
gillian,831
bret baier,827
martha maccallum,825
harry,825
hillary,824
joe concha,812
laura,800
abbott,791
sandra smith,786
kim,758
john kerry,741
andy,740
kevin corke,740
sandra.,735
marijuana,725
bill clinton,725
james,723
alex murdaugh,717
mike johnson,699
hunter biden's,686
greg abbott,686
kellyanne,650
jon scott,649
xi,648
glenn youngkin,645
douglas,637
harris faulkner,628
john fetterman,626
bill barr,625
jimmy carter,617
don,617
william,614
michael cohen,614
bernie,613
jimmy failla,609
jack keane,609
mike tobin,602
mark meredith,601
robert,598
kelly,583
fauci,579
jordan neely,575
scott,574
bill melugin,573
johnny,573
janet yellen,565
jennifer griffin,562
dave,562
tucker carlson,561
mitch mcconnell,560
andy mccarthy,560
nikki haley,556
jonathan hunt,543
pete hegseth,539
jack,537
madison,529
damar hamlin,527
jonathan lawson,527
williams,523
chuck,521
abby,518
jake sullivan,517
karl,514
george floyd,512
christina coleman,508
janice dean,503
evan,500
lawrence jones,497
george santos,496
cheryl,496
george washington,494
steve harrigan,489
brandon johnson,482
kayleigh mcenany,477
tom cotton,476
adam klotz,472
sarah,472
weiss,471
jerry,467
matt finn,467
alexandria,466
devon archer,461
george soros,461
lindsey graham,459
patrick,456
breztri,454
jeanine pirro,450
thomas,437
bryan kohberger,437
aaron,429
elon musk,429
raymond arroyo,427
dylan mulvaney,423
smith,418
jesus christ,418
marc siegel,417
voya,416
scholl,416
joey jones,413
george w. bush,411
zelensky,410
hose,409
[ting] ♪,409
jeff paul,408
mar-a-lago,408
marquis,408
anthony,408
ron,405
don lemon,401
rudy giuliani,399
pete buttigieg,396
david jeremiah,395
tom brady,394
mucinex,394
apoquel,393
kellyanne conway,392
graham,391
chairman,391
mollie,390
nixon,390
rand paul,390
nancy mace,388
trinet,386
mark zuckerberg,384
greg,384
a.i.,381
alex hogan,380
lloyd austin,378
raymond,376
katie,375
susan,374
marco rubio,374
charles watson,373
mm,372
chuck grassley,371
jacuzzi bath remodel,369
nucala,367
phil,367
mark,366
doug,364
trey yingst,362
doug burgum,361
mark levin,359
trey,358
sharon,354
bryan llenas,353
david spunt,350
kamala,349
lisa,348
james comey,347
larry kudlow,345
sandra,345
davis,344
al gore,343
tammy bruce,343
harold,341
donald trump's,340
lowe,337
kathy,336
gary shapley,336
elizabeth warren,334
jennifer,331
♪ ♪ one,330
john solomon,330
john ratcliffe,330
jon,329
brooke singman,329
jeffrey epstein,328
eric shawn,327
marshall,327
jon:,325
maria bartiromo,324
martha.,323
devin archer,323
al,321
miranda devine,320
kayleigh,319
karine jean,317
sam bankman-fried,316
gavin,315
mike lindell,315
joseph,313
joe rogan,313
robert card,311
jill biden,310
josh hawley,308
kohberger,306
adam,306
jill,304
robert f. kennedy jr.,304
secretary,304
stephen miller,302
bob menendez,302
greg gutfeld,297
kirby,294
jesse watters,294
john durham,293
jfk,293
hunter,292
mitt romney,291
carter,290
elizabeth,289
alvin bragg's,288
li,288
kim reynolds,286
george,286
joshua florence,286
mayokas,280
trumps,278
jackie ibanez,278
nancy pelosi,277
xi jinping,277
jason smith,276
nancy grace,275
ron johnson,275
zicam,274
karl rove,273
rich edson,271
anthony fauci,270
michelle obama,270
zuckerberg,270
jackie,269
charles payne,266
william la jeunesse,266
james biden,266
j.p.,266
leo terrell,265
♪ ♪  jesse,265
bill maher,263
kyle,263
ronna mcdaniel,261
anita,261
donald j. trump,260
josh allen,260
marianne rafferty,258
jude children's,257
ticks ♪,256
chad pergram,256
mayorkas,255
bernie sanders,253
davis hanson,253
mcconnell,253
jessica tarlov,252
♪liberty,252
greg palkot,251
wolf,251
aishah hasnie,251
william devane,250
marc thiessen,250
prince harry,249
cheney,248
alexandria ocasio-cortez,248
yaaay,248
jak,247
al sharpton,247
john kennedy,247
kevin o'leary,244
michael waltz,243
speaker,243
barry,242
lee zeldin,241
andy biggs,241
brady,241
carl,240
ilhan omar,239
marianne williamson,239
siegel,238
nicole,237
warren,237
matt whitaker,236
lucas tomlinson,235
craig,233
jamie raskin,232
steve scalise,231
bin laden,230
jonathan serrie,230
dan bongino,230
caplyta,230
khanna,230
xiidra,229
monica,228
benjamin hall,228
marianne,223
need mulch,223
ken,223
grassley,222
vice,222
gillian turner,222
jen psaki,222
peter.,218
arthel neville,218
chris sununu,217
john .,216
♪,216
rick reichmuth,213
barr,213
carley,212
bobby,212
terry,211
tom shillue,211
pope francis,211
jack smith's,211
alan dershowitz,209
paul mauro,208
jeb bush,207
bowman,206
blinken,206
douglas murray,206
david axelrod,205
jacqui heinrich,205
thomas jefferson,204
rick scott,204
youngkin,204
harold ford jr.,203
francis suarez,203
ramaswamy,201
clarence thomas,200
randy,200
♪  laura,199
milley,198
schumer,198
robert f. kennedy,197
haley,197
kevin mccarthy's,197
bob lee,197
mollie hemingway,196
kim jong,196
kerry,194
nick,194
edward lawrence,193
andrew,193
jason aldean,193
steve hilton,192
tom homan,192
juan williams,191
richard nixon,190
tony,189
