PERSON,Count
joe biden,59793
steve,25895
brian,25773
ainsley,21923
donald trump,18287
covid-19,17676
jillian,16428
dana,16383
martha,13139
bernie,12943
neil,12161
harris,12127
mike,11927
joe,11616
eric,9596
chris,9155
nancy,8692
♪ ♪,8533
biden,7614
kamala harris,6971
joe biden's,5897
dr.,5820
hillary clinton,5521
pete,5422
george floyd,5330
trump,5305
john,5299
tucker,5045
jedediah,4687
flynn,4439
arthel,4305
elizabeth warren,4182
david,3944
bernie sanders,3858
♪ liberty,3848
paul,3653
chuck schumer,3411
otezla,3339
michael flynn,3272
jason,3256
rick,3239
mitch mcconnell,3208
jesse,3202
fauci,3053
bill barr,3046
john roberts,2954
clinton,2937
maria,2929
god,2924
andrew cuomo,2896
jeanine,2816
bloomberg,2752
john bolton,2664
usaa,2636
matt,2494
michael bloomberg,2375
nancy pelosi,2286
coney barrett,2252
kristin,2074
warren,2028
juan,2022
barr,1971
max,1958
chris wallace,1866
peter doocy,1861
rudy giuliani,1817
bush,1776
tom,1759
mike bloomberg,1713
dana perino,1705
gillian,1699
president,1698
kevin,1618
bret,1614
bill clinton,1493
barrett,1490
lindsey graham,1487
apoquel,1483
bill de blasio,1478
peter,1452
joe biden.,1428
tammy,1414
dan,1411
kevin mccarthy,1404
mcconnell,1381
graham,1344
obama,1335
john lewis,1320
martha maccallum,1303
laura ingraham,1290
mike pence,1290
jeff,1273
simparica trio,1244
mitt romney,1217
charlie,1216
mark meredith,1212
bolton,1199
kayleigh mcenany,1192
lisa,1185
george floyd's,1148
michael,1145
floyd,1134
tim scott,1130
johnson,1129
william barr,1121
sandra smith,1117
jessica,1114
xiidra,1111
roger stone,1107
anthony fauci,1106
karl,1095
jon,1089
jonathan,1085
bret baier,1080
♪  tucker,1073
larry,1066
james comey,1065
marc siegel,1054
ruth,1050
kennedy,1028
kim,1013
susan rice,971
gavin newsom,952
anthony,938
zelensky,931
x1,924
hillary,922
jim,914
tom cotton,909
laura,900
jon scott,893
martin,890
alexandria ocasio-cortez,888
taylor,870
susan collins,870
siegel,869
putin,849
robert,842
jesus,841
ginsburg,820
juan williams,819
reagan,816
maria bartiromo,806
sally,806
george w. bush,806
jim jordan,805
kristin fisher,805
dan bongino,787
giuliani,786
vladimir putin,786
sullivan,785
ben,779
alex,777
larry kudlow,774
rand paul,773
donald trump's,771
sarah,753
bill,752
jon:,746
harry,744
de blasio,743
john kerry,742
lawrence jones,735
tim,730
mike tobin,727
steve harrigan,726
harris faulkner,722
sandra,714
abraham lincoln,702
kim jong,701
karl rove,697
ron johnson,694
christina coleman,692
peter strzok,690
♪  sean,688
♪ ♪ ♪,686
saphier,677
dean,674
ron desantis,674
jeffrey epstein,672
christopher,665
george washington,663
steve mnuchin,653
ronald reagan,650
abbott,650
michelle obama,644
lee,644
boris johnson,643
john durham,637
george,632
dave,626
golo,615
kellyanne conway,614
scott,613
jack,610
breonna taylor,603
jerry nadler,600
mark,598
scalia,591
kevin corke,583
♪,575
marijuana,571
marco rubio,570
schumer,568
ilhan omar,567
pete hegseth,563
joey,562
moderna,557
tom brady,550
peter navarro,547
mnuchin,532
donna,530
greg,528
nixon,527
jim comey,526
howard,526
doug collins,526
david perdue,525
katie,524
jack keane,518
vice,515
jacob blake,515
austin,513
william,512
matt finn,506
alex hogan,504
nicole saphier,503
mcenany,499
tammy bruce,491
stacey abrams,488
chuck,485
charles payne,482
rick leventhal,479
raymond arroyo,478
murphy,476
mike lee,476
koala kai,476
eric shawn,470
james,470
josh hawley,469
phil keating,468
kelly loeffler,466
brian kilmeade,465
elizabeth,462
alex azar,460
tom steyer,457
mark esper,456
andrew mccabe,455
roberts,452
melissa,451
john brennan,451
joe concha,450
steven mnuchin,448
mollie,448
jonathan serrie,446
janice dean,445
andy mccarthy,444
hillary clinton's,442
jonathan hunt,440
john ratcliffe,440
chairman,438
♪  dana,432
thomas,431
secretary,429
wolf,426
arthel.,425
mark zuckerberg,422
bryan llenas,421
john kennedy,419
deborah,418
williams,416
safelite,415
trumps,414
eric swalwell,411
heartburn,406
redfield,403
andy,401
bill diblasio,397
dan springer,397
rob,396
kelly,396
donald j. trump,396
devin,394
hunter biden,393
raymond,392
adam,391
lawrence,390
martha.,388
phil,387
birx,387
william la jeunesse,384
mccarthy,383
tucker carlson,381
chad wolf,379
greg abbott,374
cuomo,372
lisa murkowski,371
garrett tenney,369
jacqui heinrich,368
sidney powell,366
nascar,366
rick scott,366
gore,366
andrew yang,365
brooks,364
sandra.,360
robert mueller,359
ari fleischer,358
♪  laura,357
brian kemp,357
joe manchin,355
jonathan turley,353
alan dershowitz,353
jeff paul,353
tony bobulinski,352
andrew jackson,352
jamie,349
adam schiff,348
doug,346
pete buttigieg,346
gillian turner,345
benjamin netanyahu,343
jennifer griffin,343
mollie hemingway,342
arthel neville,341
carl,337
phil murphy,337
jill biden,337
richard,336
jerry,335
john bolton's,335
john mccain,334
brett,330
don,328
castro,326
kyle,325
kisqali,325
♪  harris,323
ronna mcdaniel,323
sarah sanders,322
ben carson,320
patrick,317
robert o'brien,316
charles watson,315
michael flynn's,312
rich edson,311
prince harry,309
charlie kirk,308
nucala,307
benjamin hall,307
jim biden,306
chris cuomo,306
david lee miller,305
howard kurtz,305
adam klotz,304
john rich,303
fidel castro,302
christina,301
joey jones,301
ed henry,299
graffiti,296
al gore,295
bob woodward,295
aishah hasnie,294
ken,293
comey,290
chuck grassley,289
carley,289
jon ossoff,286
mark levin,285
ken starr,285
jackie,285
coney barrett's,281
mick mulvaney,281
jillian mele,274
nicole,273
john.,273
romney,272
gordon chang,271
smith,271
dan crenshaw,271
jared kushner,271
martin luther,269
karen bass,269
donald trump jr.,268
carley shimkus,267
hisamitsu,267
herschel,266
john kasich,266
madison,265
jimmy carter,264
jennifer,264
liberty mu... line,263
tony,263
hunter biden's,262
al sharpton,262
rayshard brooks,261
liberty m... am,261
jon.,261
donna brazile,261
jim clyburn,259
thomas jefferson,258
susan,257
laura ingle,256
steve bannon,255
jeffrey epstein's,254
jack dorsey,254
marc thiessen,252
chad,252
andrew napolitano,251
lamar alexander,251
chief justice,251
voltaren,251
steve hilton,250
david spunt,249
sonny,248
chris stirewalt,248
wendy,246
doug jones,245
marie,245
abby,244
brady,244
joseph,243
mayor,241
jordan,239
lebron james,239
david webb,238
sam,238
christopher steele,236
joni ernst,234
♪ steve,233
george bush,232
dan henninger,232
jfk,230
bill hemmer,228
mike flynn,228
♪  neil,228
eric trump,228
jerome adams,227
hamilton,224
john james,222
andrew,222
kim jong-un,221
martin luther king jr.,221
xi,221
jesus christ,220
bryan,219
meningitis b.,217
george stephanopoulos,217
colin kaepernick,216
james clyburn,215
alito,214
chris coons,213
gregg,212
pope francis,212
jackson,211
todd piro,210
breonna taylor's,209
nancy pelosi's,209
rachel,208
carvana,208
richard nixon,206
chris christie,206
cheryl,205
michael cohen,204
cosentyx,203
new voltaren,203
steve scalise,203
don lemon,202
jack brewer,201
zicam,200
mark meadows,200
clarence thomas,200
greg gutfeld,200
jeanine pirro,199
matt whitaker,198
jeff bezos,197
zuckerberg,197
dan.,196
rick reichmuth,196
mark siegel,195
peter.,195
jenna,195
awww,194
tom homan,194
dr. siegel,194
josh,193
chad pergram,192
mavyret,192
michael moore,191
jackie ibanez,191
♪ brian,191
cheney,191
bin laden,191
davis hanson,190
james clapper,189
sarah palin,189
curfew,188
mark cuban,188
lisa page,188
jesse watters,187
ethan,184
simon,183
buff,183
robert redfield,183
napolitano,182
andy biggs,181
geraldo,181
alan,181
blair,181
jenna ellis,180
corey lewandowski,179
♪ usaa,179
trey yingst,179
ed,176
richard fowler,175
joe biden wins,174
ed henry.,173
dan patrick,173
twitter,173
mark morgan,173
nancy grace,173
dagen mcdowell,173
melissa francis,173
lisa boothe,172
vascepa,171
joe biden?,171
carson,171
jeanine:,171
steve doocy,170
h1n1,169
kellyanne,167
jessica tarlov,167
ken paxton,166
daniel cameron,166
pence,166
tom bevan,166
steve moore,166
john:,166
betsy devos,165
hahn,165
tom perez,164
david purdue,164
elizabeth warren's,162
mark steyn,162
salonpas lidocaine,162
jesus ♪,161
♪ ♪  tucker,160
masimo,160
anderson cooper,160
brita,160
george papadopoulos,159
nah,159
bob,159
george soros,158
kamala,158
marie harf,158
michael waltz,156
dershowitz,156
ken cuccinelli,155
karen,155
alex trebek,155
karolyn,154
michael youssef,154
alicia acuna,154
sun,152
jefferson,152
kamala harris',152
teddy roosevelt,152
jackson hewitt,151
john kelly,151
wallace,151
clean,151
robert wolf,151
dave rubin,151
don jr.,150
janette nesheiwat,149
harry reid,149
vernon jones,149
usama bin laden,148
corey,148
michael jordan,146
kanye west,146
michael avenatti,145
alice johnson,145
ron,145
aaron,144
ginsberg,144
apps,144
trey gowdy,144
omar,143
john durham's,143
nesheiwat,142
dan hoffman,142
lara trump,142
lee zeldin,142
♪ applebee's,141
ag barr,141
ben shapiro,141
durham,140
lucas tomlinson,139
michael bloomberg's,139
griff,139
andy mccabe,139
yael eckstein,138
john cornyn,138
antonin scalia,138
speaker,138
margaret,138
leslie marshall,138
jim gray,137
legacybox,136
anderson,135
bill bennett,135
murkowski,134
senator harris,134
mike evans,134
xeljanz xr,134
♪  greg,134
bernie kerik,133
jimmy,133
john solomon,133
james carville,133
dick durbin,133
marco,133
lee carter,133
randy,133
matthew,132
k-12,132
howie kurtz,131
attorney,130
michael brown,130
jacob blake's,130
charles,130
