PERSON,Count
joe biden,27312
♪ ♪,26485
putin,26084
biden,23359
brian,21692
dana,19912
john,15572
ainsley,15499
martha,13122
mike,10846
neil,10823
joe,10703
harris,9774
vladimir putin,9142
steve,8280
donald trump,8266
eric,5173
nancy,5138
kamala harris,4705
tucker,4581
joey,4285
david,4226
♪♪,3913
joe biden's,3881
hillary clinton,3626
paul,3440
god,3369
jeanine,3368
dan,3346
pete,3102
kevin,3098
ron desantis,2974
max,2793
dr.,2747
clinton,2744
jen psaki,2730
covid-19,2627
maria,2519
kevin mccarthy,2509
larry,2472
peter,2350
arthel,2242
chris,2215
jonathan,2166
john fetterman,2123
peter doocy,2113
lawrence,2098
howard,2087
matt,2056
xiidra,2005
cheney,1921
jesse,1896
zelensky,1895
abbott,1843
rick,1754
jessica,1704
chuck schumer,1688
eric adams,1647
bret,1641
jason,1589
jeff,1585
greg abbott,1575
otezla,1570
john:,1566
bush,1530
tucker carlson,1507
joe manchin,1498
elizabeth,1496
charlie,1473
michael,1460
john.,1451
lee zeldin,1446
dana perino,1436
merrick garland,1413
stacey abrams,1408
joe concha,1404
tom,1384
rachel,1328
fauci,1309
tim,1292
mccarthy,1286
laura ingraham,1249
reagan,1189
herschel,1175
jesus,1138
mitch mcconnell,1126
john roberts,1124
nancy pelosi,1123
harry,1111
joe rogan,1110
elon musk,1109
♪ liberty,1109
trump,1109
jim jordan,1086
♪ ♪ ♪,1077
william,1060
tom brady,1051
golo,1019
ron johnson,1018
alex,1005
bryan,1000
doug,993
laura,987
bill,984
brian kilmeade,984
hillary,979
bill clinton,967
john kirby,966
sandra smith,963
bret baier,963
marijuana,940
taylor,934
george gascon,907
sandra.,878
jack keane,876
jim,874
johnson,872
ronald reagan,872
lawrence jones,865
tammy,864
mike lindell,829
president,829
brian kemp,809
bernie,807
justin trudeau,804
tom cotton,798
kim,797
boris johnson,797
vladimir putin's,796
martha maccallum,796
glenn youngkin,792
jack,792
jonathan turley,786
gavin newsom,765
mike tobin,764
mark kelly,757
harris faulkner,757
lee,752
jamie,752
austin,748
bill melugin,746
jonathan hunt,744
jennifer griffin,731
kisqali,730
herschel walker,728
elizabeth warren,716
gillian,715
jackson,712
kennedy,711
kathy,710
simparica trio,700
john durham,700
robert,697
dan bongino,695
joe biden.,686
lindsey graham,684
jimmy,682
christopher,666
chuck,664
ben,662
kevin corke,659
kelly,657
marco rubio,651
johnny depp,647
phil,643
jake sullivan,642
rick scott,638
george soros,636
jon scott,629
chris rock,627
pete hegseth,623
mark meredith,617
madison,610
james,609
charles watson,605
sam,605
♪ ♪  tucker,594
sam bankman-fried,588
graham,586
thomas,580
alexandria hoff,575
rand paul,571
steve harrigan,568
jesus christ,562
anita,557
alvin bragg,556
voya,553
xi,547
larry kudlow,546
karl,536
williams,532
cheryl,527
alex hogan,527
jackie,524
jimmy carter,522
jennifer,518
johnny,515
george w. bush,511
christina coleman,506
kellyanne conway,506
raymond arroyo,501
matt finn,497
janice dean,496
kellyanne,495
sarah,494
kayleigh mcenany,493
janet yellen,492
mark zuckerberg,491
apoquel,474
leqvio,473
lisa,473
diana,472
karine jean-pierre,471
marc siegel,469
anthony fauci,459
john kerry,458
george washington,454
jim crow,451
bill barr,450
anthony,449
johnny cash,446
zicam,445
raymond,443
zeldin,440
safelite,440
joey jones,439
george floyd,435
mitt romney,433
andy,432
chuck grassley,431
dave,431
maria bartiromo,430
jeff paul,427
sandra,421
hillary clinton's,421
tammy bruce,417
tim scott,414
clarence thomas,412
hunter biden,408
obama,406
elizabeth ii,406
carley,406
alexandria ocasio-cortez,406
zelenskyy,405
ron klain,404
abby,397
♪ ♪  jesse,396
kherson,395
mike pence,393
nancy pelosi's,391
scholl,388
tom homan,388
lara trump,386
jimmy failla,384
andy mccarthy,382
♪ ♪  sean,381
mar-a-lago,380
charles payne,380
tim ryan,376
bernie sanders,370
jeanine pirro,370
brady,368
warren,367
jerome powell,363
twitter,361
adam,359
mcconnell,359
bryan llenas,358
karl rove,356
douglas,356
george,353
don,352
mayorkas,350
paul pelosi,349
michael sussmann,348
donald trump's,348
katie,347
carl,346
aaron,343
martha.,338
michael waltz,337
hunter biden's,336
tony,336
heartburn,334
eastman,333
brooke singman,332
baker,332
mike lee,331
♪ ♪ gravelbourg,328
eric shawn,326
james baker,326
ketanji brown jackson,324
mehmet,320
nancy grace,318
♪♪♪,318
patrick,315
jon:,313
tucker carlson tonight,308
scott,307
trey yingst,306
monica,306
rich edson,306
miranda devine,305
kayak,304
david spunt,303
ruth,303
adam klotz,303
lia thomas,302
mollie,302
kayleigh,302
trey,301
mark,299
josh hawley,299
vladamir putin,294
jill biden,294
brett,294
siegel,294
♪liberty,293
volodymyr zelenskyy,293
abraham lincoln,290
mark levin,289
alito,289
andrew cuomo,288
jeff bezos,288
youngkin,287
benjamin hall,286
shingrix,285
nucala,284
steve bannon,280
dave chappelle,279
austin james,278
rudy giuliani,277
alexandria,276
harold,276
al gore,276
mm,271
♪ ♪  laura,270
trumps,270
gary,270
leo terrell,268
jack dorsey,268
charles,267
peter.,267
adam laxalt,267
lloyd austin,264
peter navarro,264
marc thiessen,263
john cornyn,262
jesse watters,262
greg,261
charles iii,260
dan hoffman,258
smith,258
john kennedy,258
jon,256
bill maher,255
kyle,255
david lee miller,255
katie hobbs,251
larry gatlin,251
schumer,249
wendy,248
steve moore,248
milley,247
nixon,247
sharon,246
roberts,246
meningitis b.,245
stephen miller,245
ron,245
james comey,243
jerry,243
♪ ♪  greg,243
zuckerberg,243
ken,242
muriel bowser,242
meta portal,242
secretary,240
nancy mace,239
breztri,237
pete buttigieg,236
janssen,236
prince harry,235
christopher steele,235
aishah hasnie,235
arthel neville,234
greg gutfeld,234
d.a.,233
xi jinping,233
♪ one,232
rick reichmuth,232
jordan,232
william devane,230
henry cuellar,229
michelle obama,229
jim banks,229
mavyret,228
jim baker,228
prince william,228
sarah palin,224
gillian turner,223
robert.,222
david mccormick,221
keith kellogg,221
davis hanson,221
monica crowley,220
edward lawrence,219
chairman,218
jonathan lawson,217
phil keating,217
james comer,216
chris cuomo,216
♪ ♪  carley,216
patty murray,215
jfk,214
charlie kirk,214
mollie hemingway,214
jacqui heinrich,214
john durham's,213
bill hemmer,213
william la jeunesse,211
john ratcliffe,211
maga republicans,210
steve doocy,210
dan springer,210
brandon judd,209
grassley,209
glenn greenwald,208
tim cook,207
brandon,205
coney barrett,202
julie banderas,201
eric ciliberti,201
john solomon,201
al sharpton,200
saphier,200
kathy barnett,200
greg palkot,200
