PERSON,Count
jim,3891
joe,3738
carl,3191
david,3060
♪ ♪,2646
putin,2530
rick,2419
john,2270
larry,1960
steve,1930
mike,1805
brian,1788
kelly,1755
janet yellen,1639
rick santelli,1635
andrew,1473
jeff,1439
jim cramer,1427
tim,1422
michael,1329
usaa,1159
warren,1155
dan,1047
kevin,1041
phil lebeau,961
tim cook,888
andrew ross,863
carl icahn,850
joe kernen,830
melissa lee,806
paul,790
simon,780
chris,776
jack,756
vladimir putin,742
tom,728
bob pisani,719
obama,684
phil,661
marijuana,656
david faber,609
sarah,605
michelle caruso-cabrera,592
steve liesman,582
bob,577
jpmorgan,552
josh lipton,538
sam,524
peter,517
scott,504
ross,494
carl quintanilla,488
tyler,466
jim.,465
matt,457
michelle,447
mark zuckerberg,446
robert,443
jane wells,427
courtney reagan,420
max,410
diana,393
bill ackman,390
anthony,386
robert frank,384
ben,378
ben bernanke,377
eric,374
karen,368
john harwood,368
mary thompson,363
jack ma,361
cialis tadalafil,360
martin,354
josh brown,353
john kerry,351
edward jones,319
watson,316
derrick chan,313
josh,311
mary barra,307
larry kudlow,302
lee,300
dave,300
bill,298
bush,295
kara,291
scott wapner,290
pete,289
dom chu,280
brian kelly,278
kelly evans,277
mac,277
bill gross,276
ken,273
howard spielberg,269
chuck,269
zuckerberg,265
julia boorstin,261
dominic chu,256
julia,255
jamie dimon,254
cialis,254
kevin o'leary,252
johnson,243
brian sullivan,239
williams,236
clinton,234
alan,234
reagan,231
jack lew,231
tim seymour,231
jerry,230
jimmy,225
kerry,224
angela merkel,222
jackie deangelis,221
nelson,214
howard schultz,213
diana olick,211
kohl,209
eric cantor,208
david cameron,202
dick,200
randy frederick,192
jon fortt,192
charlie,192
taylor,190
sharon,190
charles schwab,189
dr.,188
nick,185
patrick,184
duck,184
jeff bezos,184
janet yellen's,182
kate kelly,180
aaron,180
rupert murdoch,172
hoffman,171
alex,170
melissa,170
intern.r,170
monica santiago,169
baker,168
michael kors,167
jon,167
chris christie,165
bernanke,165
kate,164
ron,163
carter,161
hillary clinton,161
eamon javers,161
dennis gartman,160
lisa,158
twitter,157
andy,155
howard,154
julia chatterley,153
god,152
mark carney,151
james,149
ralph lauren,146
don,145
ron:,143
cramer,143
roth,142
mike murphy,142
draghi,141
jane,139
jon najarian,139
dan nathan,138
david tepper,138
duncan,136
michelle caruso cabrera,133
craig,132
john chen,130
helia,130
michael lewis,129
jamie,129
etfs,129
4:51,129
dre,129
jason,129
jackie,128
nadella,126
neil,124
ken feinberg,124
andrew.,123
vin,123
steve grasso,122
janet yellin,122
jonathan,121
mark,121
barry,120
sharon epperson,119
wendy,119
janet long,118
john.,118
george,118
alan greenspan,118
yellen,117
john steinberg,117
eu,116
jeffrey,116
jim an e-,115
hadley,115
raymond james,115
bill miller,115
john boehner,115
bill clinton,112
dan loeb,112
icahn,111
scott cohn,111
jim maceda,111
courtney,110
dennis,109
q4,109
richard,109
dan.,108
steve weiss,108
eric schmidt,107
mark cuban,107
diane,107
kim,106
larry ellison,106
simon hobbs,105
kyle,105
jeb bush,105
nancy,105
martha stewart,103
alan mulally,102
sarah eisen,101
steve sedgwick,101
ralph,101
harry reid,101
carolin roth,100
mel,99
♪ ♪ ♪,99
joe kernan,99
tim armstrong,98
david winters,97
rick perry,96
cozy,95
elizabeth warren,95
paul ryan,95
halliburton,95
eamon,95
ackman,95
julia.,94
al,94
jeff cox,94
richard branson,92
elon musk,92
ronald reagan,91
arthur,91
pete najarian,90
elliott,90
mortenson,90
maliki,90
satya nadella,89
dick costolo,89
comcastnbcuniversal,89
moo ],89
sheila,89
bernie,89
jim stewart,88
robin williams,88
kara swisher,88
beth,87
gary,87
eric holder,87
lebron james,87
susan,87
karen finerman,86
jim grant,86
louisa bojesen,86
gox,86
murphy,85
daniels,85
bobby,85
richard fisher,85
ron johnson,84
boris,84
bloomberg,83
mike jackson,82
dragon,82
david einhorn,82
dana,82
citi,81
adidas,81
chairman,81
mayo,81
harry,80
mary,80
sharing,79
greenspan,79
jcpenney,79
i'm...i'm serious,79
nick woodman,78
tony,78
abe,78
