PERSON,Count
jim,4477
joe,4031
mitt romney,3919
carl,3498
larry,3411
john,2933
david,2891
rick,2741
brian,2691
steve,1937
romney,1905
♪ ♪,1858
mike,1768
obama,1665
rick santelli,1642
bush,1621
ben bernanke,1508
paul,1310
michael,1217
jim cramer,1213
andrew,1211
jamie dimon,1130
jpmorgan,1047
simon,1025
jeff,1013
bernanke,1007
warren,998
dan,987
clinton,959
peter,937
chris,884
maria,875
bob,871
ross,865
tim,857
bob pisani,856
max,834
mark zuckerberg,834
john harwood,802
paul ryan,784
tom,770
chuck,713
kevin,708
sharon,695
brian shactman,685
joe kernen,638
mary thompson,633
reagan,630
john boehner,614
sharon epperson,613
steve liesman,604
andrew ross,597
jim.,593
jack,587
larry kudlow,579
mitt romney's,579
kelly,551
taylor,539
bill clinton,538
angela merkel,514
phil lebeau,510
tyler,498
courtney reagan,485
tim cook,479
scott,462
usaa,461
matt,458
melissa,451
zuckerberg,440
melissa lee,436
phil,432
brian sullivan,431
maria bartiromo,423
johnson,414
diana,408
david faber,407
bill,404
ron johnson,403
ben,400
michelle,396
michelle caruso-cabrera,385
rick santorum,382
harry reid,381
robert,381
jane wells,378
boehner,372
stephen hett,335
joe biden,324
davies,324
ken,322
bobby,321
eric,319
julia boorstin,319
anthony,302
dave,292
log,291
discontinue androgel,287
sam,278
karen,271
gary,265
ronald reagan,262
howard spielberg,250
julia,250
jimmy,249
jamie,248
charles schwab,248
martin,247
james,247
tim geithner,241
ron paul,239
carl quintanilla,226
kohl,226
howard,224
john.,223
jackie deangelis,222
robert frank,221
ortho,221
ralph lauren,219
diana olick,218
thinkorswim,217
cramer,216
jackie,207
eamon javers,206
donald trump,206
kelly evans,205
chris christie,204
hillary clinton,201
davis,198
ron,196
putin,196
bloomberg,194
charlie,192
lee,191
williams,189
howard dean,189
dimon,189
george w. bush,189
barry,188
lloyd blankfein,188
mark allen,187
ben bernanke's,187
chairman,185
andy,179
jack welch,176
raymond james,175
fiona,174
jane,172
scott walker,172
sally,172
carl icahn,171
gary kaminsky,171
nick,169
paul ryan's,169
richard,169
jocelyn,168
low t.,166
george,166
silvia,165
josh brown,164
mike murphy,164
patrick,163
gon max,159
george bush,159
don,158
eu,158
gilmore,157
hertz gold plus,157
michael kors,155
alan,155
jonathan,153
ortho weed,152
alex,152
craig,151
dick,151
jason,151
rupert murdoch,150
howard schultz,150
brian kelly,149
bill gross,148
meredith whitney,143
eric cantor,142
god,141
jon fortt,141
bernie,138
scott cohn,137
larry ellison,137
dean,136
marco rubio,135
eamon,135
richard fisher,134
mark,134
john mccain,132
mitt,132
kate kelly,128
courtney,127
steve weiss,126
scott wapner,125
mary,123
jerry,123
marijuana,122
neil,122
john carter,121
duncan,121
alan simpson,121
doug,121
mortenson,120
jim o'neill,119
harry,119
scott thompson,118
hahaha,118
david cameron,116
darren,115
darren rovell,114
alan greenspan,113
etfs,113
patricia,113
john carney,111
bill ackman,110
michael ],109
train ♪,108
mitch mcconnell,108
david einhorn,108
timothy geithner,108
bp,107
