Year,Network,ORG,Count
2020,FBC,senate,13253
2020,FBC,the white house,9664
2020,FBC,fbi,9403
2020,FBC,congress,9134
2020,FBC,medicare,6799
2020,FBC,s&p,6335
2020,FBC,fed,5883
2020,FBC,fda,4269
2020,FBC,microsoft,3622
2020,FBC,fox news,2944
