Year,Network,ORG,Count
2021,CNBC,fed,17360
2021,CNBC,s&p,7923
2021,CNBC,microsoft,3978
2021,CNBC,senate,3853
2021,CNBC,congress,3816
2021,CNBC,fda,3278
2021,CNBC,the white house,3141
2021,CNBC,ibm,3084
2021,CNBC,at&t,2734
2021,CNBC,ford,2662
