PERSON,Count
donald trump,54587
♪ ♪,30272
biden,15310
♪♪,14852
joe biden,14547
mccarthy,13167
joe,13012
kevin mccarthy,12444
jack smith,12189
ron desantis,10087
putin,9666
chris,8918
mike,8244
david,5973
trump,5093
rudy giuliani,4500
matt,4147
jim jordan,4133
taylor,3982
michael,3957
george santos,3942
alex,3853
jonathan,3696
vladimir putin,3603
♪ liberty,3478
giuliani,3465
donald trump's,3367
michael cohen,3216
jack smith's,3096
john,2888
paul,2681
tucker carlson,2544
tim,2510
andrea mitchell,2495
sam,2394
johnson,2375
nichols,2355
♪ ♪ ♪,2338
max,2309
netanyahu,2282
alvin bragg,2279
jonathan lemire,2231
thomas,2137
chris christie,2046
andrea,2023
charlie,2018
kevin,2017
mike pence,1986
josh allen,1984
golo,1948
mike johnson,1857
tim scott,1791
joe biden's,1781
nancy,1780
jordan,1780
chris jansing,1681
tom,1671
chuck,1669
jose,1662
nucala,1650
joyce,1650
andrew weissmann,1646
fani willis,1633
hillary clinton,1603
andrew,1578
bill barr,1569
cheney,1562
merrick garland,1541
nixon,1524
clarence thomas,1481
benjamin netanyahu,1481
mitch mcconnell,1447
freeman,1413
kamala harris,1411
heartburn,1290
harry,1278
katy,1276
otezla,1228
rupert murdoch,1219
joyce vance,1215
ben,1201
scholl,1157
peter,1154
reagan,1128
bush,1123
ken,1079
chris hayes,1051
eric,1045
steve,1044
john eastman,1029
richard engel,1023
breztri,1014
michael steele,1005
jen psaki,997
glenn,988
craig melvin,987
richard,987
mitt romney,963
larry,961
chutkan,953
linda,952
george,943
mar-a-lago,909
ken dilanian,907
sarah,906
shingrix,901
clinton,901
barr,900
ali vitali,895
e. jean carroll,893
dave,888
kevin mccarthy's,877
barbara mcquade,874
jose diaz,869
kim,848
sidney powell,839
brian,836
harris,832
al sharpton,830
chuck schumer,825
lisa,823
jim,817
covid-19,809
marquis,806
graham,800
kelly clarkson,784
kelly,782
milley,777
ali velshi,768
steve bannon,764
don,761
katy tur,756
jamie raskin,752
david jolly,749
jeff,744
