PERSON,Count
mitt romney,44500
romney,18487
joe,8887
obama,7962
rick santorum,7637
♪ ♪,7117
mitt romney's,6525
bush,6423
chris,6049
paul,4389
paul ryan,4305
bill clinton,3766
rick,3543
clinton,3515
mike,3410
chuck,3379
ron paul,3378
david,3204
john mccain,2592
michael,2485
joe biden,2468
reagan,2119
john,2084
george w. bush,1970
hillary clinton,1816
sarah palin,1781
george zimmerman,1747
andrea mitchell,1745
rick perry,1608
martin,1606
alex,1565
ronald reagan,1550
trayvon martin,1443
andrea,1433
chris matthews,1188
tom,1181
thomas,1168
osama bin laden,1099
mitt,1096
scott walker,1095
paul ryan's,1092
bill karins,1072
santorum,1052
jonathan,1040
bin laden,1034
marco rubio,1024
steve,981
scott brown,971
john boehner,968
al sharpton,957
michael steele,955
tim,925
george bush,924
bobby,910
dave,896
chris christie,890
john kerry,882
donald trump,881
zimmerman,873
jeb bush,868
michele bachmann,844
harry reid,841
ann romney,758
michelle obama,754
god,742
elizabeth warren,736
john edwards,725
brian,696
alex witt,693
kennedy,690
matt,665
david axelrod,663
jeff,657
v8 v-fusion,639
jerry,638
rick santorum's,631
lynn berry,631
eric,616
karen,606
karen finney,601
kevin,593
nixon,591
jim,590
john heilemann,589
biden,575
newt gingrich,570
richard,570
dick cheney,547
cymbalta,538
howard fineman,536
cheney,534
marijuana,530
al,526
robert,516
sam,514
jimmy carter,511
george,506
mike barnicle,505
warren,502
craig,484
lawrence o'donnell,480
eugene robinson,478
dana,472
jon huntsman,467
lynn,463
nancy,451
chuck todd,447
jonathan capehart,446
ben,443
eric holder,438
taylor,438
jimmy,437
al gore,435
howard,433
jack,430
sam stein,428
peter,418
johnson,402
whitney houston,399
chris hayes,398
david gregory,396
dan,389
eric cantor,386
max,384
mike allen,379
ryan,378
karl rove,378
chris jansing,374
george zimmerman's,371
low t.,367
mccain,367
thomas roberts,366
luke,355
ron,349
claire mccaskill,349
tim tebow,349
mitch mcconnell,348
randy,347
scholl,347
trayvon martin's,346
lee,343
