PERSON,Count
joe biden,47121
donald trump,38121
joe,15528
covid-19,13943
♪ ♪,12064
bernie,10006
mike,9169
dr.,8642
chris,7054
kamala harris,6673
chuck,6140
biden,5949
trump,5784
george floyd,5721
elizabeth warren,5621
mitch mcconnell,5242
fauci,5110
joe biden's,5102
hillary clinton,5008
brian,4939
barr,4827
john,4531
john bolton,4402
andrea,4082
bernie sanders,3768
bill barr,3718
nancy,3619
bloomberg,3560
david,3542
john lewis,3527
♪ liberty,3473
clinton,3401
rudy giuliani,3379
michael,3284
mike bloomberg,3214
warren,3055
bolton,2941
putin,2848
craig,2804
michael bloomberg,2785
katy,2772
usaa,2680
giuliani,2608
steve,2517
mcconnell,2406
bush,2404
alex,2346
jonathan,2302
donald trump's,2242
tom,2223
sam,2217
steve kornacki,2202
mitt romney,2062
vladimir putin,1993
william barr,1969
otezla,1917
harris,1869
nixon,1854
paul,1821
president,1808
andrea mitchell,1804
chuck schumer,1794
craig melvin,1724
graham,1665
andrew cuomo,1653
matt,1606
breonna taylor,1593
michael cohen,1591
obama,1566
taylor,1560
joe biden.,1548
jonathan lemire,1537
ben,1532
floyd,1528
roger stone,1499
kim,1494
george floyd's,1488
anthony fauci,1487
peter,1482
flynn,1480
michael flynn,1367
mike pence,1337
jeff,1316
anthony,1313
nancy pelosi,1304
zelensky,1304
brian williams,1303
ruth,1300
michael steele,1270
peter baker,1248
susan collins,1224
coney barrett,1207
larry,1198
joshua,1181
bob woodward,1174
martin,1165
george w. bush,1164
max,1148
tom steyer,1145
god,1143
mavyret,1126
chris hayes,1126
rick,1124
bill clinton,1108
ginsburg,1107
johnson,1100
mike memoli,1070
nick,1050
kevin,1048
al sharpton,986
ali velshi,985
stacey abrams,980
charlie,979
tim,961
robert,945
lindsey graham,942
sarah,939
x1,914
katy tur,908
john heilemann,906
carol lee,892
jason,869
reagan,863
james,858
apoquel,857
abbott,852
lawrence o'donnell,841
jared kushner,837
john mccain,833
claire mccaskill,817
robert costa,814
kelly,780
xeljanz xr,778
eric,760
moderna,751
barrett,743
jim,739
al,733
dave,730
gupta,730
lamar alexander,730
patel,727
jamie,723
michelle,718
monica,715
dan,715
richard nixon,713
heartburn,707
lawrence,702
mnuchin,701
elizabeth,689
bill karins,687
richard,685
steve mnuchin,680
voltaren,675
mary trump,664
joshua johnson,663
jim clyburn,652
ronald reagan,647
new voltaren,645
jacob blake,644
george,640
chris jansing,639
michelle obama,635
♪ ♪ ♪,633
boris johnson,630
john roberts,621
deborah,618
richard engel,616
john bolton's,615
phil,609
redfield,606
jon meacham,606
ron desantis,605
austin,602
murphy,598
bill,593
monica alba,592
mark esper,587
steve bannon,585
clean,585
jon ossoff,583
ali vitali,581
stephanie,577
john kelly,576
martha,572
eugene robinson,571
roberts,564
doug jones,564
peter alexander,556
mohyeldin,555
birx,546
jason johnson,529
marco rubio,524
lisa murkowski,522
susan rice,518
steve schmidt,516
ron klain,515
shaquille brewster,515
james carville,511
lee,510
andrew,508
christopher,503
brooks,499
kim jong-un,499
bill de blasio,498
mick mulvaney,497
pete williams,497
scott,495
hillary clinton's,494
rand paul,493
malcolm,490
berman,489
david plouffe,489
sonny,489
ron,485
mike barnicle,483
hans nichols,481
alan dershowitz,480
parnas,480
brian kemp,479
romney,478
robert mueller,472
kendis,468
bright,468
jesus,467
hallie jackson,465
ken,464
donna,463
ali,463
castro,458
joyce,457
donna edwards,455
peter navarro,453
jimmy carter,452
tammy,449
scalia,449
pete,449
alex witt,448
kelly o'donnell,445
breonna taylor's,444
cal perry,443
chris wallace,442
jonathan swan,442
jack,440
mayor,437
williams,437
abraham lincoln,436
madison,433
mike flynn,432
john kerry,430
pete buttigieg,429
donald j. trump,427
mike lee,425
sam brock,421
joyce vance,420
beth,419
ron johnson,417
steve patterson,417
tim scott,416
vice,416
larry kudlow,414
joy reid,411
linda,409
kasie hunt,409
klobuchar,408
anna,408
rachel,405
hep c.,405
mitch mcconnell's,403
danny cevallos,402
harry,401
ashley parker,400
andrew yang,397
chairman,394
cohen,394
adam schiff,391
gavin newsom,389
kennedy,388
alicia menendez,387
milley,386
chris krebs,383
susan,383
julian castro,379
kayleigh mcenany,377
jennifer,376
schumer,375
david perdue,372
diane,371
hallie,370
matt bradley,369
chief justice,367
don,366
ciara,365
tony,365
ken starr,365
greg abbott,364
chris matthews,361
robert gibbs,359
harry truman,355
gore,354
karen bass,354
kellyanne conway,353
sharpton,353
koala kai,353
michael beschloss,352
vin gupta,352
joseph,351
george washington,348
jarod,342
dershowitz,339
priscilla thompson,338
cory booker,338
pence,337
ron allen,336
roy,330
elizabeth warren's,328
kevin mccarthy,328
kerry,327
lynn,325
josh,325
michael moore,325
eric garner,321
safelite,320
jeremy bash,319
george bush,315
martin luther,314
bryan,314
jill biden,312
chuck rosenberg,311
tom perez,311
hillary,309
karen,307
jordan,306
paul manafort,305
jerry nadler,303
alex azar,302
meningitis b.,302
chris murphy,301
alex.,301
sally,300
alexandria ocasio-cortez,298
michael schmidt,297
john cornyn,297
kisqali,297
josh letterman,296
joni ernst,295
jim jordan,295
trumps,295
phil rucker,294
dara brown,293
jimmy,292
david ignatius,292
john brennan,292
jonathan capehart,292
chris christie,291
john lewis',289
jacob soboroff,287
andy,286
betsy,285
zeke,284
devin,284
robert redfield,283
phil murphy,281
stephen miller,281
james comey,280
george h.w.,280
lisa,278
doug,278
david jolly,278
sullivan,274
lebron james,273
leigh ann,271
rayshard brooks,271
shingrix,269
joy,268
kelly clarkson,266
bob,265
barbara,265
nicolle,258
harold,258
roger,257
louis dejoy,256
sam stein,256
jo ling kent,256
my hep c.,255
blair,255
bill barr's,253
susan page,252
diana,251
de blasio,250
josh lederman,250
hamilton,250
d.c,248
cara,248
amy klobuchar,248
patrick,247
neil,247
kay,246
laurie garrett,245
chuck todd,245
chris coons,245
hannah,244
dick durbin,244
robert o'brien,243
al gore,243
nah,242
evan,241
jamie harrison,241
apps,238
jeffrey epstein,237
wendy,236
jerry,236
marijuana,236
rick wilson,235
willie,235
senator harris,234
william,234
george wallace,234
paul butler,234
tim kaine,233
hyde,233
erdogan,232
mccarthy,232
kristen welker,231
jeffrey,229
meek,229
nucala,228
jeffrey goldberg,228
mm,228
cheney,227
jackson,227
blake,226
ben sasse,226
murkowski,225
carter,224
martin luther king jr.,224
kelly loeffler,223
joe manchin,222
tom winter,221
gary peters,221
jacob blake's,219
bob costa,218
wolf,218
mark,217
mark kelly,216
marie yovanovitch,214
kavita patel,214
jeh johnson,213
jfk,213
jim mattis,213
eric trump,213
james clyburn,211
alexander vindman,211
mike bloomberg's,210
retinol sa,210
katie porter,210
aaron,210
tammy duckworth,209
ken dilanian,209
kristin,208
melissa,207
lyndon johnson,207
james mattis,207
garcia,207
bob woodward's,207
carl,206
sun,205
john durham,205
