PERSON,Count
donald trump,27743
joe,8083
putin,7910
flynn,7554
hillary clinton,6931
roy moore,6212
jeff,6193
trump,5747
steve bannon,5726
michael flynn,5259
mike,5053
vladimir putin,4974
chris,4639
james comey,4427
♪ ♪,4356
paul,3972
clinton,3794
john mccain,3489
jared kushner,3469
robert mueller,3113
mitch mcconnell,3099
david,2930
kelly,2929
bush,2755
paul ryan,2587
obama,2495
mike flynn,2472
comey,2361
john,2274
andrea,2225
john kelly,2113
nixon,2007
chuck schumer,1958
brian,1945
chuck,1943
andrea mitchell,1934
doug jones,1925
bob corker,1921
steve,1880
donald trump jr.,1811
michael,1809
jeff sessions,1784
nancy,1736
kim jong-un,1720
craig,1618
donald trump's,1592
george w. bush,1588
paul manafort,1537
bob mueller,1537
alex,1530
jim comey,1527
rex tillerson,1398
peter,1390
tom,1372
charlie,1364
bill clinton,1359
rick,1307
kelly o'donnell,1302
president,1274
matt,1263
graham,1244
jonathan,1224
katy,1196
kevin,1116
malcolm,1115
kellyanne conway,1094
reagan,1088
peter alexander,1055
mike pence,1039
rand paul,1039
mcconnell,1019
sally,1009
pete williams,970
sarah huckabee,967
hillary clinton's,955
hallie jackson,952
max,928
otezla,912
ali velshi,903
tom price,900
robert,900
devin,896
susan collins,881
sarah,854
john lewis,846
johnson,839
xeljanz xr,832
bernie,822
jim,813
marco rubio,789
thomas,789
ronald reagan,777
kushner,774
angela merkel,772
ken,772
anthony,744
richard,735
elizabeth warren,735
don jr.,709
richard nixon,697
craig melvin,688
parker,686
joe biden,681
nick,672
lindsey graham,665
sam,659
alex witt,653
robert mueller's,635
steve kornacki,632
chris jansing,625
irma,621
george papadopoulos,605
mccain,597
katy tur,595
chris matthews,591
bill karins,589
chris hayes,589
david ignatius,585
hans nichols,575
roy moore's,557
god,554
robert costa,550
scholl,543
la quinta,533
betsy devos,532
steve mnuchin,531
kasie hunt,528
abracadabra,517
jack,511
usaa,508
bannon,498
hallie,486
tim,484
michael steele,483
jared kushner's,473
ron,473
bernie sanders,464
kennedy,458
al,457
michael flynn's,457
nancy pelosi,457
mueller,455
mike barnicle,449
jeremy bash,447
peter baker,439
eric,439
bill o'reilly,438
tom perez,435
brian williams,430
heartburn,421
ben,421
al franken,420
trulicity,420
lawrence o'donnell,419
kristen welker,417
mitt romney,412
john conyers,412
gary,403
michael cohen,403
richard engel,397
marie callender's,396
james clapper,393
jfk,392
james mattis,390
mark warner,389
steven miller,388
stephanie,384
george,384
lee,381
don,378
gary cohn,373
susan rice,368
rick tyler,363
joe arpaio,358
hans,357
lisa murkowski,347
james comey's,345
kim,343
hillary,343
jason,342
christopher,337
sean spicer,335
neil,331
thomas roberts,330
george bush,328
david duke,328
ed gillespie,327
boris grows mind-blowing,326
invokana,324
marijuana,322
bill,318
erdogan,315
tom cotton,315
stephen miller,315
ali,313
john brennan,313
hepatitis c. it's,311
chris christie,308
dean heller,301
lawrence,300
mike lee,299
howard dean,299
chuck grassley,297
badda boom,297
matt miller,297
joy,295
roger stone,291
matt bradley,290
evan,287
george h.w.,284
paul ryan's,283
matt lauer,283
scott pruitt,281
jim mattis,281
william,280
larry,280
joe manchin,279
bob mueller's,278
mariana,277
ron allen,277
schumer,276
warren,275
mar-a-lago,272
jesus,271
rod rosenstein,270
susan,269
jamie,269
john heilemann,268
vladimir putin's,268
lucy,267
kerry,266
kim jong,265
andrew mccabe,263
michael schmidt,262
paul manafort's,262
jimmy kimmel,262
christopher steele,261
john dowd,260
hep c. wondering,260
bashar al assad,260
bobby,260
colin kaepernick,260
jon ossoff,259
trumps,257
john kerry,253
carol lee,251
chris murphy,250
mick mulvaney,249
john smith,247
tom steyer,247
ready ♪,246
martin,245
aaron,245
chairman,244
bob costa,242
mike flynn's,241
jordan,241
betsy,239
moore,238
beth,238
ken dilanian,238
rick scott,238
jennifer,237
williams,237
wolf,236
jeremy peters,235
