PERSON,Count
donald trump,27710
michael cohen,14768
joe,9121
putin,8670
robert mueller,8199
trump,6745
jeff,6135
hillary clinton,5431
mike,5413
rudy giuliani,5273
♪ ♪,5250
vladimir putin,5130
paul,5108
kim jong-un,4409
john kelly,4327
bush,4325
chris,3975
john mccain,3916
david,3858
clinton,3776
michael,3758
giuliani,3743
cohen,3599
paul manafort,3023
steve bannon,3022
james comey,2944
john,2818
bob mueller,2752
rick,2613
nancy,2570
nixon,2241
andrea,2224
flynn,2179
kelly,2036
ford,1980
chuck,1979
xeljanz xr,1895
michael flynn,1892
andrea mitchell,1871
scott pruitt,1853
michael cohen's,1791
brian,1787
kim,1731
bill clinton,1726
robert mueller's,1721
mitch mcconnell,1715
jared kushner,1671
donald trump's,1603
paul ryan,1596
john bolton,1596
matt,1583
alex,1569
tom,1516
jonathan,1503
president,1441
craig,1394
george w. bush,1382
roger stone,1374
graham,1357
chuck schumer,1347
jeff sessions,1331
steve,1314
michael avenatti,1249
devin,1179
katy,1177
donald trump jr.,1164
sarah sanders,1115
jim comey,1059
badda boom,1047
peter,1047
john brennan,1032
reagan,1014
ken,1014
sarah huckabee,1013
obama,990
craig melvin,988
joyce,975
george h.w.,962
don mcgahn,959
otezla,955
steve kornacki,951
charlie,950
jim,945
susan collins,931
andrew mccabe,930
comey,929
ali velshi,909
sarah,892
joe biden,846
hillary clinton's,835
ben,830
kennedy,814
ronald reagan,806
paul manafort's,806
blasey ford,784
sam,783
mark zuckerberg,780
john dowd,778
nick,774
mueller,770
rick scott,766
kevin,763
richard nixon,759
pete williams,758
lindsey graham,749
christopher,738
kellyanne conway,721
hallie jackson,717
kelly o'donnell,714
mike flynn,702
eric,701
rod rosenstein,688
mccain,687
don jr.,672
malcolm,672
matt miller,671
peter alexander,654
peter baker,651
mcconnell,648
joyce vance,644
chris hayes,643
chris matthews,634
george papadopoulos,633
don,632
alex witt,630
kayak,628
michael steele,628
andrew gillum,608
stacey abrams,608
manafort,607
mitt romney,603
dan coats,602
david gura,596
max,595
robert,594
robert costa,587
george bush,575
johnson,572
katy tur,569
mimi,567
david ignatius,567
betsy,559
michael schmidt,550
ken dilanian,550
john heilemann,543
bob corker,542
oprah,531
bob mueller's,530
harry,528
larry kudlow,526
carl,525
ruth,519
phil,516
jackson,512
brett,507
elizabeth warren,504
marco rubio,501
bolton,497
matt whitaker,495
george,492
tim,490
chuck grassley,480
michael wolff,479
larry,478
daniels,473
jeff bennett,470
rand paul,468
sam nunberg,466
brian williams,465
richard,463
kim jong,450
jennifer,450
bill nelson,443
christopher steele,439
karen,438
lisa murkowski,436
bill karins,433
peter strzok,432
macron,431
jim mattis,430
brian kemp,430
joe manchin,420
zuckerberg,416
bob woodward,415
marijuana,415
jeremy bash,407
mike pence,405
lawrence o'donnell,404
barbara,403
mccarthy,400
ron desantis,392
john mccain's,390
dick durbin,386
dave,385
hans nichols,384
scholl,383
nancy pelosi,382
barbara bush,379
roy moore,375
moon,372
jason,368
chris jansing,367
hallie,366
chuck rosenberg,359
jamie,359
ashley parker,359
steve schmidt,358
god,358
evan,355
susan,354
lebron james,354
angela merkel,354
bernie,354
al sharpton,350
lanny davis,340
ron,339
nelson,338
dennis quaid,337
kushner,335
jon meacham,332
mavyret,331
erdogan,330
rex tillerson,328
wanna,327
kevin mccarthy,323
stephanie,322
bill,320
heartburn,317
whoooo,316
dan,314
dr.,314
james mattis,312
jonathan swan,312
gary cohn,310
jesus,310
mick mulvaney,309
stephen miller,307
liberty ♪,307
mike barnicle,304
aaron,304
jim jordan,299
john dean,298
hillary,298
jared kushner's,295
john kelly's,292
kim jong-un's,292
steven miller,291
michelle,291
apps,290
kristen welker,289
matthew whitaker,289
vladimir putin's,289
schumer,288
d.c,287
tom winter,287
mariana,286
betsy woodruff,286
jordan,284
mike espy,284
carol lee,284
claire mccaskill,281
john roberts,280
julia ainsley,279
douglas,278
james comey's,278
lee,275
♪ otezla,274
anita hill,273
lawrence,272
doug jones,271
paul butler,270
danny,269
michelle obama,268
rick tyler,268
paul ryan's,268
jason johnson,267
george soros,267
anthony kennedy,265
jack,265
jeb bush,265
jimmy,264
my momma ♪,261
jonathan lemire,259
jamal khashoggi,258
donald j. trump,258
chairman,256
sally,255
dana,255
douglas high,254
kasie hunt,253
john meacham,253
sam stein,252
steve mnuchin,251
al,251
martha,251
baker,249
harry litman,249
davis,249
ross,248
jacob soboroff,248
aretha franklin,247
bill neely,246
eugene robinson,243
bannon,242
richard engel,241
justin trudeau,241
ken starr,240
usaa,240
scott,239
barbara mcquade,239
andy mccabe,238
murkowski,238
monica lewinsky,238
chris coons,236
phil rucker,235
elizabeth,235
trumps,235
roger,233
barr,233
ali,233
lucy,232
hans,229
john kerry,229
michael wolff's,228
kyle,228
danny cevallos,226
dara brown,226
colin kaepernick,224
mark sanford,223
john harwood,220
allen weisselberg,219
david pecker,218
warren,215
kamala harris,215
wilbur ross,214
ben carson,214
alex jones,213
john edwards,212
chris collins,211
ronny jackson,208
eric holder,208
grassley,207
don junior,207
richard blumenthal,206
orrin hatch,205
jeremy peters,205
clarence thomas,204
bobby,202
james clapper,202
james,201
joy,199
jonathan allen,199
mark warner,199
john kasich,199
♪ ♪ ♪,198
josh,198
david duke,198
howard,197
jimmy carter,197
durbin,197
alex.,196
austin,196
scott pruitt's,195
bobby kennedy,195
david shulkin,194
barbara mcquaid,194
bob,193
kerry,193
laura ingraham,193
tammy,192
cambridge analytica,192
anna,192
martin,191
george herbert,191
adam schiff,191
bloomberg,191
tom cotton,190
alan,190
andy,189
bob costa,188
janssen,188
pruitt,188
anoro,187
bernie sanders,185
jane fox,184
rudy guiliani,183
john heilman,182
sarah huckabee sanders,181
eric swalwell,181
alice,181
mike barnacle,181
emmanuel macron,178
whitaker,178
george washington,178
anthony,178
jennifer rubin,176
avenatti,176
roseanne barr,176
clean,175
♪ applebee's,174
bob woodward's,174
carter,174
sullivan,173
scott walker,173
john cornyn,172
maria,170
brett kavanaugh,170
dean heller,169
bill shine,169
susan page,167
martin luther king jr.,167
corey lewandowski,167
neil,167
michael flynn's,166
clark,166
betsy devos,166
george nader,165
joe arpaio,163
mohammed bin salman,162
jerry nadler,162
eugene scott,162
diane,162
wolf,162
oprah winfrey,161
rosenstein,161
mcgahn,161
chris murphy,161
elliot,161
mar-a-lago,161
